date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-02-05,Russia,Jewish Avtonomnyy Okrug,0,4212,108,,,,,,
2021-02-06,Russia,Jewish Avtonomnyy Okrug,1,4220,108,,,,,,
2021-02-07,Russia,Jewish Avtonomnyy Okrug,2,4227,108,,,,,,
2021-02-08,Russia,Jewish Avtonomnyy Okrug,3,4235,109,,,,,,
2021-02-09,Russia,Jewish Avtonomnyy Okrug,4,4242,110,,,,,,
2021-02-10,Russia,Jewish Avtonomnyy Okrug,5,4250,110,,,,,,
2021-02-11,Russia,Jewish Avtonomnyy Okrug,6,4255,110,,,,,,
2021-02-12,Russia,Jewish Avtonomnyy Okrug,7,4259,110,,,,,,
2021-02-13,Russia,Jewish Avtonomnyy Okrug,8,4264,111,,,,,,
2021-02-14,Russia,Jewish Avtonomnyy Okrug,9,4269,111,,,,,,
2021-02-15,Russia,Jewish Avtonomnyy Okrug,10,4274,115,,,,,,
2021-02-16,Russia,Jewish Avtonomnyy Okrug,11,4277,115,,,,,,
2021-02-17,Russia,Jewish Avtonomnyy Okrug,12,4281,115,,,,,,
2021-02-18,Russia,Jewish Avtonomnyy Okrug,13,4286,117,,,,,,
2021-02-19,Russia,Jewish Avtonomnyy Okrug,14,4290,118,,,,,,
2021-02-20,Russia,Jewish Avtonomnyy Okrug,15,4293,118,,,,,,
2021-02-21,Russia,Jewish Avtonomnyy Okrug,16,4297,118,,,,,,
2021-02-22,Russia,Jewish Avtonomnyy Okrug,17,4302,118,,,,,,
2021-02-23,Russia,Jewish Avtonomnyy Okrug,18,4305,118,,,,,,
2021-02-24,Russia,Jewish Avtonomnyy Okrug,19,4308,118,,,,,,
2021-02-25,Russia,Jewish Avtonomnyy Okrug,20,4312,118,,,,,,
2021-02-26,Russia,Jewish Avtonomnyy Okrug,21,4317,119,,,,,,
2021-02-27,Russia,Jewish Avtonomnyy Okrug,22,4319,119,,,,,,
2021-02-28,Russia,Jewish Avtonomnyy Okrug,23,4322,119,,,,,,
2021-03-01,Russia,Jewish Avtonomnyy Okrug,24,4326,119,,,,,,
2021-03-02,Russia,Jewish Avtonomnyy Okrug,25,4330,119,,,,,,
2021-03-03,Russia,Jewish Avtonomnyy Okrug,26,4333,119,,,,,,
