date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-05,Russia,Kaluga Oblast,0,21889,184,,,,,,
2021-01-06,Russia,Kaluga Oblast,1,22057,186,,,,,,
2021-01-07,Russia,Kaluga Oblast,2,22218,186,,,,,,
2021-01-08,Russia,Kaluga Oblast,3,22376,186,,,,,,
2021-01-09,Russia,Kaluga Oblast,4,22531,189,,,,,,
2021-01-10,Russia,Kaluga Oblast,5,22690,191,,,,,,
2021-01-11,Russia,Kaluga Oblast,6,22850,193,,,,,,
2021-01-12,Russia,Kaluga Oblast,7,23012,193,,,,,,
2021-01-13,Russia,Kaluga Oblast,8,23168,194,,,,,,
2021-01-14,Russia,Kaluga Oblast,9,23326,194,,,,,,
2021-01-15,Russia,Kaluga Oblast,10,23479,198,,,,,,
2021-01-16,Russia,Kaluga Oblast,11,23638,209,,,,,,
2021-01-17,Russia,Kaluga Oblast,12,23803,209,,,,,,
2021-01-18,Russia,Kaluga Oblast,13,23966,209,,,,,,
2021-01-19,Russia,Kaluga Oblast,14,24126,209,,,,,,
2021-01-20,Russia,Kaluga Oblast,15,24283,209,,,,,,
2021-01-21,Russia,Kaluga Oblast,16,24442,209,,,,,,
2021-01-22,Russia,Kaluga Oblast,17,24597,209,,,,,,
2021-01-23,Russia,Kaluga Oblast,18,24753,209,,,,,,
2021-01-24,Russia,Kaluga Oblast,19,24911,209,,,,,,
2021-01-25,Russia,Kaluga Oblast,20,25064,209,,,,,,
2021-01-26,Russia,Kaluga Oblast,21,25218,209,,,,,,
2021-01-27,Russia,Kaluga Oblast,22,25369,212,,,,,,
2021-01-28,Russia,Kaluga Oblast,23,25524,214,,,,,,
2021-01-29,Russia,Kaluga Oblast,24,25680,214,,,,,,
2021-01-30,Russia,Kaluga Oblast,25,25835,218,,,,,,
2021-01-31,Russia,Kaluga Oblast,26,25985,218,,,,,,
2021-02-01,Russia,Kaluga Oblast,27,26134,218,,,,,,
2021-02-02,Russia,Kaluga Oblast,28,26287,218,,,,,,
2021-02-03,Russia,Kaluga Oblast,29,26439,222,,,,,,
2021-02-04,Russia,Kaluga Oblast,30,26590,222,,,,,,
