date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-12-25,Russia,Khanty-Mansi Avtonomnyy Okrug,0,39965,516,,,,,,
2020-12-26,Russia,Khanty-Mansi Avtonomnyy Okrug,1,40191,519,,,,,,
2020-12-27,Russia,Khanty-Mansi Avtonomnyy Okrug,2,40414,525,,,,,,
2020-12-28,Russia,Khanty-Mansi Avtonomnyy Okrug,3,40635,529,,,,,,
2020-12-29,Russia,Khanty-Mansi Avtonomnyy Okrug,4,40854,534,,,,,,
2020-12-30,Russia,Khanty-Mansi Avtonomnyy Okrug,5,41071,537,,,,,,
2020-12-31,Russia,Khanty-Mansi Avtonomnyy Okrug,6,41294,541,,,,,,
2021-01-01,Russia,Khanty-Mansi Avtonomnyy Okrug,7,41514,544,,,,,,
2021-01-02,Russia,Khanty-Mansi Avtonomnyy Okrug,8,41740,546,,,,,,
2021-01-03,Russia,Khanty-Mansi Avtonomnyy Okrug,9,41964,550,,,,,,
2021-01-04,Russia,Khanty-Mansi Avtonomnyy Okrug,10,42197,557,,,,,,
2021-01-05,Russia,Khanty-Mansi Avtonomnyy Okrug,11,42415,562,,,,,,
2021-01-06,Russia,Khanty-Mansi Avtonomnyy Okrug,12,42617,567,,,,,,
2021-01-07,Russia,Khanty-Mansi Avtonomnyy Okrug,13,42789,571,,,,,,
2021-01-08,Russia,Khanty-Mansi Avtonomnyy Okrug,14,42963,573,,,,,,
2021-01-09,Russia,Khanty-Mansi Avtonomnyy Okrug,15,43156,576,,,,,,
2021-01-10,Russia,Khanty-Mansi Avtonomnyy Okrug,16,43314,579,,,,,,
2021-01-11,Russia,Khanty-Mansi Avtonomnyy Okrug,17,43510,585,,,,,,
2021-01-12,Russia,Khanty-Mansi Avtonomnyy Okrug,18,43715,591,,,,,,
2021-01-13,Russia,Khanty-Mansi Avtonomnyy Okrug,19,43926,596,,,,,,
2021-01-14,Russia,Khanty-Mansi Avtonomnyy Okrug,20,44144,598,,,,,,
2021-01-15,Russia,Khanty-Mansi Avtonomnyy Okrug,21,44359,602,,,,,,
2021-01-16,Russia,Khanty-Mansi Avtonomnyy Okrug,22,44580,609,,,,,,
2021-01-17,Russia,Khanty-Mansi Avtonomnyy Okrug,23,44806,612,,,,,,
2021-01-18,Russia,Khanty-Mansi Avtonomnyy Okrug,24,45029,616,,,,,,
2021-01-19,Russia,Khanty-Mansi Avtonomnyy Okrug,25,45248,622,,,,,,
2021-01-20,Russia,Khanty-Mansi Avtonomnyy Okrug,26,45463,629,,,,,,
2021-01-21,Russia,Khanty-Mansi Avtonomnyy Okrug,27,45675,633,,,,,,
2021-01-22,Russia,Khanty-Mansi Avtonomnyy Okrug,28,45892,636,,,,,,
