date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-02-05,Russia,Krasnodar Krai,0,34596,1560,,,,,,
2021-02-06,Russia,Krasnodar Krai,1,34779,1577,,,,,,
2021-02-07,Russia,Krasnodar Krai,2,34961,1594,,,,,,
2021-02-08,Russia,Krasnodar Krai,3,35142,1610,,,,,,
2021-02-09,Russia,Krasnodar Krai,4,35321,1627,,,,,,
2021-02-10,Russia,Krasnodar Krai,5,35497,1644,,,,,,
2021-02-11,Russia,Krasnodar Krai,6,35671,1660,,,,,,
2021-02-12,Russia,Krasnodar Krai,7,35844,1677,,,,,,
2021-02-13,Russia,Krasnodar Krai,8,36014,1694,,,,,,
2021-02-14,Russia,Krasnodar Krai,9,36181,1711,,,,,,
2021-02-15,Russia,Krasnodar Krai,10,36344,1728,,,,,,
2021-02-16,Russia,Krasnodar Krai,11,36511,1743,,,,,,
2021-02-17,Russia,Krasnodar Krai,12,36680,1759,,,,,,
2021-02-18,Russia,Krasnodar Krai,13,36849,1775,,,,,,
2021-02-19,Russia,Krasnodar Krai,14,37014,1791,,,,,,
2021-02-20,Russia,Krasnodar Krai,15,37176,1807,,,,,,
2021-02-21,Russia,Krasnodar Krai,16,37340,1824,,,,,,
2021-02-22,Russia,Krasnodar Krai,17,37502,1838,,,,,,
2021-02-23,Russia,Krasnodar Krai,18,37659,1854,,,,,,
2021-02-24,Russia,Krasnodar Krai,19,37815,1869,,,,,,
2021-02-25,Russia,Krasnodar Krai,20,37957,1885,,,,,,
2021-02-26,Russia,Krasnodar Krai,21,38117,1900,,,,,,
2021-02-27,Russia,Krasnodar Krai,22,38275,1915,,,,,,
2021-02-28,Russia,Krasnodar Krai,23,38432,1929,,,,,,
2021-03-01,Russia,Krasnodar Krai,24,38582,1944,,,,,,
2021-03-02,Russia,Krasnodar Krai,25,38722,1958,,,,,,
2021-03-03,Russia,Krasnodar Krai,26,38868,1973,,,,,,
