date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-12-25,Russia,Krasnoyarsk Krai,0,44564,1600,,,,,,
2020-12-26,Russia,Krasnoyarsk Krai,1,44892,1621,,,,,,
2020-12-27,Russia,Krasnoyarsk Krai,2,45218,1639,,,,,,
2020-12-28,Russia,Krasnoyarsk Krai,3,45545,1652,,,,,,
2020-12-29,Russia,Krasnoyarsk Krai,4,45870,1666,,,,,,
2020-12-30,Russia,Krasnoyarsk Krai,5,46192,1684,,,,,,
2020-12-31,Russia,Krasnoyarsk Krai,6,46513,1705,,,,,,
2021-01-01,Russia,Krasnoyarsk Krai,7,46833,1725,,,,,,
2021-01-02,Russia,Krasnoyarsk Krai,8,47156,1740,,,,,,
2021-01-03,Russia,Krasnoyarsk Krai,9,47476,1760,,,,,,
2021-01-04,Russia,Krasnoyarsk Krai,10,47795,1775,,,,,,
2021-01-05,Russia,Krasnoyarsk Krai,11,48113,1790,,,,,,
2021-01-06,Russia,Krasnoyarsk Krai,12,48433,1805,,,,,,
2021-01-07,Russia,Krasnoyarsk Krai,13,48750,1817,,,,,,
2021-01-08,Russia,Krasnoyarsk Krai,14,49068,1830,,,,,,
2021-01-09,Russia,Krasnoyarsk Krai,15,49385,1842,,,,,,
2021-01-10,Russia,Krasnoyarsk Krai,16,49703,1857,,,,,,
2021-01-11,Russia,Krasnoyarsk Krai,17,50019,1870,,,,,,
2021-01-12,Russia,Krasnoyarsk Krai,18,50334,1887,,,,,,
2021-01-13,Russia,Krasnoyarsk Krai,19,50656,1900,,,,,,
2021-01-14,Russia,Krasnoyarsk Krai,20,50983,1925,,,,,,
2021-01-15,Russia,Krasnoyarsk Krai,21,51308,1940,,,,,,
2021-01-16,Russia,Krasnoyarsk Krai,22,51631,1965,,,,,,
2021-01-17,Russia,Krasnoyarsk Krai,23,51951,1985,,,,,,
2021-01-18,Russia,Krasnoyarsk Krai,24,52272,2010,,,,,,
2021-01-19,Russia,Krasnoyarsk Krai,25,52594,2035,,,,,,
2021-01-20,Russia,Krasnoyarsk Krai,26,52920,2060,,,,,,
2021-01-21,Russia,Krasnoyarsk Krai,27,53244,2089,,,,,,
2021-01-22,Russia,Krasnoyarsk Krai,28,53570,2115,,,,,,
