date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-01,Russia,Kurgan Oblast,0,12102,170,,,,,,
2021-01-02,Russia,Kurgan Oblast,1,12208,170,,,,,,
2021-01-03,Russia,Kurgan Oblast,2,12316,175,,,,,,
2021-01-04,Russia,Kurgan Oblast,3,12421,183,,,,,,
2021-01-05,Russia,Kurgan Oblast,4,12525,190,,,,,,
2021-01-06,Russia,Kurgan Oblast,5,12632,195,,,,,,
2021-01-07,Russia,Kurgan Oblast,6,12742,195,,,,,,
2021-01-08,Russia,Kurgan Oblast,7,12847,200,,,,,,
2021-01-09,Russia,Kurgan Oblast,8,12953,200,,,,,,
2021-01-10,Russia,Kurgan Oblast,9,13062,200,,,,,,
2021-01-11,Russia,Kurgan Oblast,10,13166,200,,,,,,
2021-01-12,Russia,Kurgan Oblast,11,13267,200,,,,,,
2021-01-13,Russia,Kurgan Oblast,12,13372,201,,,,,,
2021-01-14,Russia,Kurgan Oblast,13,13478,202,,,,,,
2021-01-15,Russia,Kurgan Oblast,14,13592,202,,,,,,
2021-01-16,Russia,Kurgan Oblast,15,13708,202,,,,,,
2021-01-17,Russia,Kurgan Oblast,16,13820,202,,,,,,
2021-01-18,Russia,Kurgan Oblast,17,13929,202,,,,,,
2021-01-19,Russia,Kurgan Oblast,18,14040,202,,,,,,
2021-01-20,Russia,Kurgan Oblast,19,14147,202,,,,,,
2021-01-21,Russia,Kurgan Oblast,20,14252,202,,,,,,
2021-01-22,Russia,Kurgan Oblast,21,14353,202,,,,,,
2021-01-23,Russia,Kurgan Oblast,22,14453,202,,,,,,
2021-01-24,Russia,Kurgan Oblast,23,14555,204,,,,,,
2021-01-25,Russia,Kurgan Oblast,24,14654,204,,,,,,
2021-01-26,Russia,Kurgan Oblast,25,14752,204,,,,,,
2021-01-27,Russia,Kurgan Oblast,26,14852,204,,,,,,
2021-01-28,Russia,Kurgan Oblast,27,14950,204,,,,,,
2021-01-29,Russia,Kurgan Oblast,28,15045,206,,,,,,
