date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-22,Russia,Kursk Oblast,-25,0,0,,,,,,
2020-03-23,Russia,Kursk Oblast,-24,0,0,,,,,,
2020-03-24,Russia,Kursk Oblast,-23,0,0,,,,,,
2020-03-25,Russia,Kursk Oblast,-22,0,0,,,,,,
2020-03-26,Russia,Kursk Oblast,-21,0,0,,,,,,
2020-03-27,Russia,Kursk Oblast,-20,0,0,,,,,,
2020-03-28,Russia,Kursk Oblast,-19,0,0,,,,,,
2020-03-29,Russia,Kursk Oblast,-18,0,0,,,,,,
2020-03-30,Russia,Kursk Oblast,-17,0,0,,,,,,
2020-03-31,Russia,Kursk Oblast,-16,0,0,,,,,,
2020-04-01,Russia,Kursk Oblast,-15,3,0,,,,,,
2020-04-02,Russia,Kursk Oblast,-14,3,0,,,,,,
2020-04-03,Russia,Kursk Oblast,-13,4,0,,,,,,
2020-04-04,Russia,Kursk Oblast,-12,4,0,,,,,,
2020-04-05,Russia,Kursk Oblast,-11,4,0,,,,,,
2020-04-06,Russia,Kursk Oblast,-10,4,0,,,,,,
2020-04-07,Russia,Kursk Oblast,-9,4,0,,,,,,
2020-04-08,Russia,Kursk Oblast,-8,10,0,,,,,,
2020-04-09,Russia,Kursk Oblast,-7,20,0,,,,,,
2020-04-10,Russia,Kursk Oblast,-6,21,0,,,,,,
2020-04-11,Russia,Kursk Oblast,-5,42,0,,,,,,
2020-04-12,Russia,Kursk Oblast,-4,43,0,,,,,,
2020-04-13,Russia,Kursk Oblast,-3,58,0,,,,,,
2020-04-14,Russia,Kursk Oblast,-2,58,0,,,,,,
2020-04-15,Russia,Kursk Oblast,-1,89,0,,,,,,
2020-04-16,Russia,Kursk Oblast,0,120,2,,,,,,
2020-04-17,Russia,Kursk Oblast,1,145,2,,,,,,
2020-04-18,Russia,Kursk Oblast,2,170,2,,,,,,
2020-04-19,Russia,Kursk Oblast,3,196,2,,,,,,
2020-04-20,Russia,Kursk Oblast,4,220,2,,,,,,
2020-04-21,Russia,Kursk Oblast,5,242,3,,,,,,
2020-04-22,Russia,Kursk Oblast,6,276,3,,,,,,
2020-04-23,Russia,Kursk Oblast,7,308,3,,,,,,
2020-04-24,Russia,Kursk Oblast,8,345,3,,,,,,
2020-04-25,Russia,Kursk Oblast,9,389,4,,,,,,
2020-04-26,Russia,Kursk Oblast,10,456,4,,,,,,
2020-04-27,Russia,Kursk Oblast,11,525,4,,,,,,
2020-04-28,Russia,Kursk Oblast,12,590,4,,,,,,
2020-04-29,Russia,Kursk Oblast,13,658,4,,,,,,
2020-04-30,Russia,Kursk Oblast,14,726,4,,,,,,
2020-05-01,Russia,Kursk Oblast,15,792,4,,,,,,
2020-05-02,Russia,Kursk Oblast,16,861,4,,,,,,
2020-05-03,Russia,Kursk Oblast,17,928,4,,,,,,
2020-05-04,Russia,Kursk Oblast,18,997,4,,,,,,
2020-05-05,Russia,Kursk Oblast,19,1062,4,,,,,,
2020-05-06,Russia,Kursk Oblast,20,1129,4,,,,,,
2020-05-07,Russia,Kursk Oblast,21,1268,6,,,,,,
2020-05-08,Russia,Kursk Oblast,22,1268,6,,,,,,
2020-05-09,Russia,Kursk Oblast,23,1268,6,,,,,,
2020-05-10,Russia,Kursk Oblast,24,1268,6,,,,,,
2020-05-11,Russia,Kursk Oblast,25,1484,6,,,,,,
2020-05-12,Russia,Kursk Oblast,26,1554,6,,,,,,
2020-05-13,Russia,Kursk Oblast,27,1621,6,,,,,,
2020-05-14,Russia,Kursk Oblast,28,1697,6,,,,,,
2020-05-15,Russia,Kursk Oblast,29,1777,7,,,,,,
2020-05-16,Russia,Kursk Oblast,30,1777,7,,,,,,
2020-05-17,Russia,Kursk Oblast,31,1936,7,,,,,,
2020-05-18,Russia,Kursk Oblast,32,2015,7,,,,,,
2020-05-19,Russia,Kursk Oblast,33,2015,7,,,,,,
2020-05-20,Russia,Kursk Oblast,34,2095,7,,,,,,
2020-05-21,Russia,Kursk Oblast,35,2258,7,,,,,,
2020-05-22,Russia,Kursk Oblast,36,2258,7,,,,,,
2020-05-23,Russia,Kursk Oblast,37,2422,8,,,,,,
