date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-12-07,Russia,Mari El,0,7928,100,,,,,,
2020-12-08,Russia,Mari El,1,7980,101,,,,,,
2020-12-09,Russia,Mari El,2,8033,101,,,,,,
2020-12-10,Russia,Mari El,3,8086,102,,,,,,
2020-12-11,Russia,Mari El,4,8138,104,,,,,,
2020-12-12,Russia,Mari El,5,8191,105,,,,,,
2020-12-13,Russia,Mari El,6,8244,106,,,,,,
2020-12-14,Russia,Mari El,7,8298,107,,,,,,
2020-12-15,Russia,Mari El,8,8351,108,,,,,,
2020-12-16,Russia,Mari El,9,8404,109,,,,,,
2020-12-17,Russia,Mari El,10,8458,109,,,,,,
2020-12-18,Russia,Mari El,11,8511,109,,,,,,
2020-12-19,Russia,Mari El,12,8565,111,,,,,,
2020-12-20,Russia,Mari El,13,8617,111,,,,,,
2020-12-21,Russia,Mari El,14,8670,112,,,,,,
2020-12-22,Russia,Mari El,15,8722,113,,,,,,
2020-12-23,Russia,Mari El,16,8775,113,,,,,,
2020-12-24,Russia,Mari El,17,8828,114,,,,,,
2020-12-25,Russia,Mari El,18,8880,115,,,,,,
2020-12-26,Russia,Mari El,19,8932,115,,,,,,
2020-12-27,Russia,Mari El,20,8983,115,,,,,,
2020-12-28,Russia,Mari El,21,9034,117,,,,,,
2020-12-29,Russia,Mari El,22,9084,118,,,,,,
2020-12-30,Russia,Mari El,23,9135,119,,,,,,
2020-12-31,Russia,Mari El,24,9185,120,,,,,,
2021-01-01,Russia,Mari El,25,9234,121,,,,,,
2021-01-02,Russia,Mari El,26,9284,121,,,,,,
2021-01-03,Russia,Mari El,27,9335,122,,,,,,
2021-01-04,Russia,Mari El,28,9384,123,,,,,,
2021-01-05,Russia,Mari El,29,9435,125,,,,,,
2021-01-06,Russia,Mari El,30,9486,125,,,,,,
