date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-01,Russia,Moscow,0,815676,11280,,,,,,
2021-01-02,Russia,Moscow,1,821128,11356,,,,,,
2021-01-03,Russia,Moscow,2,824979,11433,,,,,,
2021-01-04,Russia,Moscow,3,828570,11507,,,,,,
2021-01-05,Russia,Moscow,4,833412,11582,,,,,,
2021-01-06,Russia,Moscow,5,838554,11652,,,,,,
2021-01-07,Russia,Moscow,6,843425,11728,,,,,,
2021-01-08,Russia,Moscow,7,848452,11799,,,,,,
2021-01-09,Russia,Moscow,8,853352,11873,,,,,,
2021-01-10,Russia,Moscow,9,857568,11950,,,,,,
2021-01-11,Russia,Moscow,10,862214,12025,,,,,,
2021-01-12,Russia,Moscow,11,867215,12097,,,,,,
2021-01-13,Russia,Moscow,12,871535,12173,,,,,,
2021-01-14,Russia,Moscow,13,877428,12241,,,,,,
2021-01-15,Russia,Moscow,14,882962,12322,,,,,,
2021-01-16,Russia,Moscow,15,887636,12401,,,,,,
2021-01-17,Russia,Moscow,16,891648,12468,,,,,,
2021-01-18,Russia,Moscow,17,895327,12541,,,,,,
2021-01-19,Russia,Moscow,18,898442,12625,,,,,,
2021-01-20,Russia,Moscow,19,900894,12690,,,,,,
2021-01-21,Russia,Moscow,20,904352,12759,,,,,,
2021-01-22,Russia,Moscow,21,907389,12831,,,,,,
2021-01-23,Russia,Moscow,22,910057,12895,,,,,,
2021-01-24,Russia,Moscow,23,913126,12969,,,,,,
2021-01-25,Russia,Moscow,24,915508,13030,,,,,,
2021-01-26,Russia,Moscow,25,917825,13100,,,,,,
2021-01-27,Russia,Moscow,26,919662,13175,,,,,,
2021-01-28,Russia,Moscow,27,922559,13237,,,,,,
2021-01-29,Russia,Moscow,28,925358,13300,,,,,,
