date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-12-25,Russia,Murmansk Oblast,0,34495,615,,,,,,
2020-12-26,Russia,Murmansk Oblast,1,34768,622,,,,,,
2020-12-27,Russia,Murmansk Oblast,2,35042,631,,,,,,
2020-12-28,Russia,Murmansk Oblast,3,35313,634,,,,,,
2020-12-29,Russia,Murmansk Oblast,4,35581,641,,,,,,
2020-12-30,Russia,Murmansk Oblast,5,35845,647,,,,,,
2020-12-31,Russia,Murmansk Oblast,6,36106,651,,,,,,
2021-01-01,Russia,Murmansk Oblast,7,36363,655,,,,,,
2021-01-02,Russia,Murmansk Oblast,8,36618,659,,,,,,
2021-01-03,Russia,Murmansk Oblast,9,36869,663,,,,,,
2021-01-04,Russia,Murmansk Oblast,10,37114,666,,,,,,
2021-01-05,Russia,Murmansk Oblast,11,37358,670,,,,,,
2021-01-06,Russia,Murmansk Oblast,12,37600,673,,,,,,
2021-01-07,Russia,Murmansk Oblast,13,37840,679,,,,,,
2021-01-08,Russia,Murmansk Oblast,14,38081,682,,,,,,
2021-01-09,Russia,Murmansk Oblast,15,38319,685,,,,,,
2021-01-10,Russia,Murmansk Oblast,16,38555,688,,,,,,
2021-01-11,Russia,Murmansk Oblast,17,38789,693,,,,,,
2021-01-12,Russia,Murmansk Oblast,18,39026,700,,,,,,
2021-01-13,Russia,Murmansk Oblast,19,39262,704,,,,,,
2021-01-14,Russia,Murmansk Oblast,20,39496,712,,,,,,
2021-01-15,Russia,Murmansk Oblast,21,39735,720,,,,,,
2021-01-16,Russia,Murmansk Oblast,22,39989,728,,,,,,
2021-01-17,Russia,Murmansk Oblast,23,40236,735,,,,,,
2021-01-18,Russia,Murmansk Oblast,24,40477,743,,,,,,
2021-01-19,Russia,Murmansk Oblast,25,40721,750,,,,,,
2021-01-20,Russia,Murmansk Oblast,26,40959,758,,,,,,
2021-01-21,Russia,Murmansk Oblast,27,41191,765,,,,,,
2021-01-22,Russia,Murmansk Oblast,28,41419,773,,,,,,
