date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-28,Russia,Orenburg Oblast,0,33589,463,,,,,,
2021-01-29,Russia,Orenburg Oblast,1,33757,468,,,,,,
2021-01-30,Russia,Orenburg Oblast,2,33922,473,,,,,,
2021-01-31,Russia,Orenburg Oblast,3,34085,476,,,,,,
2021-02-01,Russia,Orenburg Oblast,4,34245,481,,,,,,
2021-02-02,Russia,Orenburg Oblast,5,34401,487,,,,,,
2021-02-03,Russia,Orenburg Oblast,6,34555,492,,,,,,
2021-02-04,Russia,Orenburg Oblast,7,34709,498,,,,,,
2021-02-05,Russia,Orenburg Oblast,8,34859,502,,,,,,
2021-02-06,Russia,Orenburg Oblast,9,35008,507,,,,,,
2021-02-07,Russia,Orenburg Oblast,10,35157,508,,,,,,
2021-02-08,Russia,Orenburg Oblast,11,35303,512,,,,,,
2021-02-09,Russia,Orenburg Oblast,12,35446,518,,,,,,
2021-02-10,Russia,Orenburg Oblast,13,35586,524,,,,,,
2021-02-11,Russia,Orenburg Oblast,14,35725,529,,,,,,
2021-02-12,Russia,Orenburg Oblast,15,35867,534,,,,,,
2021-02-13,Russia,Orenburg Oblast,16,36007,538,,,,,,
2021-02-14,Russia,Orenburg Oblast,17,36146,541,,,,,,
2021-02-15,Russia,Orenburg Oblast,18,36284,547,,,,,,
2021-02-16,Russia,Orenburg Oblast,19,36404,551,,,,,,
2021-02-17,Russia,Orenburg Oblast,20,36509,554,,,,,,
2021-02-18,Russia,Orenburg Oblast,21,36621,560,,,,,,
2021-02-19,Russia,Orenburg Oblast,22,36731,565,,,,,,
2021-02-20,Russia,Orenburg Oblast,23,36838,571,,,,,,
2021-02-21,Russia,Orenburg Oblast,24,36943,573,,,,,,
2021-02-22,Russia,Orenburg Oblast,25,37048,578,,,,,,
2021-02-23,Russia,Orenburg Oblast,26,37150,582,,,,,,
2021-02-24,Russia,Orenburg Oblast,27,37249,587,,,,,,
2021-02-25,Russia,Orenburg Oblast,28,37344,593,,,,,,
