date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-12-25,Russia,Rostov Oblast,0,49318,1937,,,,,,
2020-12-26,Russia,Rostov Oblast,1,49707,1958,,,,,,
2020-12-27,Russia,Rostov Oblast,2,50100,1980,,,,,,
2020-12-28,Russia,Rostov Oblast,3,50490,1983,,,,,,
2020-12-29,Russia,Rostov Oblast,4,50879,2006,,,,,,
2020-12-30,Russia,Rostov Oblast,5,51264,2033,,,,,,
2020-12-31,Russia,Rostov Oblast,6,51651,2061,,,,,,
2021-01-01,Russia,Rostov Oblast,7,52043,2077,,,,,,
2021-01-02,Russia,Rostov Oblast,8,52437,2086,,,,,,
2021-01-03,Russia,Rostov Oblast,9,52828,2111,,,,,,
2021-01-04,Russia,Rostov Oblast,10,53216,2126,,,,,,
2021-01-05,Russia,Rostov Oblast,11,53603,2147,,,,,,
2021-01-06,Russia,Rostov Oblast,12,53994,2157,,,,,,
2021-01-07,Russia,Rostov Oblast,13,54387,2172,,,,,,
2021-01-08,Russia,Rostov Oblast,14,54781,2180,,,,,,
2021-01-09,Russia,Rostov Oblast,15,55176,2199,,,,,,
2021-01-10,Russia,Rostov Oblast,16,55565,2208,,,,,,
2021-01-11,Russia,Rostov Oblast,17,55955,2216,,,,,,
2021-01-12,Russia,Rostov Oblast,18,56349,2242,,,,,,
2021-01-13,Russia,Rostov Oblast,19,56738,2264,,,,,,
2021-01-14,Russia,Rostov Oblast,20,57130,2293,,,,,,
2021-01-15,Russia,Rostov Oblast,21,57528,2310,,,,,,
2021-01-16,Russia,Rostov Oblast,22,57921,2323,,,,,,
2021-01-17,Russia,Rostov Oblast,23,58315,2334,,,,,,
2021-01-18,Russia,Rostov Oblast,24,58708,2348,,,,,,
2021-01-19,Russia,Rostov Oblast,25,59100,2370,,,,,,
2021-01-20,Russia,Rostov Oblast,26,59488,2397,,,,,,
2021-01-21,Russia,Rostov Oblast,27,59878,2422,,,,,,
2021-01-22,Russia,Rostov Oblast,28,60269,2448,,,,,,
