date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-12-25,Russia,Ryazan Oblast,0,17319,141,,,,,,
2020-12-26,Russia,Ryazan Oblast,1,17455,145,,,,,,
2020-12-27,Russia,Ryazan Oblast,2,17594,148,,,,,,
2020-12-28,Russia,Ryazan Oblast,3,17735,148,,,,,,
2020-12-29,Russia,Ryazan Oblast,4,17878,152,,,,,,
2020-12-30,Russia,Ryazan Oblast,5,18019,156,,,,,,
2020-12-31,Russia,Ryazan Oblast,6,18158,159,,,,,,
2021-01-01,Russia,Ryazan Oblast,7,18296,162,,,,,,
2021-01-02,Russia,Ryazan Oblast,8,18431,165,,,,,,
2021-01-03,Russia,Ryazan Oblast,9,18565,168,,,,,,
2021-01-04,Russia,Ryazan Oblast,10,18698,171,,,,,,
2021-01-05,Russia,Ryazan Oblast,11,18833,173,,,,,,
2021-01-06,Russia,Ryazan Oblast,12,18965,177,,,,,,
2021-01-07,Russia,Ryazan Oblast,13,19095,181,,,,,,
2021-01-08,Russia,Ryazan Oblast,14,19228,181,,,,,,
2021-01-09,Russia,Ryazan Oblast,15,19357,184,,,,,,
2021-01-10,Russia,Ryazan Oblast,16,19482,190,,,,,,
2021-01-11,Russia,Ryazan Oblast,17,19605,190,,,,,,
2021-01-12,Russia,Ryazan Oblast,18,19727,190,,,,,,
2021-01-13,Russia,Ryazan Oblast,19,19851,193,,,,,,
2021-01-14,Russia,Ryazan Oblast,20,19976,198,,,,,,
2021-01-15,Russia,Ryazan Oblast,21,20098,203,,,,,,
2021-01-16,Russia,Ryazan Oblast,22,20221,207,,,,,,
2021-01-17,Russia,Ryazan Oblast,23,20341,209,,,,,,
2021-01-18,Russia,Ryazan Oblast,24,20459,209,,,,,,
2021-01-19,Russia,Ryazan Oblast,25,20580,214,,,,,,
2021-01-20,Russia,Ryazan Oblast,26,20699,215,,,,,,
2021-01-21,Russia,Ryazan Oblast,27,20814,216,,,,,,
2021-01-22,Russia,Ryazan Oblast,28,20925,217,,,,,,
