date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-05,Russia,Saint Petersburg,0,260656,8077,,,,,,
2021-01-06,Russia,Saint Petersburg,1,263997,8135,,,,,,
2021-01-07,Russia,Saint Petersburg,2,267002,8204,,,,,,
2021-01-08,Russia,Saint Petersburg,3,270019,8259,,,,,,
2021-01-09,Russia,Saint Petersburg,4,273025,8328,,,,,,
2021-01-10,Russia,Saint Petersburg,5,276035,8378,,,,,,
2021-01-11,Russia,Saint Petersburg,6,279039,8420,,,,,,
2021-01-12,Russia,Saint Petersburg,7,281770,8488,,,,,,
2021-01-13,Russia,Saint Petersburg,8,284773,8566,,,,,,
2021-01-14,Russia,Saint Petersburg,9,287814,8649,,,,,,
2021-01-15,Russia,Saint Petersburg,10,290908,8721,,,,,,
2021-01-16,Russia,Saint Petersburg,11,294161,8788,,,,,,
2021-01-17,Russia,Saint Petersburg,12,297477,8847,,,,,,
2021-01-18,Russia,Saint Petersburg,13,300764,8902,,,,,,
2021-01-19,Russia,Saint Petersburg,14,304045,8971,,,,,,
2021-01-20,Russia,Saint Petersburg,15,307392,9043,,,,,,
2021-01-21,Russia,Saint Petersburg,16,310504,9122,,,,,,
2021-01-22,Russia,Saint Petersburg,17,313608,9181,,,,,,
2021-01-23,Russia,Saint Petersburg,18,316664,9254,,,,,,
2021-01-24,Russia,Saint Petersburg,19,319593,9315,,,,,,
2021-01-25,Russia,Saint Petersburg,20,321709,9374,,,,,,
2021-01-26,Russia,Saint Petersburg,21,323219,9432,,,,,,
2021-01-27,Russia,Saint Petersburg,22,325032,9502,,,,,,
2021-01-28,Russia,Saint Petersburg,23,327160,9571,,,,,,
2021-01-29,Russia,Saint Petersburg,24,329444,9622,,,,,,
2021-01-30,Russia,Saint Petersburg,25,331956,9686,,,,,,
2021-01-31,Russia,Saint Petersburg,26,334116,9733,,,,,,
2021-02-01,Russia,Saint Petersburg,27,335958,9786,,,,,,
2021-02-02,Russia,Saint Petersburg,28,337442,9851,,,,,,
2021-02-03,Russia,Saint Petersburg,29,339358,9906,,,,,,
2021-02-04,Russia,Saint Petersburg,30,340929,9959,,,,,,
