date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-05,Russia,Tambov Oblast,0,18452,197,,,,,,
2021-01-06,Russia,Tambov Oblast,1,18610,200,,,,,,
2021-01-07,Russia,Tambov Oblast,2,18770,202,,,,,,
2021-01-08,Russia,Tambov Oblast,3,18933,204,,,,,,
2021-01-09,Russia,Tambov Oblast,4,19094,207,,,,,,
2021-01-10,Russia,Tambov Oblast,5,19254,209,,,,,,
2021-01-11,Russia,Tambov Oblast,6,19412,212,,,,,,
2021-01-12,Russia,Tambov Oblast,7,19569,214,,,,,,
2021-01-13,Russia,Tambov Oblast,8,19726,217,,,,,,
2021-01-14,Russia,Tambov Oblast,9,19885,220,,,,,,
2021-01-15,Russia,Tambov Oblast,10,20045,223,,,,,,
2021-01-16,Russia,Tambov Oblast,11,20203,226,,,,,,
2021-01-17,Russia,Tambov Oblast,12,20362,229,,,,,,
2021-01-18,Russia,Tambov Oblast,13,20522,232,,,,,,
2021-01-19,Russia,Tambov Oblast,14,20679,235,,,,,,
2021-01-20,Russia,Tambov Oblast,15,20834,238,,,,,,
2021-01-21,Russia,Tambov Oblast,16,20990,241,,,,,,
2021-01-22,Russia,Tambov Oblast,17,21148,244,,,,,,
2021-01-23,Russia,Tambov Oblast,18,21305,247,,,,,,
2021-01-24,Russia,Tambov Oblast,19,21464,250,,,,,,
2021-01-25,Russia,Tambov Oblast,20,21622,253,,,,,,
2021-01-26,Russia,Tambov Oblast,21,21777,256,,,,,,
2021-01-27,Russia,Tambov Oblast,22,21933,259,,,,,,
2021-01-28,Russia,Tambov Oblast,23,22089,262,,,,,,
2021-01-29,Russia,Tambov Oblast,24,22244,265,,,,,,
2021-01-30,Russia,Tambov Oblast,25,22398,268,,,,,,
2021-01-31,Russia,Tambov Oblast,26,22551,270,,,,,,
2021-02-01,Russia,Tambov Oblast,27,22702,273,,,,,,
2021-02-02,Russia,Tambov Oblast,28,22848,275,,,,,,
2021-02-03,Russia,Tambov Oblast,29,22993,278,,,,,,
2021-02-04,Russia,Tambov Oblast,30,23136,281,,,,,,
