date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-12-07,Russia,Ulyanovsk Oblast,0,29453,395,,,,,,
2020-12-08,Russia,Ulyanovsk Oblast,1,29733,395,,,,,,
2020-12-09,Russia,Ulyanovsk Oblast,2,30017,395,,,,,,
2020-12-10,Russia,Ulyanovsk Oblast,3,30307,395,,,,,,
2020-12-11,Russia,Ulyanovsk Oblast,4,30601,405,,,,,,
2020-12-12,Russia,Ulyanovsk Oblast,5,30895,405,,,,,,
2020-12-13,Russia,Ulyanovsk Oblast,6,31188,405,,,,,,
2020-12-14,Russia,Ulyanovsk Oblast,7,31479,405,,,,,,
2020-12-15,Russia,Ulyanovsk Oblast,8,31773,415,,,,,,
2020-12-16,Russia,Ulyanovsk Oblast,9,32062,415,,,,,,
2020-12-17,Russia,Ulyanovsk Oblast,10,32349,415,,,,,,
2020-12-18,Russia,Ulyanovsk Oblast,11,32635,415,,,,,,
2020-12-19,Russia,Ulyanovsk Oblast,12,32919,415,,,,,,
2020-12-20,Russia,Ulyanovsk Oblast,13,33202,416,,,,,,
2020-12-21,Russia,Ulyanovsk Oblast,14,33487,435,,,,,,
2020-12-22,Russia,Ulyanovsk Oblast,15,33771,435,,,,,,
2020-12-23,Russia,Ulyanovsk Oblast,16,34057,435,,,,,,
2020-12-24,Russia,Ulyanovsk Oblast,17,34342,445,,,,,,
2020-12-25,Russia,Ulyanovsk Oblast,18,34622,452,,,,,,
2020-12-26,Russia,Ulyanovsk Oblast,19,34904,452,,,,,,
2020-12-27,Russia,Ulyanovsk Oblast,20,35188,460,,,,,,
2020-12-28,Russia,Ulyanovsk Oblast,21,35469,460,,,,,,
2020-12-29,Russia,Ulyanovsk Oblast,22,35753,468,,,,,,
2020-12-30,Russia,Ulyanovsk Oblast,23,36035,468,,,,,,
2020-12-31,Russia,Ulyanovsk Oblast,24,36313,474,,,,,,
2021-01-01,Russia,Ulyanovsk Oblast,25,36589,474,,,,,,
2021-01-02,Russia,Ulyanovsk Oblast,26,36862,474,,,,,,
2021-01-03,Russia,Ulyanovsk Oblast,27,37135,474,,,,,,
2021-01-04,Russia,Ulyanovsk Oblast,28,37403,474,,,,,,
2021-01-05,Russia,Ulyanovsk Oblast,29,37656,474,,,,,,
2021-01-06,Russia,Ulyanovsk Oblast,30,37901,474,,,,,,
