country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
South Africa,KwaZulu Natal,2020-03-05,-21,1,0,,,,,,
South Africa,KwaZulu Natal,2020-03-07,-19,1,0,,,,,,
South Africa,KwaZulu Natal,2020-03-08,-18,2,0,,,,,,
South Africa,KwaZulu Natal,2020-03-09,-17,6,0,,,,,,
South Africa,KwaZulu Natal,2020-03-11,-15,7,0,,,,,,
South Africa,KwaZulu Natal,2020-03-12,-14,8,0,,,,,,
South Africa,KwaZulu Natal,2020-03-13,-13,10,0,,,,,,
South Africa,KwaZulu Natal,2020-03-14,-12,11,0,,,,,,
South Africa,KwaZulu Natal,2020-03-15,-11,12,0,,,,,,
South Africa,KwaZulu Natal,2020-03-16,-10,12,0,,,,,,
South Africa,KwaZulu Natal,2020-03-17,-9,16,0,,,,,,
South Africa,KwaZulu Natal,2020-03-18,-8,19,0,,,,,,
South Africa,KwaZulu Natal,2020-03-19,-7,22,0,,,,,,
South Africa,KwaZulu Natal,2020-03-20,-6,23,0,,,,,,
South Africa,KwaZulu Natal,2020-03-21,-5,26,0,,,,,,
South Africa,KwaZulu Natal,2020-03-22,-4,35,0,,,,,,
South Africa,KwaZulu Natal,2020-03-23,-3,60,0,,,,,,
South Africa,KwaZulu Natal,2020-03-24,-2,80,0,,,,,,
South Africa,KwaZulu Natal,2020-03-25,-1,91,0,,,,,,
South Africa,KwaZulu Natal,2020-03-26,0,134,0,,,,,,
South Africa,KwaZulu Natal,2020-03-27,1,0,0,,,,,,
South Africa,KwaZulu Natal,2020-03-28,2,156,0,,,,,,
South Africa,KwaZulu Natal,2020-03-29,3,167,0,,,,,,
South Africa,KwaZulu Natal,2020-03-30,4,171,0,,,,,,
South Africa,KwaZulu Natal,2020-03-31,5,179,0,,,,,,
South Africa,KwaZulu Natal,2020-04-01,6,186,1,,,,,,
South Africa,KwaZulu Natal,2020-04-02,7,206,1,,,,,,
South Africa,KwaZulu Natal,2020-04-03,8,215,2,,,,,,
South Africa,KwaZulu Natal,2020-04-04,9,232,6,,,,,,
South Africa,KwaZulu Natal,2020-04-05,10,246,7,,,,,,
South Africa,KwaZulu Natal,2020-04-06,11,257,7,,,,,,
South Africa,KwaZulu Natal,2020-04-07,12,0,8,,,,,,
South Africa,KwaZulu Natal,2020-04-08,13,354,9,,,,,,
South Africa,KwaZulu Natal,2020-04-09,14,387,9,,,,,,
South Africa,KwaZulu Natal,2020-04-10,15,412,12,,,,,,
South Africa,KwaZulu Natal,2020-04-11,16,418,12,,,,,,
South Africa,KwaZulu Natal,2020-04-12,17,443,12,,,,,,
South Africa,KwaZulu Natal,2020-04-13,18,465,12,,,,,,
South Africa,KwaZulu Natal,2020-04-14,19,489,12,,,,,,
