date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-05,South Africa,Limpopo,-75,0,0,,,,,,
2020-03-07,South Africa,Limpopo,-74,0,0,,,,,,
2020-03-08,South Africa,Limpopo,-73,0,0,,,,,,
2020-03-09,South Africa,Limpopo,-72,0,0,,,,,,
2020-03-11,South Africa,Limpopo,-71,0,0,,,,,,
2020-03-12,South Africa,Limpopo,-70,0,0,,,,,,
2020-03-13,South Africa,Limpopo,-69,0,0,,,,,,
2020-03-14,South Africa,Limpopo,-68,0,0,,,,,,
2020-03-15,South Africa,Limpopo,-67,0,0,,,,,,
2020-03-16,South Africa,Limpopo,-66,1,0,,,,,,
2020-03-17,South Africa,Limpopo,-65,1,0,,,,,,
2020-03-18,South Africa,Limpopo,-64,1,0,,,,,,
2020-03-19,South Africa,Limpopo,-63,1,0,,,,,,
2020-03-20,South Africa,Limpopo,-62,1,0,,,,,,
2020-03-21,South Africa,Limpopo,-61,1,0,,,,,,
2020-03-22,South Africa,Limpopo,-60,2,0,,,,,,
2020-03-23,South Africa,Limpopo,-59,4,0,,,,,,
2020-03-24,South Africa,Limpopo,-58,4,0,,,,,,
2020-03-25,South Africa,Limpopo,-57,4,0,,,,,,
2020-03-26,South Africa,Limpopo,-56,6,0,,,,,,
2020-03-27,South Africa,Limpopo,-55,6,0,,,,,,
2020-03-28,South Africa,Limpopo,-54,11,0,,,,,,
2020-03-29,South Africa,Limpopo,-53,12,0,,,,,,
2020-03-30,South Africa,Limpopo,-52,11,0,,,,,,
2020-03-31,South Africa,Limpopo,-51,14,0,,,,,,
2020-04-01,South Africa,Limpopo,-50,14,0,,,,,,
2020-04-02,South Africa,Limpopo,-49,16,0,,,,,,
2020-04-03,South Africa,Limpopo,-48,16,0,,,,,,
2020-04-04,South Africa,Limpopo,-47,18,0,,,,,,
2020-04-05,South Africa,Limpopo,-46,19,0,,,,,,
2020-04-06,South Africa,Limpopo,-45,19,0,,,,,,
2020-04-07,South Africa,Limpopo,-44,19,0,,,,,,
2020-04-08,South Africa,Limpopo,-43,21,0,,,,,,
2020-04-09,South Africa,Limpopo,-42,22,0,,,,,,
2020-04-10,South Africa,Limpopo,-41,24,0,,,,,,
2020-04-11,South Africa,Limpopo,-40,23,0,,,,,,
2020-04-12,South Africa,Limpopo,-39,23,0,,,,,,
2020-04-13,South Africa,Limpopo,-38,23,0,,,,,,
2020-04-14,South Africa,Limpopo,-37,24,0,,,,,,
2020-04-15,South Africa,Limpopo,-36,25,0,,,,,,
2020-04-16,South Africa,Limpopo,-35,26,1,,,,,,
2020-04-17,South Africa,Limpopo,-34,26,1,,,,,,
2020-04-18,South Africa,Limpopo,-33,26,1,,,,,,
2020-04-19,South Africa,Limpopo,-32,27,1,,,,,,
2020-04-20,South Africa,Limpopo,-31,27,1,,,,,,
2020-04-21,South Africa,Limpopo,-30,27,1,,,,,,
2020-04-22,South Africa,Limpopo,-29,27,1,,,,,,
2020-04-23,South Africa,Limpopo,-28,27,1,,,,,,
2020-04-24,South Africa,Limpopo,-27,29,1,,,,,,
2020-04-25,South Africa,Limpopo,-26,30,2,,,,,,
2020-04-26,South Africa,Limpopo,-25,31,2,,,,,,
2020-04-27,South Africa,Limpopo,-24,31,2,,,,,,
2020-04-28,South Africa,Limpopo,-23,31,2,,,,,,
2020-04-29,South Africa,Limpopo,-22,31,2,,,,,,
2020-04-30,South Africa,Limpopo,-21,32,2,,,,,,
2020-05-01,South Africa,Limpopo,-20,34,2,,,,,,
2020-05-02,South Africa,Limpopo,-19,36,2,,,,,,
2020-05-03,South Africa,Limpopo,-18,37,2,,,,,,
2020-05-04,South Africa,Limpopo,-17,39,2,,,,,,
2020-05-05,South Africa,Limpopo,-16,40,2,,,,,,
2020-05-06,South Africa,Limpopo,-15,40,3,,,,,,
2020-05-07,South Africa,Limpopo,-14,41,3,,,,,,
2020-05-08,South Africa,Limpopo,-13,43,3,,,,,,
2020-05-09,South Africa,Limpopo,-12,51,3,,,,,,
2020-05-10,South Africa,Limpopo,-11,54,3,,,,,,
2020-05-11,South Africa,Limpopo,-10,54,3,,,,,,
2020-05-12,South Africa,Limpopo,-9,54,3,,,,,,
2020-05-13,South Africa,Limpopo,-8,54,3,,,,,,
2020-05-14,South Africa,Limpopo,-7,55,3,,,,,,
2020-05-15,South Africa,Limpopo,-6,57,3,,,,,,
2020-05-16,South Africa,Limpopo,-5,59,3,,,,,,
2020-05-17,South Africa,Limpopo,-4,77,3,,,,,,
2020-05-18,South Africa,Limpopo,-3,88,3,,,,,,
2020-05-19,South Africa,Limpopo,-2,94,3,,,,,,
2020-05-20,South Africa,Limpopo,-1,93,3,,,,,,
2020-05-21,South Africa,Limpopo,0,121,3,,,,,,
2020-05-22,South Africa,Limpopo,1,120,3,,,,,,
2020-05-23,South Africa,Limpopo,2,124,3,,,,,,
2020-05-24,South Africa,Limpopo,3,128,3,,,,,,
2020-05-25,South Africa,Limpopo,4,132,3,,,,,,
2020-05-26,South Africa,Limpopo,5,132,3,,,,,,
2020-05-27,South Africa,Limpopo,6,141,3,,,,,,
2020-05-28,South Africa,Limpopo,7,144,3,,,,,,
2020-05-29,South Africa,Limpopo,8,170,3,,,,,,
2020-05-30,South Africa,Limpopo,9,173,3,,,,,,
2020-05-31,South Africa,Limpopo,10,177,3,,,,,,
2020-06-01,South Africa,Limpopo,11,192,3,,,,,,
2020-06-02,South Africa,Limpopo,12,193,3,,,,,,
2020-06-03,South Africa,Limpopo,13,200,3,,,,,,
2020-06-04,South Africa,Limpopo,14,206,3,,,,,,
2020-06-05,South Africa,Limpopo,15,215,3,,,,,,
2020-06-06,South Africa,Limpopo,16,216,3,,,,,,
2020-06-07,South Africa,Limpopo,17,227,3,,,,,,
2020-06-08,South Africa,Limpopo,18,244,3,,,,,,
2020-06-09,South Africa,Limpopo,19,253,3,,,,,,
2020-06-10,South Africa,Limpopo,20,257,3,,,,,,
2020-06-11,South Africa,Limpopo,21,267,3,,,,,,
2020-06-12,South Africa,Limpopo,22,288,4,,,,,,
2020-06-13,South Africa,Limpopo,23,309,4,,,,,,
2020-06-14,South Africa,Limpopo,24,326,4,,,,,,
2020-06-15,South Africa,Limpopo,25,362,4,,,,,,
2020-06-16,South Africa,Limpopo,26,391,4,,,,,,
2020-06-17,South Africa,Limpopo,27,416,4,,,,,,
2020-06-18,South Africa,Limpopo,28,489,4,,,,,,
2020-06-19,South Africa,Limpopo,29,503,4,,,,,,
2020-06-20,South Africa,Limpopo,30,521,4,,,,,,
2020-06-21,South Africa,Limpopo,31,564,4,,,,,,
2020-06-22,South Africa,Limpopo,32,582,5,,,,,,
2020-06-23,South Africa,Limpopo,33,622,5,,,,,,
2020-06-24,South Africa,Limpopo,34,670,5,,,,,,
2020-06-25,South Africa,Limpopo,35,730,5,,,,,,
2020-06-26,South Africa,Limpopo,36,798,5,,,,,,
2020-06-27,South Africa,Limpopo,37,862,5,,,,,,
2020-06-28,South Africa,Limpopo,38,935,5,,,,,,
2020-06-29,South Africa,Limpopo,39,1011,10,,,,,,
2020-06-30,South Africa,Limpopo,40,1131,10,,,,,,
2020-07-01,South Africa,Limpopo,41,1175,10,,,,,,
2020-07-02,South Africa,Limpopo,42,1286,10,,,,,,
2020-07-03,South Africa,Limpopo,43,1408,10,,,,,,
2020-07-04,South Africa,Limpopo,44,1559,10,,,,,,
2020-07-05,South Africa,Limpopo,45,1706,10,,,,,,
2020-07-06,South Africa,Limpopo,46,1785,27,,,,,,
2020-07-07,South Africa,Limpopo,47,1950,33,,,,,,
2020-07-08,South Africa,Limpopo,48,2131,33,,,,,,
2020-07-09,South Africa,Limpopo,49,2381,33,,,,,,
2020-07-10,South Africa,Limpopo,50,2579,33,,,,,,
2020-07-11,South Africa,Limpopo,51,2835,33,,,,,,
2020-07-12,South Africa,Limpopo,52,3014,33,,,,,,
2020-07-13,South Africa,Limpopo,53,3316,33,,,,,,
2020-07-14,South Africa,Limpopo,54,3458,33,,,,,,
2020-07-15,South Africa,Limpopo,55,3645,33,,,,,,
2020-07-16,South Africa,Limpopo,56,3883,33,,,,,,
2020-07-17,South Africa,Limpopo,57,4160,33,,,,,,
2020-07-18,South Africa,Limpopo,58,4490,33,,,,,,
2020-07-19,South Africa,Limpopo,59,4928,33,,,,,,
2020-07-20,South Africa,Limpopo,60,5156,33,,,,,,
2020-07-21,South Africa,Limpopo,61,5355,33,,,,,,
2020-07-22,South Africa,Limpopo,62,5712,33,,,,,,
2020-07-23,South Africa,Limpopo,63,6068,33,,,,,,
2020-07-24,South Africa,Limpopo,64,6394,33,,,,,,
2020-07-25,South Africa,Limpopo,65,6732,33,,,,,,
2020-07-26,South Africa,Limpopo,66,7076,67,,,,,,
2020-07-27,South Africa,Limpopo,67,7260,67,,,,,,
2020-07-28,South Africa,Limpopo,68,7502,67,,,,,,
2020-07-29,South Africa,Limpopo,69,7840,67,,,,,,
2020-07-30,South Africa,Limpopo,70,8240,67,,,,,,
2020-07-31,South Africa,Limpopo,71,8565,67,,,,,,
2020-08-01,South Africa,Limpopo,72,8879,67,,,,,,
2020-08-02,South Africa,Limpopo,73,9044,90,,,,,,
2020-08-03,South Africa,Limpopo,74,9204,90,,,,,,
