date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-02-18,Spain,Andalucia,-13,13,0,,,,,,
2020-02-19,Spain,Andalucia,-12,14,0,,,,,,
2020-02-20,Spain,Andalucia,-11,17,0,,,,,,
2020-02-21,Spain,Andalucia,-10,21,0,,,,,,
2020-02-22,Spain,Andalucia,-9,23,0,,,,,,
2020-02-23,Spain,Andalucia,-8,25,0,,,,,,
2020-02-24,Spain,Andalucia,-7,30,0,,,,,,
2020-02-25,Spain,Andalucia,-6,39,0,,,,,,
2020-02-26,Spain,Andalucia,-5,48,0,,,,,,
2020-02-27,Spain,Andalucia,-4,55,0,,,,,,
2020-02-28,Spain,Andalucia,-3,63,0,,,,,,
2020-02-29,Spain,Andalucia,-2,71,0,,,,,,
2020-03-01,Spain,Andalucia,-1,96,0,,,,,,
2020-03-02,Spain,Andalucia,0,129,0,,,,,,
2020-03-03,Spain,Andalucia,1,166,0,,,,,,
2020-03-04,Spain,Andalucia,2,198,0,,,,,,
2020-03-05,Spain,Andalucia,3,255,0,,,,,,
2020-03-06,Spain,Andalucia,4,322,0,,,,,,
2020-03-07,Spain,Andalucia,5,396,0,,,,,,
2020-03-08,Spain,Andalucia,6,476,0,,,,,,
2020-03-09,Spain,Andalucia,7,637,0,,,,,,
2020-03-10,Spain,Andalucia,8,846,0,,,,,,
2020-03-11,Spain,Andalucia,9,1096,0,,,,,,
2020-03-12,Spain,Andalucia,10,1398,0,,,,,,
2020-03-13,Spain,Andalucia,11,1846,2,,,,,,
2020-03-14,Spain,Andalucia,12,2240,7,,,,,,
2020-03-15,Spain,Andalucia,13,2651,11,,,,,,
2020-03-16,Spain,Andalucia,14,3194,16,,,,,,
2020-03-17,Spain,Andalucia,15,3736,24,,,,,,
2020-03-18,Spain,Andalucia,16,4232,29,,,,,,
2020-03-19,Spain,Andalucia,17,4761,44,,,,,,
2020-03-20,Spain,Andalucia,18,5517,58,,,,,,
2020-03-21,Spain,Andalucia,19,6036,76,,,,,,
2020-03-22,Spain,Andalucia,20,6519,104,,,,,,
2020-03-23,Spain,Andalucia,21,7053,133,,,,,,
2020-03-24,Spain,Andalucia,22,7520,169,,,,,,
2020-03-25,Spain,Andalucia,23,8011,199,,,,,,
2020-03-26,Spain,Andalucia,24,8443,245,,,,,,
2020-03-27,Spain,Andalucia,25,8835,293,,,,,,
2020-03-28,Spain,Andalucia,26,9127,321,,,,,,
2020-03-29,Spain,Andalucia,27,9445,361,,,,,,
2020-03-30,Spain,Andalucia,28,9744,413,,,,,,
2020-03-31,Spain,Andalucia,29,9988,460,,,,,,
2020-04-01,Spain,Andalucia,30,10313,503,,,,,,
2020-04-02,Spain,Andalucia,31,10531,556,,,,,,
2020-04-03,Spain,Andalucia,32,10703,599,,,,,,
2020-04-04,Spain,Andalucia,33,10872,650,,,,,,
2020-04-05,Spain,Andalucia,34,11038,690,,,,,,
2020-04-06,Spain,Andalucia,35,11179,732,,,,,,
2020-04-07,Spain,Andalucia,36,11343,770,,,,,,
2020-04-08,Spain,Andalucia,37,11477,824,,,,,,
2020-04-09,Spain,Andalucia,38,11564,856,,,,,,
2020-04-10,Spain,Andalucia,39,11659,902,,,,,,
2020-04-11,Spain,Andalucia,40,11756,925,,,,,,
2020-04-12,Spain,Andalucia,41,11839,958,,,,,,
2020-04-13,Spain,Andalucia,42,11914,979,,,,,,
2020-04-14,Spain,Andalucia,43,11970,1013,,,,,,
2020-04-15,Spain,Andalucia,44,12067,1039,,,,,,
2020-04-16,Spain,Andalucia,45,12116,1064,,,,,,
2020-04-17,Spain,Andalucia,46,12182,1090,,,,,,
2020-04-18,Spain,Andalucia,47,12225,1109,,,,,,
2020-04-19,Spain,Andalucia,48,12252,1128,,,,,,
2020-04-20,Spain,Andalucia,49,12291,1156,,,,,,
2020-04-21,Spain,Andalucia,50,12330,1178,,,,,,
2020-04-22,Spain,Andalucia,51,12357,1193,,,,,,
2020-04-23,Spain,Andalucia,52,12394,1216,,,,,,
2020-04-24,Spain,Andalucia,53,12439,1227,,,,,,
2020-04-25,Spain,Andalucia,54,12464,1239,,,,,,
2020-04-26,Spain,Andalucia,55,12481,1252,,,,,,
2020-04-27,Spain,Andalucia,56,12498,1263,,,,,,
2020-04-28,Spain,Andalucia,57,12515,1273,,,,,,
2020-04-29,Spain,Andalucia,58,12547,1282,,,,,,
2020-04-30,Spain,Andalucia,59,12566,1288,,,,,,
2020-05-01,Spain,Andalucia,60,12581,1294,,,,,,
2020-05-02,Spain,Andalucia,61,12596,1301,,,,,,
2020-05-03,Spain,Andalucia,62,12607,1310,,,,,,
2020-05-04,Spain,Andalucia,63,12625,1322,,,,,,
2020-05-05,Spain,Andalucia,64,12637,1331,,,,,,
2020-05-06,Spain,Andalucia,65,12639,1336,,,,,,
2020-05-07,Spain,Andalucia,66,12642,1342,,,,,,
2020-05-08,Spain,Andalucia,67,12649,1344,,,,,,
2020-05-09,Spain,Andalucia,68,12651,1351,,,,,,
2020-05-10,Spain,Andalucia,69,12656,1355,,,,,,
2020-05-11,Spain,Andalucia,70,12673,1359,,,,,,
2020-05-12,Spain,Andalucia,71,12694,1362,,,,,,
2020-05-13,Spain,Andalucia,72,12708,1369,,,,,,
2020-05-14,Spain,Andalucia,73,12720,1377,,,,,,
2020-05-15,Spain,Andalucia,74,12734,1381,,,,,,
2020-05-16,Spain,Andalucia,75,12737,1384,,,,,,
2020-05-17,Spain,Andalucia,76,12742,1386,,,,,,
2020-05-18,Spain,Andalucia,77,12753,1391,,,,,,
2020-05-19,Spain,Andalucia,78,12764,1393,,,,,,
2020-05-20,Spain,Andalucia,79,12777,1393,,,,,,
2020-05-21,Spain,Andalucia,80,12786,1397,,,,,,
2020-05-22,Spain,Andalucia,81,12791,1401,,,,,,
2020-05-23,Spain,Andalucia,82,12798,1403,,,,,,
2020-05-24,Spain,Andalucia,83,12801,1407,,,,,,
2020-05-25,Spain,Andalucia,84,12809,1410,,,,,,
2020-05-26,Spain,Andalucia,85,12817,1412,,,,,,
2020-05-27,Spain,Andalucia,86,12828,1412,,,,,,
2020-05-28,Spain,Andalucia,87,12835,1414,,,,,,
2020-05-29,Spain,Andalucia,88,12848,1414,,,,,,
2020-05-30,Spain,Andalucia,89,12861,1416,,,,,,
2020-05-31,Spain,Andalucia,90,12870,1416,,,,,,
2020-06-01,Spain,Andalucia,91,12888,1416,,,,,,
2020-06-02,Spain,Andalucia,92,12893,1416,,,,,,
