date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-04,Spain,Castilla-La Mancha,-7,11,1,,,,,,
2020-03-05,Spain,Castilla-La Mancha,-6,14,1,,,,,,
2020-03-06,Spain,Castilla-La Mancha,-5,19,1,,,,,,
2020-03-07,Spain,Castilla-La Mancha,-4,24,1,,,,,,
2020-03-08,Spain,Castilla-La Mancha,-3,35,1,,,,,,
2020-03-09,Spain,Castilla-La Mancha,-2,49,2,,,,,,
2020-03-10,Spain,Castilla-La Mancha,-1,78,2,,,,,,
2020-03-11,Spain,Castilla-La Mancha,0,126,3,,,,,,
2020-03-12,Spain,Castilla-La Mancha,1,235,6,,,,,,
2020-03-13,Spain,Castilla-La Mancha,2,373,11,,,,,,
2020-03-14,Spain,Castilla-La Mancha,3,452,20,,,,,,
2020-03-15,Spain,Castilla-La Mancha,4,594,33,,,,,,
2020-03-16,Spain,Castilla-La Mancha,5,763,50,,,,,,
2020-03-17,Spain,Castilla-La Mancha,6,947,74,,,,,,
2020-03-18,Spain,Castilla-La Mancha,7,1212,102,,,,,,
2020-03-19,Spain,Castilla-La Mancha,8,1455,131,,,,,,
2020-03-20,Spain,Castilla-La Mancha,9,1865,173,,,,,,
2020-03-21,Spain,Castilla-La Mancha,10,2237,223,,,,,,
2020-03-22,Spain,Castilla-La Mancha,11,2617,275,,,,,,
2020-03-23,Spain,Castilla-La Mancha,12,3190,362,,,,,,
2020-03-24,Spain,Castilla-La Mancha,13,3660,445,,,,,,
2020-03-25,Spain,Castilla-La Mancha,14,4263,551,,,,,,
2020-03-26,Spain,Castilla-La Mancha,15,4812,664,,,,,,
2020-03-27,Spain,Castilla-La Mancha,16,5559,757,,,,,,
2020-03-28,Spain,Castilla-La Mancha,17,6028,862,,,,,,
2020-03-29,Spain,Castilla-La Mancha,18,6523,931,,,,,,
2020-03-30,Spain,Castilla-La Mancha,19,7444,1021,,,,,,
2020-03-31,Spain,Castilla-La Mancha,20,8081,1113,,,,,,
2020-04-01,Spain,Castilla-La Mancha,21,8928,1204,,,,,,
2020-04-02,Spain,Castilla-La Mancha,22,9446,1285,,,,,,
2020-04-03,Spain,Castilla-La Mancha,23,10089,1360,,,,,,
2020-04-04,Spain,Castilla-La Mancha,24,10494,1457,,,,,,
2020-04-05,Spain,Castilla-La Mancha,25,10778,1524,,,,,,
2020-04-06,Spain,Castilla-La Mancha,26,11363,1600,,,,,,
2020-04-07,Spain,Castilla-La Mancha,27,11848,1662,,,,,,
2020-04-08,Spain,Castilla-La Mancha,28,12267,1753,,,,,,
