date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-20,Spain,Cataluna,-32,12,0,,,,,,
2020-01-21,Spain,Cataluna,-31,13,0,,,,,,
2020-01-22,Spain,Cataluna,-30,14,0,,,,,,
2020-01-23,Spain,Cataluna,-29,14,0,,,,,,
2020-01-24,Spain,Cataluna,-28,14,0,,,,,,
2020-01-25,Spain,Cataluna,-27,14,0,,,,,,
2020-01-26,Spain,Cataluna,-26,15,0,,,,,,
2020-01-27,Spain,Cataluna,-25,17,0,,,,,,
2020-01-28,Spain,Cataluna,-24,17,0,,,,,,
2020-01-29,Spain,Cataluna,-23,17,0,,,,,,
2020-01-30,Spain,Cataluna,-22,18,0,,,,,,
2020-01-31,Spain,Cataluna,-21,20,0,,,,,,
2020-02-01,Spain,Cataluna,-20,27,0,,,,,,
2020-02-02,Spain,Cataluna,-19,30,0,,,,,,
2020-02-03,Spain,Cataluna,-18,32,0,,,,,,
2020-02-04,Spain,Cataluna,-17,39,0,,,,,,
2020-02-05,Spain,Cataluna,-16,40,0,,,,,,
2020-02-06,Spain,Cataluna,-15,40,0,,,,,,
2020-02-07,Spain,Cataluna,-14,42,0,,,,,,
2020-02-08,Spain,Cataluna,-13,42,0,,,,,,
2020-02-09,Spain,Cataluna,-12,43,0,,,,,,
2020-02-10,Spain,Cataluna,-11,47,0,,,,,,
2020-02-11,Spain,Cataluna,-10,50,0,,,,,,
2020-02-12,Spain,Cataluna,-9,55,0,,,,,,
2020-02-13,Spain,Cataluna,-8,61,0,,,,,,
2020-02-14,Spain,Cataluna,-7,62,0,,,,,,
2020-02-15,Spain,Cataluna,-6,74,0,,,,,,
2020-02-16,Spain,Cataluna,-5,77,0,,,,,,
2020-02-17,Spain,Cataluna,-4,78,0,,,,,,
2020-02-18,Spain,Cataluna,-3,84,0,,,,,,
2020-02-19,Spain,Cataluna,-2,85,0,,,,,,
2020-02-20,Spain,Cataluna,-1,99,0,,,,,,
2020-02-21,Spain,Cataluna,0,114,0,,,,,,
2020-02-22,Spain,Cataluna,1,127,0,,,,,,
2020-02-23,Spain,Cataluna,2,133,0,,,,,,
2020-02-24,Spain,Cataluna,3,143,0,,,,,,
2020-02-25,Spain,Cataluna,4,161,0,,,,,,
2020-02-26,Spain,Cataluna,5,183,0,,,,,,
2020-02-29,Spain,Cataluna,6,247,0,,,,,,
2020-03-01,Spain,Cataluna,7,328,0,,,,,,
2020-03-03,Spain,Cataluna,8,328,0,,,,,,
2020-03-04,Spain,Cataluna,9,328,0,,,,,,
2020-03-05,Spain,Cataluna,10,328,0,,,,,,
2020-03-06,Spain,Cataluna,11,328,1,,,,,,
2020-03-07,Spain,Cataluna,12,328,2,,,,,,
2020-03-08,Spain,Cataluna,13,328,2,,,,,,
2020-03-09,Spain,Cataluna,14,328,3,,,,,,
2020-03-10,Spain,Cataluna,15,328,4,,,,,,
2020-03-11,Spain,Cataluna,16,328,7,,,,,,
2020-03-12,Spain,Cataluna,17,430,13,,,,,,
2020-03-13,Spain,Cataluna,18,758,25,,,,,,
2020-03-14,Spain,Cataluna,19,1112,38,,,,,,
2020-03-15,Spain,Cataluna,20,1610,45,,,,,,
2020-03-16,Spain,Cataluna,21,2319,64,,,,,,
2020-03-17,Spain,Cataluna,22,3159,87,,,,,,
2020-03-18,Spain,Cataluna,23,4170,128,,,,,,
2020-03-19,Spain,Cataluna,24,5499,183,,,,,,
2020-03-20,Spain,Cataluna,25,6991,255,,,,,,
2020-03-21,Spain,Cataluna,26,8236,337,,,,,,
2020-03-22,Spain,Cataluna,27,9297,435,,,,,,
2020-03-23,Spain,Cataluna,28,10864,571,,,,,,
2020-03-24,Spain,Cataluna,29,12827,703,,,,,,
2020-03-25,Spain,Cataluna,30,14709,882,,,,,,
2020-03-26,Spain,Cataluna,31,17067,1052,,,,,,
2020-03-27,Spain,Cataluna,32,18841,1252,,,,,,
2020-03-28,Spain,Cataluna,33,20424,1437,,,,,,
2020-03-29,Spain,Cataluna,34,21691,1630,,,,,,
2020-03-30,Spain,Cataluna,35,23520,1845,,,,,,
2020-03-31,Spain,Cataluna,36,25310,2044,,,,,,
2020-04-01,Spain,Cataluna,37,27002,2247,,,,,,
2020-04-02,Spain,Cataluna,38,28502,2433,,,,,,
2020-04-03,Spain,Cataluna,39,30097,2615,,,,,,
2020-04-04,Spain,Cataluna,40,31159,2786,,,,,,
2020-04-05,Spain,Cataluna,41,31895,2935,,,,,,
2020-04-06,Spain,Cataluna,42,33169,3108,,,,,,
2020-04-07,Spain,Cataluna,43,34508,3272,,,,,,
2020-04-08,Spain,Cataluna,44,35962,3450,,,,,,
2020-04-09,Spain,Cataluna,45,37522,3624,,,,,,
2020-04-10,Spain,Cataluna,46,38687,3785,,,,,,
2020-04-11,Spain,Cataluna,47,39656,3931,,,,,,
2020-04-12,Spain,Cataluna,48,40325,4068,,,,,,
2020-04-13,Spain,Cataluna,49,41192,4201,,,,,,
