date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-02-28,Spain,Comunidad de Madrid,-4,15,0,,,,,,
2020-02-29,Spain,Comunidad de Madrid,-3,20,0,,,,,,
2020-03-01,Spain,Comunidad de Madrid,-2,44,0,,,,,,
2020-03-02,Spain,Comunidad de Madrid,-1,83,0,,,,,,
2020-03-03,Spain,Comunidad de Madrid,0,122,0,,,,,,
2020-03-04,Spain,Comunidad de Madrid,1,179,0,,,,,,
2020-03-05,Spain,Comunidad de Madrid,2,294,1,,,,,,
2020-03-06,Spain,Comunidad de Madrid,3,461,3,,,,,,
2020-03-07,Spain,Comunidad de Madrid,4,641,4,,,,,,
2020-03-08,Spain,Comunidad de Madrid,5,861,14,,,,,,
2020-03-09,Spain,Comunidad de Madrid,6,1293,24,,,,,,
2020-03-10,Spain,Comunidad de Madrid,7,1952,48,,,,,,
2020-03-11,Spain,Comunidad de Madrid,8,2789,74,,,,,,
2020-03-12,Spain,Comunidad de Madrid,9,3763,113,,,,,,
2020-03-13,Spain,Comunidad de Madrid,10,4653,160,,,,,,
2020-03-14,Spain,Comunidad de Madrid,11,5552,224,,,,,,
2020-03-15,Spain,Comunidad de Madrid,12,6367,304,,,,,,
2020-03-16,Spain,Comunidad de Madrid,13,7782,414,,,,,,
2020-03-17,Spain,Comunidad de Madrid,14,9849,521,,,,,,
2020-03-18,Spain,Comunidad de Madrid,15,11697,638,,,,,,
2020-03-19,Spain,Comunidad de Madrid,16,14075,796,,,,,,
2020-03-20,Spain,Comunidad de Madrid,17,16386,1006,,,,,,
2020-03-21,Spain,Comunidad de Madrid,18,18327,1242,,,,,,
2020-03-22,Spain,Comunidad de Madrid,19,20004,1478,,,,,,
2020-03-23,Spain,Comunidad de Madrid,20,22885,1754,,,,,,
2020-03-24,Spain,Comunidad de Madrid,21,26213,2041,,,,,,
2020-03-25,Spain,Comunidad de Madrid,22,29429,2333,,,,,,
2020-03-26,Spain,Comunidad de Madrid,23,32682,2632,,,,,,
2020-03-27,Spain,Comunidad de Madrid,24,35027,2965,,,,,,
2020-03-28,Spain,Comunidad de Madrid,25,36275,3240,,,,,,
2020-03-29,Spain,Comunidad de Madrid,26,37161,3486,,,,,,
2020-03-30,Spain,Comunidad de Madrid,27,39441,3722,,,,,,
2020-03-31,Spain,Comunidad de Madrid,28,41343,3972,,,,,,
2020-04-01,Spain,Comunidad de Madrid,29,42935,4236,,,,,,
2020-04-02,Spain,Comunidad de Madrid,30,44864,4491,,,,,,
2020-04-03,Spain,Comunidad de Madrid,31,46721,4673,,,,,,
2020-04-04,Spain,Comunidad de Madrid,32,47600,4819,,,,,,
2020-04-05,Spain,Comunidad de Madrid,33,48196,5013,,,,,,
2020-04-06,Spain,Comunidad de Madrid,34,49785,5204,,,,,,
2020-04-07,Spain,Comunidad de Madrid,35,51140,5373,,,,,,
2020-04-08,Spain,Comunidad de Madrid,36,52538,5552,,,,,,
2020-04-09,Spain,Comunidad de Madrid,37,53463,5675,,,,,,
2020-04-10,Spain,Comunidad de Madrid,38,54419,5834,,,,,,
2020-04-11,Spain,Comunidad de Madrid,39,55052,5975,,,,,,
2020-04-12,Spain,Comunidad de Madrid,40,55459,6099,,,,,,
2020-04-13,Spain,Comunidad de Madrid,41,56396,6242,,,,,,
2020-04-14,Spain,Comunidad de Madrid,42,57418,6377,,,,,,
