date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-01,Spain,País Vasco,-59,0,0,,,,,,
2020-01-02,Spain,País Vasco,-58,0,0,,,,,,
2020-01-03,Spain,País Vasco,-57,0,0,,,,,,
2020-01-04,Spain,País Vasco,-56,0,0,,,,,,
2020-01-05,Spain,País Vasco,-55,0,0,,,,,,
2020-01-06,Spain,País Vasco,-54,0,0,,,,,,
2020-01-07,Spain,País Vasco,-53,0,0,,,,,,
2020-01-08,Spain,País Vasco,-52,0,0,,,,,,
2020-01-09,Spain,País Vasco,-51,0,0,,,,,,
2020-01-10,Spain,País Vasco,-50,0,0,,,,,,
2020-01-11,Spain,País Vasco,-49,0,0,,,,,,
2020-01-12,Spain,País Vasco,-48,0,0,,,,,,
2020-01-13,Spain,País Vasco,-47,0,0,,,,,,
2020-01-14,Spain,País Vasco,-46,0,0,,,,,,
2020-01-15,Spain,País Vasco,-45,0,0,,,,,,
2020-01-16,Spain,País Vasco,-44,0,0,,,,,,
2020-01-17,Spain,País Vasco,-43,0,0,,,,,,
2020-01-18,Spain,País Vasco,-42,0,0,,,,,,
2020-01-19,Spain,País Vasco,-41,0,0,,,,,,
2020-01-20,Spain,País Vasco,-40,0,0,,,,,,
2020-01-21,Spain,País Vasco,-39,0,0,,,,,,
2020-01-22,Spain,País Vasco,-38,0,0,,,,,,
2020-01-23,Spain,País Vasco,-37,0,0,,,,,,
2020-01-24,Spain,País Vasco,-36,0,0,,,,,,
2020-01-25,Spain,País Vasco,-35,0,0,,,,,,
2020-01-26,Spain,País Vasco,-34,0,0,,,,,,
2020-01-27,Spain,País Vasco,-33,0,0,,,,,,
2020-01-28,Spain,País Vasco,-32,0,0,,,,,,
2020-01-29,Spain,País Vasco,-31,0,0,,,,,,
2020-01-30,Spain,País Vasco,-30,0,0,,,,,,
2020-01-31,Spain,País Vasco,-29,0,0,,,,,,
2020-02-01,Spain,País Vasco,-28,0,0,,,,,,
2020-02-02,Spain,País Vasco,-27,0,0,,,,,,
2020-02-03,Spain,País Vasco,-26,0,0,,,,,,
2020-02-04,Spain,País Vasco,-25,0,0,,,,,,
2020-02-05,Spain,País Vasco,-24,0,0,,,,,,
2020-02-06,Spain,País Vasco,-23,0,0,,,,,,
2020-02-07,Spain,País Vasco,-22,0,0,,,,,,
2020-02-08,Spain,País Vasco,-21,0,0,,,,,,
2020-02-09,Spain,País Vasco,-20,0,0,,,,,,
2020-02-10,Spain,País Vasco,-19,0,0,,,,,,
2020-02-11,Spain,País Vasco,-18,0,0,,,,,,
2020-02-12,Spain,País Vasco,-17,2,0,,,,,,
2020-02-13,Spain,País Vasco,-16,2,0,,,,,,
2020-02-14,Spain,País Vasco,-15,2,0,,,,,,
2020-02-15,Spain,País Vasco,-14,5,0,,,,,,
2020-02-16,Spain,País Vasco,-13,6,0,,,,,,
2020-02-17,Spain,País Vasco,-12,8,0,,,,,,
2020-02-18,Spain,País Vasco,-11,8,0,,,,,,
2020-02-19,Spain,País Vasco,-10,9,0,,,,,,
2020-02-20,Spain,País Vasco,-9,10,0,,,,,,
2020-02-21,Spain,País Vasco,-8,13,0,,,,,,
2020-02-22,Spain,País Vasco,-7,17,0,,,,,,
2020-02-23,Spain,País Vasco,-6,18,0,,,,,,
2020-02-24,Spain,País Vasco,-5,24,0,,,,,,
2020-02-25,Spain,País Vasco,-4,35,0,,,,,,
2020-02-26,Spain,País Vasco,-3,46,0,,,,,,
2020-02-27,Spain,País Vasco,-2,59,0,,,,,,
2020-02-28,Spain,País Vasco,-1,90,0,,,,,,
2020-02-29,Spain,País Vasco,0,115,0,,,,,,
2020-03-01,Spain,País Vasco,1,162,0,,,,,,
2020-03-02,Spain,País Vasco,2,216,0,,,,,,
2020-03-03,Spain,País Vasco,3,273,0,,,,,,
2020-03-04,Spain,País Vasco,4,342,1,,,,,,
2020-03-05,Spain,País Vasco,5,417,1,,,,,,
2020-03-06,Spain,País Vasco,6,497,1,,,,,,
2020-03-07,Spain,País Vasco,7,584,2,,,,,,
2020-03-08,Spain,País Vasco,8,682,4,,,,,,
2020-03-09,Spain,País Vasco,9,822,6,,,,,,
2020-03-10,Spain,País Vasco,10,1047,6,,,,,,
2020-03-11,Spain,País Vasco,11,1268,11,,,,,,
2020-03-12,Spain,País Vasco,12,1532,14,,,,,,
2020-03-13,Spain,País Vasco,13,1942,20,,,,,,
2020-03-14,Spain,País Vasco,14,2352,22,,,,,,
2020-03-15,Spain,País Vasco,15,2769,36,,,,,,
2020-03-16,Spain,País Vasco,16,3348,41,,,,,,
2020-03-17,Spain,País Vasco,17,3867,52,,,,,,
2020-03-18,Spain,País Vasco,18,4411,71,,,,,,
2020-03-19,Spain,País Vasco,19,4861,87,,,,,,
2020-03-20,Spain,País Vasco,20,5444,103,,,,,,
2020-03-21,Spain,País Vasco,21,5867,124,,,,,,
2020-03-22,Spain,País Vasco,22,6251,145,,,,,,
2020-03-23,Spain,País Vasco,23,6711,162,,,,,,
2020-03-24,Spain,País Vasco,24,7088,187,,,,,,
2020-03-25,Spain,País Vasco,25,7479,222,,,,,,
2020-03-26,Spain,País Vasco,26,7830,248,,,,,,
2020-03-27,Spain,País Vasco,27,8217,280,,,,,,
2020-03-28,Spain,País Vasco,28,8496,316,,,,,,
2020-03-29,Spain,País Vasco,29,8736,355,,,,,,
2020-03-30,Spain,País Vasco,30,9040,396,,,,,,
2020-03-31,Spain,País Vasco,31,9289,438,,,,,,
2020-04-01,Spain,País Vasco,32,9555,481,,,,,,
2020-04-02,Spain,País Vasco,33,9794,514,,,,,,
2020-04-03,Spain,País Vasco,34,10103,564,,,,,,
2020-04-04,Spain,País Vasco,35,10304,615,,,,,,
2020-04-05,Spain,País Vasco,36,10522,661,,,,,,
2020-04-06,Spain,País Vasco,37,10806,712,,,,,,
2020-04-07,Spain,País Vasco,38,11029,759,,,,,,
2020-04-08,Spain,País Vasco,39,11247,798,,,,,,
2020-04-09,Spain,País Vasco,40,11440,847,,,,,,
2020-04-10,Spain,País Vasco,41,11616,885,,,,,,
2020-04-11,Spain,País Vasco,42,11740,927,,,,,,
2020-04-12,Spain,País Vasco,43,11882,959,,,,,,
2020-04-13,Spain,País Vasco,44,11992,1004,,,,,,
2020-04-14,Spain,País Vasco,45,12082,1036,,,,,,
2020-04-15,Spain,País Vasco,46,12181,1065,,,,,,
2020-04-16,Spain,País Vasco,47,12289,1092,,,,,,
2020-04-17,Spain,País Vasco,48,12421,1123,,,,,,
2020-04-18,Spain,País Vasco,49,12518,1149,,,,,,
2020-04-19,Spain,País Vasco,50,12568,1172,,,,,,
2020-04-20,Spain,País Vasco,51,12646,1187,,,,,,
2020-04-21,Spain,País Vasco,52,12716,1215,,,,,,
2020-04-22,Spain,País Vasco,53,12765,1229,,,,,,
2020-04-23,Spain,País Vasco,54,12823,1245,,,,,,
2020-04-24,Spain,País Vasco,55,12908,1258,,,,,,
2020-04-25,Spain,País Vasco,56,12946,1273,,,,,,
2020-04-26,Spain,País Vasco,57,12977,1282,,,,,,
2020-04-27,Spain,País Vasco,58,13006,1295,,,,,,
2020-04-28,Spain,País Vasco,59,13044,1313,,,,,,
2020-04-29,Spain,País Vasco,60,13075,1321,,,,,,
2020-04-30,Spain,País Vasco,61,13101,1331,,,,,,
2020-05-01,Spain,País Vasco,62,13132,1343,,,,,,
2020-05-02,Spain,País Vasco,63,13173,1354,,,,,,
2020-05-03,Spain,País Vasco,64,13201,1366,,,,,,
2020-05-04,Spain,País Vasco,65,13214,1378,,,,,,
2020-05-05,Spain,País Vasco,66,13233,1387,,,,,,
2020-05-06,Spain,País Vasco,67,13246,1392,,,,,,
2020-05-07,Spain,País Vasco,68,13258,1402,,,,,,
2020-05-08,Spain,País Vasco,69,13276,1411,,,,,,
2020-05-09,Spain,País Vasco,70,13289,1418,,,,,,
2020-05-10,Spain,País Vasco,71,13295,1423,,,,,,
2020-05-11,Spain,País Vasco,72,13318,1431,,,,,,
2020-05-12,Spain,País Vasco,73,13336,1439,,,,,,
2020-05-13,Spain,País Vasco,74,13358,1440,,,,,,
2020-05-14,Spain,País Vasco,75,13370,1443,,,,,,
2020-05-15,Spain,País Vasco,76,13381,1448,,,,,,
2020-05-16,Spain,País Vasco,77,13388,1456,,,,,,
2020-05-17,Spain,País Vasco,78,13394,1458,,,,,,
2020-05-18,Spain,País Vasco,79,13407,1464,,,,,,
2020-05-19,Spain,País Vasco,80,13419,1468,,,,,,
2020-05-20,Spain,País Vasco,81,13427,1472,,,,,,
2020-05-21,Spain,País Vasco,82,13436,1476,,,,,,
2020-05-22,Spain,País Vasco,83,13442,1483,,,,,,
2020-05-23,Spain,País Vasco,84,13448,1486,,,,,,
2020-05-24,Spain,País Vasco,85,13450,1495,,,,,,
2020-05-25,Spain,País Vasco,86,13456,1498,,,,,,
2020-05-26,Spain,País Vasco,87,13464,1501,,,,,,
2020-05-27,Spain,País Vasco,88,13466,1503,,,,,,
2020-05-28,Spain,País Vasco,89,13470,1507,,,,,,
2020-05-29,Spain,País Vasco,90,13472,1513,,,,,,
2020-05-30,Spain,País Vasco,91,13475,1517,,,,,,
2020-05-31,Spain,País Vasco,92,13475,1519,,,,,,
2020-06-01,Spain,País Vasco,93,13482,1522,,,,,,
2020-06-02,Spain,País Vasco,94,13493,1527,,,,,,
2020-06-03,Spain,País Vasco,95,13500,1529,,,,,,
2020-06-04,Spain,País Vasco,96,13506,1534,,,,,,
2020-06-05,Spain,País Vasco,97,13515,1538,,,,,,
2020-06-06,Spain,País Vasco,98,13523,1542,,,,,,
2020-06-07,Spain,País Vasco,99,13535,1544,,,,,,
2020-06-08,Spain,País Vasco,100,13549,1546,,,,,,
2020-06-09,Spain,País Vasco,101,13561,1547,,,,,,
2020-06-10,Spain,País Vasco,102,13569,1550,,,,,,
2020-06-11,Spain,País Vasco,103,13579,1552,,,,,,
2020-06-12,Spain,País Vasco,104,13597,1552,,,,,,
2020-06-13,Spain,País Vasco,105,13605,1554,,,,,,
2020-06-14,Spain,País Vasco,106,13611,1554,,,,,,
2020-06-15,Spain,País Vasco,107,13625,1554,,,,,,
2020-06-16,Spain,País Vasco,108,13636,1554,,,,,,
2020-06-17,Spain,País Vasco,109,13644,1554,,,,,,
2020-06-18,Spain,País Vasco,110,13656,1555,,,,,,
2020-06-19,Spain,País Vasco,111,13667,1555,,,,,,
2020-06-20,Spain,País Vasco,112,13671,1555,,,,,,
2020-06-21,Spain,País Vasco,113,13677,1555,,,,,,
2020-06-22,Spain,País Vasco,114,13684,1555,,,,,,
2020-06-23,Spain,País Vasco,115,13689,1556,,,,,,
2020-06-24,Spain,País Vasco,116,13702,1556,,,,,,
2020-06-25,Spain,País Vasco,117,13707,1557,,,,,,
2020-06-26,Spain,País Vasco,118,13717,1557,,,,,,
2020-06-27,Spain,País Vasco,119,13722,1557,,,,,,
2020-06-28,Spain,País Vasco,120,13729,1558,,,,,,
2020-06-29,Spain,País Vasco,121,13737,1559,,,,,,
2020-06-30,Spain,País Vasco,122,13751,1559,,,,,,
2020-07-01,Spain,País Vasco,123,13758,1561,,,,,,
2020-07-02,Spain,País Vasco,124,13766,1561,,,,,,
2020-07-03,Spain,País Vasco,125,13779,1561,,,,,,
2020-07-04,Spain,País Vasco,126,13786,1561,,,,,,
2020-07-05,Spain,País Vasco,127,13803,1561,,,,,,
2020-07-06,Spain,País Vasco,128,13834,1561,,,,,,
2020-07-07,Spain,País Vasco,129,13865,1561,,,,,,
2020-07-08,Spain,País Vasco,130,13902,1561,,,,,,
2020-07-09,Spain,País Vasco,131,13936,1561,,,,,,
2020-07-10,Spain,País Vasco,132,13961,1561,,,,,,
2020-07-11,Spain,País Vasco,133,14002,1561,,,,,,
2020-07-12,Spain,País Vasco,134,14046,1562,,,,,,
2020-07-13,Spain,País Vasco,135,14098,1562,,,,,,
2020-07-14,Spain,País Vasco,136,14178,1563,,,,,,
2020-07-15,Spain,País Vasco,137,14271,1563,,,,,,
2020-07-16,Spain,País Vasco,138,14398,1563,,,,,,
2020-07-17,Spain,País Vasco,139,14500,1563,,,,,,
2020-07-18,Spain,País Vasco,140,14685,1564,,,,,,
2020-07-19,Spain,País Vasco,141,14782,1564,,,,,,
2020-07-20,Spain,País Vasco,142,14893,1564,,,,,,
2020-07-21,Spain,País Vasco,143,15020,1564,,,,,,
2020-07-22,Spain,País Vasco,144,15178,1564,,,,,,
2020-07-23,Spain,País Vasco,145,15298,1564,,,,,,
2020-07-24,Spain,País Vasco,146,15408,1564,,,,,,
2020-07-25,Spain,País Vasco,147,15578,1564,,,,,,
2020-07-26,Spain,País Vasco,148,15748,1564,,,,,,
2020-07-27,Spain,País Vasco,149,15967,1564,,,,,,
2020-07-28,Spain,País Vasco,150,16196,1564,,,,,,
2020-07-29,Spain,País Vasco,151,16397,1564,,,,,,
2020-07-30,Spain,País Vasco,152,16540,1564,,,,,,
2020-07-31,Spain,País Vasco,153,16723,1564,,,,,,
2020-08-01,Spain,País Vasco,154,16939,1564,,,,,,
2020-08-02,Spain,País Vasco,155,17244,1564,,,,,,
2020-08-03,Spain,País Vasco,156,17650,1564,,,,,,
2020-08-04,Spain,País Vasco,157,18014,1565,,,,,,
2020-08-05,Spain,País Vasco,158,18384,1565,,,,,,
2020-08-06,Spain,País Vasco,159,18724,1565,,,,,,
2020-08-07,Spain,País Vasco,160,18982,1565,,,,,,
2020-08-08,Spain,País Vasco,161,19272,1565,,,,,,
2020-08-09,Spain,País Vasco,162,19799,1566,,,,,,
2020-08-10,Spain,País Vasco,163,20303,1566,,,,,,
2020-08-11,Spain,País Vasco,164,20864,1566,,,,,,
2020-08-12,Spain,País Vasco,165,21461,1566,,,,,,
2020-08-13,Spain,País Vasco,166,21813,1566,,,,,,
2020-08-14,Spain,País Vasco,167,22089,1567,,,,,,
2020-08-15,Spain,País Vasco,168,22573,1567,,,,,,
