date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,AK_Kenai_Peninsula_Borough,-140,0,0,,,,,,
2020-01-23,US,AK_Kenai_Peninsula_Borough,-139,0,0,,,,,,
2020-01-24,US,AK_Kenai_Peninsula_Borough,-138,0,0,,,,,,
2020-01-25,US,AK_Kenai_Peninsula_Borough,-137,0,0,,,,,,
2020-01-26,US,AK_Kenai_Peninsula_Borough,-136,0,0,,,,,,
2020-01-27,US,AK_Kenai_Peninsula_Borough,-135,0,0,,,,,,
2020-01-28,US,AK_Kenai_Peninsula_Borough,-134,0,0,,,,,,
2020-01-29,US,AK_Kenai_Peninsula_Borough,-133,0,0,,,,,,
2020-01-30,US,AK_Kenai_Peninsula_Borough,-132,0,0,,,,,,
2020-01-31,US,AK_Kenai_Peninsula_Borough,-131,0,0,,,,,,
2020-02-01,US,AK_Kenai_Peninsula_Borough,-130,0,0,,,,,,
2020-02-02,US,AK_Kenai_Peninsula_Borough,-129,0,0,,,,,,
2020-02-03,US,AK_Kenai_Peninsula_Borough,-128,0,0,,,,,,
2020-02-04,US,AK_Kenai_Peninsula_Borough,-127,0,0,,,,,,
2020-02-05,US,AK_Kenai_Peninsula_Borough,-126,0,0,,,,,,
2020-02-06,US,AK_Kenai_Peninsula_Borough,-125,0,0,,,,,,
2020-02-07,US,AK_Kenai_Peninsula_Borough,-124,0,0,,,,,,
2020-02-08,US,AK_Kenai_Peninsula_Borough,-123,0,0,,,,,,
2020-02-09,US,AK_Kenai_Peninsula_Borough,-122,0,0,,,,,,
2020-02-10,US,AK_Kenai_Peninsula_Borough,-121,0,0,,,,,,
2020-02-11,US,AK_Kenai_Peninsula_Borough,-120,0,0,,,,,,
2020-02-12,US,AK_Kenai_Peninsula_Borough,-119,0,0,,,,,,
2020-02-13,US,AK_Kenai_Peninsula_Borough,-118,0,0,,,,,,
2020-02-14,US,AK_Kenai_Peninsula_Borough,-117,0,0,,,,,,
2020-02-15,US,AK_Kenai_Peninsula_Borough,-116,0,0,,,,,,
2020-02-16,US,AK_Kenai_Peninsula_Borough,-115,0,0,,,,,,
2020-02-17,US,AK_Kenai_Peninsula_Borough,-114,0,0,,,,,,
2020-02-18,US,AK_Kenai_Peninsula_Borough,-113,0,0,,,,,,
2020-02-19,US,AK_Kenai_Peninsula_Borough,-112,0,0,,,,,,
2020-02-20,US,AK_Kenai_Peninsula_Borough,-111,0,0,,,,,,
2020-02-21,US,AK_Kenai_Peninsula_Borough,-110,0,0,,,,,,
2020-02-22,US,AK_Kenai_Peninsula_Borough,-109,0,0,,,,,,
2020-02-23,US,AK_Kenai_Peninsula_Borough,-108,0,0,,,,,,
2020-02-24,US,AK_Kenai_Peninsula_Borough,-107,0,0,,,,,,
2020-02-25,US,AK_Kenai_Peninsula_Borough,-106,0,0,,,,,,
2020-02-26,US,AK_Kenai_Peninsula_Borough,-105,0,0,,,,,,
2020-02-27,US,AK_Kenai_Peninsula_Borough,-104,0,0,,,,,,
2020-02-28,US,AK_Kenai_Peninsula_Borough,-103,0,0,,,,,,
2020-02-29,US,AK_Kenai_Peninsula_Borough,-102,0,0,,,,,,
2020-03-01,US,AK_Kenai_Peninsula_Borough,-101,0,0,,,,,,
2020-03-02,US,AK_Kenai_Peninsula_Borough,-100,0,0,,,,,,
2020-03-03,US,AK_Kenai_Peninsula_Borough,-99,0,0,,,,,,
2020-03-04,US,AK_Kenai_Peninsula_Borough,-98,0,0,,,,,,
2020-03-05,US,AK_Kenai_Peninsula_Borough,-97,0,0,,,,,,
2020-03-06,US,AK_Kenai_Peninsula_Borough,-96,0,0,,,,,,
2020-03-07,US,AK_Kenai_Peninsula_Borough,-95,0,0,,,,,,
2020-03-08,US,AK_Kenai_Peninsula_Borough,-94,0,0,,,,,,
2020-03-09,US,AK_Kenai_Peninsula_Borough,-93,0,0,,,,,,
2020-03-10,US,AK_Kenai_Peninsula_Borough,-92,0,0,,,,,,
2020-03-11,US,AK_Kenai_Peninsula_Borough,-91,0,0,,,,,,
2020-03-12,US,AK_Kenai_Peninsula_Borough,-90,0,0,,,,,,
2020-03-13,US,AK_Kenai_Peninsula_Borough,-89,0,0,,,,,,
2020-03-14,US,AK_Kenai_Peninsula_Borough,-88,0,0,,,,,,
2020-03-15,US,AK_Kenai_Peninsula_Borough,-87,0,0,,,,,,
2020-03-16,US,AK_Kenai_Peninsula_Borough,-86,0,0,,,,,,
2020-03-17,US,AK_Kenai_Peninsula_Borough,-85,0,0,,,,,,
2020-03-18,US,AK_Kenai_Peninsula_Borough,-84,0,0,,,,,,
2020-03-19,US,AK_Kenai_Peninsula_Borough,-83,0,0,,,,,,
2020-03-20,US,AK_Kenai_Peninsula_Borough,-82,0,0,,,,,,
2020-03-21,US,AK_Kenai_Peninsula_Borough,-81,0,0,,,,,,
2020-03-22,US,AK_Kenai_Peninsula_Borough,-80,3,0,,,,,,
2020-03-23,US,AK_Kenai_Peninsula_Borough,-79,3,0,,,,,,
2020-03-24,US,AK_Kenai_Peninsula_Borough,-78,4,0,,,,,,
2020-03-25,US,AK_Kenai_Peninsula_Borough,-77,5,0,,,,,,
2020-03-26,US,AK_Kenai_Peninsula_Borough,-76,5,0,,,,,,
2020-03-27,US,AK_Kenai_Peninsula_Borough,-75,5,0,,,,,,
2020-03-28,US,AK_Kenai_Peninsula_Borough,-74,7,0,,,,,,
2020-03-29,US,AK_Kenai_Peninsula_Borough,-73,7,0,,,,,,
2020-03-30,US,AK_Kenai_Peninsula_Borough,-72,7,0,,,,,,
2020-03-31,US,AK_Kenai_Peninsula_Borough,-71,8,0,,,,,,
2020-04-01,US,AK_Kenai_Peninsula_Borough,-70,8,0,,,,,,
2020-04-02,US,AK_Kenai_Peninsula_Borough,-69,8,0,,,,,,
2020-04-03,US,AK_Kenai_Peninsula_Borough,-68,10,0,,,,,,
2020-04-04,US,AK_Kenai_Peninsula_Borough,-67,11,1,,,,,,
2020-04-05,US,AK_Kenai_Peninsula_Borough,-66,12,1,,,,,,
2020-04-06,US,AK_Kenai_Peninsula_Borough,-65,13,1,,,,,,
2020-04-07,US,AK_Kenai_Peninsula_Borough,-64,13,1,,,,,,
2020-04-08,US,AK_Kenai_Peninsula_Borough,-63,13,1,,,,,,
2020-04-09,US,AK_Kenai_Peninsula_Borough,-62,14,1,,,,,,
2020-04-10,US,AK_Kenai_Peninsula_Borough,-61,15,1,,,,,,
2020-04-11,US,AK_Kenai_Peninsula_Borough,-60,15,1,,,,,,
2020-04-12,US,AK_Kenai_Peninsula_Borough,-59,15,1,,,,,,
2020-04-13,US,AK_Kenai_Peninsula_Borough,-58,15,1,,,,,,
2020-04-14,US,AK_Kenai_Peninsula_Borough,-57,15,1,,,,,,
2020-04-15,US,AK_Kenai_Peninsula_Borough,-56,16,1,,,,,,
2020-04-16,US,AK_Kenai_Peninsula_Borough,-55,16,1,,,,,,
2020-04-17,US,AK_Kenai_Peninsula_Borough,-54,17,1,,,,,,
