date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-03,US,AL_Houston_County,-32,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,AL_Houston_County,-31,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,AL_Houston_County,-30,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,AL_Houston_County,-29,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,AL_Houston_County,-28,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,AL_Houston_County,-27,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,AL_Houston_County,-26,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,AL_Houston_County,-25,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,AL_Houston_County,-24,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,AL_Houston_County,-23,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,AL_Houston_County,-22,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,AL_Houston_County,-21,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,AL_Houston_County,-20,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,AL_Houston_County,-19,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,AL_Houston_County,-18,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,AL_Houston_County,-17,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,AL_Houston_County,-16,67.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,AL_Houston_County,-15,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,AL_Houston_County,-14,74.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,AL_Houston_County,-13,76.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,AL_Houston_County,-12,78.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
