date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,AL_Limestone_County,-130,0,0,,,,,,
2020-01-23,US,AL_Limestone_County,-129,0,0,,,,,,
2020-01-24,US,AL_Limestone_County,-128,0,0,,,,,,
2020-01-25,US,AL_Limestone_County,-127,0,0,,,,,,
2020-01-26,US,AL_Limestone_County,-126,0,0,,,,,,
2020-01-27,US,AL_Limestone_County,-125,0,0,,,,,,
2020-01-28,US,AL_Limestone_County,-124,0,0,,,,,,
2020-01-29,US,AL_Limestone_County,-123,0,0,,,,,,
2020-01-30,US,AL_Limestone_County,-122,0,0,,,,,,
2020-01-31,US,AL_Limestone_County,-121,0,0,,,,,,
2020-02-01,US,AL_Limestone_County,-120,0,0,,,,,,
2020-02-02,US,AL_Limestone_County,-119,0,0,,,,,,
2020-02-03,US,AL_Limestone_County,-118,0,0,,,,,,
2020-02-04,US,AL_Limestone_County,-117,0,0,,,,,,
2020-02-05,US,AL_Limestone_County,-116,0,0,,,,,,
2020-02-06,US,AL_Limestone_County,-115,0,0,,,,,,
2020-02-07,US,AL_Limestone_County,-114,0,0,,,,,,
2020-02-08,US,AL_Limestone_County,-113,0,0,,,,,,
2020-02-09,US,AL_Limestone_County,-112,0,0,,,,,,
2020-02-10,US,AL_Limestone_County,-111,0,0,,,,,,
2020-02-11,US,AL_Limestone_County,-110,0,0,,,,,,
2020-02-12,US,AL_Limestone_County,-109,0,0,,,,,,
2020-02-13,US,AL_Limestone_County,-108,0,0,,,,,,
2020-02-14,US,AL_Limestone_County,-107,0,0,,,,,,
2020-02-15,US,AL_Limestone_County,-106,0,0,,,,,,
2020-02-16,US,AL_Limestone_County,-105,0,0,,,,,,
2020-02-17,US,AL_Limestone_County,-104,0,0,,,,,,
2020-02-18,US,AL_Limestone_County,-103,0,0,,,,,,
2020-02-19,US,AL_Limestone_County,-102,0,0,,,,,,
2020-02-20,US,AL_Limestone_County,-101,0,0,,,,,,
2020-02-21,US,AL_Limestone_County,-100,0,0,,,,,,
2020-02-22,US,AL_Limestone_County,-99,0,0,,,,,,
2020-02-23,US,AL_Limestone_County,-98,0,0,,,,,,
2020-02-24,US,AL_Limestone_County,-97,0,0,,,,,,
2020-02-25,US,AL_Limestone_County,-96,0,0,,,,,,
2020-02-26,US,AL_Limestone_County,-95,0,0,,,,,,
2020-02-27,US,AL_Limestone_County,-94,0,0,,,,,,
2020-02-28,US,AL_Limestone_County,-93,0,0,,,,,,
2020-02-29,US,AL_Limestone_County,-92,0,0,,,,,,
2020-03-01,US,AL_Limestone_County,-91,0,0,,,,,,
2020-03-02,US,AL_Limestone_County,-90,0,0,,,,,,
2020-03-03,US,AL_Limestone_County,-89,0,0,,,,,,
2020-03-04,US,AL_Limestone_County,-88,0,0,,,,,,
2020-03-05,US,AL_Limestone_County,-87,0,0,,,,,,
2020-03-06,US,AL_Limestone_County,-86,0,0,,,,,,
2020-03-07,US,AL_Limestone_County,-85,0,0,,,,,,
2020-03-08,US,AL_Limestone_County,-84,0,0,,,,,,
2020-03-09,US,AL_Limestone_County,-83,0,0,,,,,,
2020-03-10,US,AL_Limestone_County,-82,0,0,,,,,,
2020-03-11,US,AL_Limestone_County,-81,0,0,,,,,,
2020-03-12,US,AL_Limestone_County,-80,0,0,,,,,,
2020-03-13,US,AL_Limestone_County,-79,1,0,,,,,,
2020-03-14,US,AL_Limestone_County,-78,1,0,,,,,,
2020-03-15,US,AL_Limestone_County,-77,1,0,,,,,,
2020-03-16,US,AL_Limestone_County,-76,1,0,,,,,,
2020-03-17,US,AL_Limestone_County,-75,1,0,,,,,,
2020-03-18,US,AL_Limestone_County,-74,1,0,,,,,,
2020-03-19,US,AL_Limestone_County,-73,1,0,,,,,,
2020-03-20,US,AL_Limestone_County,-72,1,0,,,,,,
2020-03-21,US,AL_Limestone_County,-71,1,0,,,,,,
2020-03-22,US,AL_Limestone_County,-70,1,0,,,,,,
2020-03-23,US,AL_Limestone_County,-69,1,0,,,,,,
2020-03-24,US,AL_Limestone_County,-68,4,0,,,,,,
2020-03-25,US,AL_Limestone_County,-67,6,0,,,,,,
2020-03-26,US,AL_Limestone_County,-66,13,0,,,,,,
2020-03-27,US,AL_Limestone_County,-65,16,0,,,,,,
2020-03-28,US,AL_Limestone_County,-64,16,0,,,,,,
2020-03-29,US,AL_Limestone_County,-63,16,0,,,,,,
2020-03-30,US,AL_Limestone_County,-62,20,0,,,,,,
2020-03-31,US,AL_Limestone_County,-61,22,0,,,,,,
2020-04-01,US,AL_Limestone_County,-60,23,0,,,,,,
2020-04-02,US,AL_Limestone_County,-59,25,0,,,,,,
2020-04-03,US,AL_Limestone_County,-58,30,0,,,,,,
2020-04-04,US,AL_Limestone_County,-57,31,0,,,,,,
2020-04-05,US,AL_Limestone_County,-56,32,0,,,,,,
2020-04-06,US,AL_Limestone_County,-55,32,0,,,,,,
2020-04-07,US,AL_Limestone_County,-54,32,0,,,,,,
2020-04-08,US,AL_Limestone_County,-53,32,0,,,,,,
2020-04-09,US,AL_Limestone_County,-52,35,0,,,,,,
2020-04-10,US,AL_Limestone_County,-51,36,0,,,,,,
2020-04-11,US,AL_Limestone_County,-50,36,0,,,,,,
2020-04-12,US,AL_Limestone_County,-49,37,0,,,,,,
2020-04-13,US,AL_Limestone_County,-48,37,0,,,,,,
2020-04-14,US,AL_Limestone_County,-47,37,0,,,,,,
2020-04-15,US,AL_Limestone_County,-46,38,0,,,,,,
2020-04-16,US,AL_Limestone_County,-45,38,0,,,,,,
2020-04-17,US,AL_Limestone_County,-44,38,0,,,,,,
2020-04-18,US,AL_Limestone_County,-43,38,0,,,,,,
2020-04-19,US,AL_Limestone_County,-42,38,0,,,,,,
2020-04-20,US,AL_Limestone_County,-41,38,0,,,,,,
2020-04-21,US,AL_Limestone_County,-40,38,0,,,,,,
2020-04-22,US,AL_Limestone_County,-39,38,0,,,,,,
2020-04-23,US,AL_Limestone_County,-38,40,0,,,,,,
2020-04-24,US,AL_Limestone_County,-37,41,0,,,,,,
2020-04-25,US,AL_Limestone_County,-36,41,0,,,,,,
2020-04-26,US,AL_Limestone_County,-35,41,0,,,,,,
2020-04-27,US,AL_Limestone_County,-34,42,0,,,,,,
2020-04-28,US,AL_Limestone_County,-33,44,0,,,,,,
2020-04-29,US,AL_Limestone_County,-32,44,0,,,,,,
2020-04-30,US,AL_Limestone_County,-31,44,0,,,,,,
2020-05-01,US,AL_Limestone_County,-30,44,0,,,,,,
2020-05-02,US,AL_Limestone_County,-29,44,0,,,,,,
2020-05-03,US,AL_Limestone_County,-28,45,0,,,,,,
2020-05-04,US,AL_Limestone_County,-27,47,0,,,,,,
2020-05-05,US,AL_Limestone_County,-26,48,0,,,,,,
2020-05-06,US,AL_Limestone_County,-25,49,0,,,,,,
2020-05-07,US,AL_Limestone_County,-24,54,0,,,,,,
2020-05-08,US,AL_Limestone_County,-23,55,0,,,,,,
2020-05-09,US,AL_Limestone_County,-22,57,0,,,,,,
2020-05-10,US,AL_Limestone_County,-21,57,0,,,,,,
2020-05-11,US,AL_Limestone_County,-20,57,0,,,,,,
2020-05-12,US,AL_Limestone_County,-19,58,0,,,,,,
2020-05-13,US,AL_Limestone_County,-18,60,0,,,,,,
2020-05-14,US,AL_Limestone_County,-17,62,0,,,,,,
2020-05-15,US,AL_Limestone_County,-16,64,0,,,,,,
2020-05-16,US,AL_Limestone_County,-15,64,0,,,,,,
2020-05-17,US,AL_Limestone_County,-14,64,0,,,,,,
2020-05-18,US,AL_Limestone_County,-13,65,0,,,,,,
2020-05-19,US,AL_Limestone_County,-12,65,0,,,,,,
2020-05-20,US,AL_Limestone_County,-11,69,0,,,,,,
2020-05-21,US,AL_Limestone_County,-10,71,0,,,,,,
2020-05-22,US,AL_Limestone_County,-9,72,0,,,,,,
2020-05-23,US,AL_Limestone_County,-8,72,0,,,,,,
2020-05-24,US,AL_Limestone_County,-7,74,0,,,,,,
2020-05-25,US,AL_Limestone_County,-6,80,0,,,,,,
2020-05-26,US,AL_Limestone_County,-5,82,0,,,,,,
2020-05-27,US,AL_Limestone_County,-4,86,0,,,,,,
2020-05-28,US,AL_Limestone_County,-3,87,0,,,,,,
2020-05-29,US,AL_Limestone_County,-2,92,0,,,,,,
2020-05-30,US,AL_Limestone_County,-1,94,0,,,,,,
2020-05-31,US,AL_Limestone_County,0,105,0,,,,,,
2020-06-01,US,AL_Limestone_County,1,108,0,,,,,,
2020-06-02,US,AL_Limestone_County,2,108,0,,,,,,
2020-06-03,US,AL_Limestone_County,3,108,0,,,,,,
2020-06-04,US,AL_Limestone_County,4,108,0,,,,,,
2020-06-05,US,AL_Limestone_County,5,110,0,,,,,,
2020-06-06,US,AL_Limestone_County,6,119,0,,,,,,
2020-06-07,US,AL_Limestone_County,7,123,0,,,,,,
2020-06-08,US,AL_Limestone_County,8,135,0,,,,,,
2020-06-09,US,AL_Limestone_County,9,144,0,,,,,,
2020-06-10,US,AL_Limestone_County,10,151,0,,,,,,
2020-06-11,US,AL_Limestone_County,11,162,0,,,,,,
2020-06-12,US,AL_Limestone_County,12,175,0,,,,,,
2020-06-13,US,AL_Limestone_County,13,197,0,,,,,,
2020-06-14,US,AL_Limestone_County,14,215,0,,,,,,
2020-06-15,US,AL_Limestone_County,15,228,0,,,,,,
