date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,AZ_Maricopa_County,-61,0,0,,,,,,
2020-01-23,US,AZ_Maricopa_County,-60,0,0,,,,,,
2020-01-24,US,AZ_Maricopa_County,-59,0,0,,,,,,
2020-01-25,US,AZ_Maricopa_County,-58,0,0,,,,,,
2020-01-26,US,AZ_Maricopa_County,-57,1,0,,,,,,
2020-01-27,US,AZ_Maricopa_County,-56,1,0,,,,,,
2020-01-28,US,AZ_Maricopa_County,-55,1,0,,,,,,
2020-01-29,US,AZ_Maricopa_County,-54,1,0,,,,,,
2020-01-30,US,AZ_Maricopa_County,-53,1,0,,,,,,
2020-01-31,US,AZ_Maricopa_County,-52,1,0,,,,,,
2020-02-01,US,AZ_Maricopa_County,-51,1,0,,,,,,
2020-02-02,US,AZ_Maricopa_County,-50,1,0,,,,,,
2020-02-03,US,AZ_Maricopa_County,-49,1,0,,,,,,
2020-02-04,US,AZ_Maricopa_County,-48,1,0,,,,,,
2020-02-05,US,AZ_Maricopa_County,-47,1,0,,,,,,
2020-02-06,US,AZ_Maricopa_County,-46,1,0,,,,,,
2020-02-07,US,AZ_Maricopa_County,-45,1,0,,,,,,
2020-02-08,US,AZ_Maricopa_County,-44,1,0,,,,,,
2020-02-09,US,AZ_Maricopa_County,-43,1,0,,,,,,
2020-02-10,US,AZ_Maricopa_County,-42,1,0,,,,,,
2020-02-11,US,AZ_Maricopa_County,-41,1,0,,,,,,
2020-02-12,US,AZ_Maricopa_County,-40,1,0,,,,,,
2020-02-13,US,AZ_Maricopa_County,-39,1,0,,,,,,
2020-02-14,US,AZ_Maricopa_County,-38,1,0,,,,,,
2020-02-15,US,AZ_Maricopa_County,-37,1,0,,,,,,
2020-02-16,US,AZ_Maricopa_County,-36,1,0,,,,,,
2020-02-17,US,AZ_Maricopa_County,-35,1,0,,,,,,
2020-02-18,US,AZ_Maricopa_County,-34,1,0,,,,,,
2020-02-19,US,AZ_Maricopa_County,-33,1,0,,,,,,
2020-02-20,US,AZ_Maricopa_County,-32,1,0,,,,,,
2020-02-21,US,AZ_Maricopa_County,-31,1,0,,,,,,
2020-02-22,US,AZ_Maricopa_County,-30,1,0,,,,,,
2020-02-23,US,AZ_Maricopa_County,-29,1,0,,,,,,
2020-02-24,US,AZ_Maricopa_County,-28,1,0,,,,,,
2020-02-25,US,AZ_Maricopa_County,-27,1,0,,,,,,
2020-02-26,US,AZ_Maricopa_County,-26,1,0,,,,,,
2020-02-27,US,AZ_Maricopa_County,-25,1,0,,,,,,
2020-02-28,US,AZ_Maricopa_County,-24,1,0,,,,,,
2020-02-29,US,AZ_Maricopa_County,-23,1,0,,,,,,
2020-03-01,US,AZ_Maricopa_County,-22,1,0,,,,,,
2020-03-02,US,AZ_Maricopa_County,-21,1,0,,,,,,
2020-03-03,US,AZ_Maricopa_County,-20,1,0,,,,,,
2020-03-04,US,AZ_Maricopa_County,-19,1,0,,,,,,
2020-03-05,US,AZ_Maricopa_County,-18,1,0,,,,,,
2020-03-06,US,AZ_Maricopa_County,-17,2,0,,,,,,
2020-03-07,US,AZ_Maricopa_County,-16,2,0,,,,,,
2020-03-08,US,AZ_Maricopa_County,-15,2,0,,,,,,
2020-03-09,US,AZ_Maricopa_County,-14,2,0,,,,,,
2020-03-10,US,AZ_Maricopa_County,-13,2,0,,,,,,
2020-03-11,US,AZ_Maricopa_County,-12,3,0,,,,,,
2020-03-12,US,AZ_Maricopa_County,-11,3,0,,,,,,
2020-03-13,US,AZ_Maricopa_County,-10,3,0,,,,,,
2020-03-14,US,AZ_Maricopa_County,-9,4,0,,,,,,
2020-03-15,US,AZ_Maricopa_County,-8,4,0,,,,,,
2020-03-16,US,AZ_Maricopa_County,-7,8,0,,,,,,
2020-03-17,US,AZ_Maricopa_County,-6,9,0,,,,,,
2020-03-18,US,AZ_Maricopa_County,-5,11,0,,,,,,
2020-03-19,US,AZ_Maricopa_County,-4,22,0,,,,,,
2020-03-20,US,AZ_Maricopa_County,-3,34,0,,,,,,
2020-03-21,US,AZ_Maricopa_County,-2,49,1,,,,,,
2020-03-22,US,AZ_Maricopa_County,-1,81,2,,,,,,
2020-03-23,US,AZ_Maricopa_County,0,139,2,,,,,,
2020-03-24,US,AZ_Maricopa_County,1,199,3,,,,,,
2020-03-25,US,AZ_Maricopa_County,2,251,3,,,,,,
2020-03-26,US,AZ_Maricopa_County,3,299,4,,,,,,
2020-03-27,US,AZ_Maricopa_County,4,399,4,,,,,,
2020-03-28,US,AZ_Maricopa_County,5,454,4,,,,,,
2020-03-29,US,AZ_Maricopa_County,6,545,4,,,,,,
2020-03-30,US,AZ_Maricopa_County,7,690,5,,,,,,
2020-03-31,US,AZ_Maricopa_County,8,788,8,,,,,,
2020-04-01,US,AZ_Maricopa_County,9,871,11,,,,,,
2020-04-02,US,AZ_Maricopa_County,10,961,12,,,,,,
2020-04-03,US,AZ_Maricopa_County,11,1049,17,,,,,,
2020-04-04,US,AZ_Maricopa_County,12,1171,28,,,,,,
2020-04-05,US,AZ_Maricopa_County,13,1326,31,,,,,,
2020-04-06,US,AZ_Maricopa_County,14,1433,31,,,,,,
2020-04-07,US,AZ_Maricopa_County,15,1495,36,,,,,,
2020-04-08,US,AZ_Maricopa_County,16,1559,37,,,,,,
2020-04-09,US,AZ_Maricopa_County,17,1689,39,,,,,,
2020-04-10,US,AZ_Maricopa_County,18,1741,41,,,,,,
2020-04-11,US,AZ_Maricopa_County,19,1891,47,,,,,,
2020-04-12,US,AZ_Maricopa_County,20,1960,48,,,,,,
2020-04-13,US,AZ_Maricopa_County,21,2020,52,,,,,,
2020-04-14,US,AZ_Maricopa_County,22,2056,54,,,,,,
2020-04-15,US,AZ_Maricopa_County,23,2146,60,,,,,,
2020-04-16,US,AZ_Maricopa_County,24,2264,64,,,,,,
2020-04-17,US,AZ_Maricopa_County,25,2404,69,,,,,,
2020-04-18,US,AZ_Maricopa_County,26,2491,70,,,,,,
2020-04-19,US,AZ_Maricopa_County,27,2589,75,,,,,,
