date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-65,0,0,,,,,,
2020-01-23,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-64,0,0,,,,,,
2020-01-24,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-63,0,0,,,,,,
2020-01-25,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-62,0,0,,,,,,
2020-01-26,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-61,0,0,,,,,,
2020-01-27,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-60,0,0,,,,,,
2020-01-28,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-59,0,0,,,,,,
2020-01-29,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-58,0,0,,,,,,
2020-01-30,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-57,0,0,,,,,,
2020-01-31,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-56,0,0,,,,,,
2020-02-01,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-55,0,0,,,,,,
2020-02-02,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-54,0,0,,,,,,
2020-02-03,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-53,0,0,,,,,,
2020-02-04,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-52,0,0,,,,,,
2020-02-05,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-51,0,0,,,,,,
2020-02-06,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-50,0,0,,,,,,
2020-02-07,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-49,0,0,,,,,,
2020-02-08,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-48,0,0,,,,,,
2020-02-09,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-47,0,0,,,,,,
2020-02-10,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-46,0,0,,,,,,
2020-02-11,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-45,0,0,,,,,,
2020-02-12,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-44,0,0,,,,,,
2020-02-13,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-43,0,0,,,,,,
2020-02-14,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-42,0,0,,,,,,
2020-02-15,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-41,0,0,,,,,,
2020-02-16,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-40,0,0,,,,,,
2020-02-17,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-39,0,0,,,,,,
2020-02-18,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-38,0,0,,,,,,
2020-02-19,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-37,0,0,,,,,,
2020-02-20,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-36,0,0,,,,,,
2020-02-21,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-35,0,0,,,,,,
2020-02-22,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-34,0,0,,,,,,
2020-02-23,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-33,0,0,,,,,,
2020-02-24,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-32,0,0,,,,,,
2020-02-25,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-31,0,0,,,,,,
2020-02-26,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-30,0,0,,,,,,
2020-02-27,US,Albuquerque_Santa_Fe_Las_Vegas_NM,-29,0,0,,,,,,
