date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,CA_El_Dorado_County,-93,0,0,,,,,,
2020-01-25,US,CA_El_Dorado_County,-92,0,0,,,,,,
2020-01-27,US,CA_El_Dorado_County,-91,0,0,,,,,,
2020-01-29,US,CA_El_Dorado_County,-90,0,0,,,,,,
2020-01-31,US,CA_El_Dorado_County,-89,0,0,,,,,,
2020-02-02,US,CA_El_Dorado_County,-88,0,0,,,,,,
2020-02-04,US,CA_El_Dorado_County,-87,0,0,,,,,,
2020-02-06,US,CA_El_Dorado_County,-86,0,0,,,,,,
2020-02-08,US,CA_El_Dorado_County,-85,0,0,,,,,,
2020-02-10,US,CA_El_Dorado_County,-84,0,0,,,,,,
2020-02-12,US,CA_El_Dorado_County,-83,0,0,,,,,,
2020-02-14,US,CA_El_Dorado_County,-82,0,0,,,,,,
2020-02-16,US,CA_El_Dorado_County,-81,0,0,,,,,,
2020-02-18,US,CA_El_Dorado_County,-80,0,0,,,,,,
2020-02-20,US,CA_El_Dorado_County,-79,0,0,,,,,,
2020-02-22,US,CA_El_Dorado_County,-78,0,0,,,,,,
2020-02-24,US,CA_El_Dorado_County,-77,0,0,,,,,,
2020-02-26,US,CA_El_Dorado_County,-76,0,0,,,,,,
2020-02-28,US,CA_El_Dorado_County,-75,0,0,,,,,,
2020-03-01,US,CA_El_Dorado_County,-74,0,0,,,,,,
2020-03-03,US,CA_El_Dorado_County,-73,0,0,,,,,,
2020-03-05,US,CA_El_Dorado_County,-72,0,0,,,,,,
2020-03-07,US,CA_El_Dorado_County,-71,0,0,,,,,,
2020-03-09,US,CA_El_Dorado_County,-70,0,0,,,,,,
2020-03-11,US,CA_El_Dorado_County,-69,0,0,,,,,,
2020-03-13,US,CA_El_Dorado_County,-68,0,0,,,,,,
2020-03-15,US,CA_El_Dorado_County,-67,0,0,,,,,,
2020-03-17,US,CA_El_Dorado_County,-66,0,0,,,,,,
2020-03-19,US,CA_El_Dorado_County,-65,0,0,,,,,,
2020-03-21,US,CA_El_Dorado_County,-64,1,0,,,,,,
2020-03-23,US,CA_El_Dorado_County,-63,2,0,,,,,,
2020-03-25,US,CA_El_Dorado_County,-62,3,0,,,,,,
2020-03-27,US,CA_El_Dorado_County,-61,12,0,,,,,,
2020-03-29,US,CA_El_Dorado_County,-60,12,0,,,,,,
2020-03-31,US,CA_El_Dorado_County,-59,18,0,,,,,,
2020-04-02,US,CA_El_Dorado_County,-58,19,0,,,,,,
2020-04-04,US,CA_El_Dorado_County,-57,22,0,,,,,,
2020-04-06,US,CA_El_Dorado_County,-56,25,0,,,,,,
2020-04-08,US,CA_El_Dorado_County,-55,29,0,,,,,,
2020-04-10,US,CA_El_Dorado_County,-54,32,0,,,,,,
2020-04-12,US,CA_El_Dorado_County,-53,32,0,,,,,,
2020-04-14,US,CA_El_Dorado_County,-52,35,0,,,,,,
2020-04-16,US,CA_El_Dorado_County,-51,35,0,,,,,,
2020-04-18,US,CA_El_Dorado_County,-50,36,0,,,,,,
2020-04-20,US,CA_El_Dorado_County,-49,38,0,,,,,,
2020-04-22,US,CA_El_Dorado_County,-48,39,0,,,,,,
2020-04-24,US,CA_El_Dorado_County,-47,42,0,,,,,,
2020-04-26,US,CA_El_Dorado_County,-46,42,0,,,,,,
2020-04-28,US,CA_El_Dorado_County,-45,44,0,,,,,,
2020-04-30,US,CA_El_Dorado_County,-44,44,0,,,,,,
2020-05-02,US,CA_El_Dorado_County,-43,47,0,,,,,,
2020-05-04,US,CA_El_Dorado_County,-42,53,0,,,,,,
2020-05-06,US,CA_El_Dorado_County,-41,54,0,,,,,,
2020-05-08,US,CA_El_Dorado_County,-40,54,0,,,,,,
2020-05-10,US,CA_El_Dorado_County,-39,54,0,,,,,,
2020-05-12,US,CA_El_Dorado_County,-38,60,0,,,,,,
2020-05-14,US,CA_El_Dorado_County,-37,62,0,,,,,,
2020-05-16,US,CA_El_Dorado_County,-36,64,0,,,,,,
2020-05-18,US,CA_El_Dorado_County,-35,67,0,,,,,,
2020-05-20,US,CA_El_Dorado_County,-34,67,0,,,,,,
2020-05-22,US,CA_El_Dorado_County,-33,74,0,,,,,,
2020-05-24,US,CA_El_Dorado_County,-32,74,0,,,,,,
2020-05-26,US,CA_El_Dorado_County,-31,80,0,,,,,,
2020-05-28,US,CA_El_Dorado_County,-30,84,0,,,,,,
2020-05-30,US,CA_El_Dorado_County,-29,90,0,,,,,,
2020-06-01,US,CA_El_Dorado_County,-28,96,0,,,,,,
2020-06-03,US,CA_El_Dorado_County,-27,98,0,,,,,,
2020-06-05,US,CA_El_Dorado_County,0,106,0,,,,,,
2020-06-07,US,CA_El_Dorado_County,1,106,0,,,,,,
2020-06-09,US,CA_El_Dorado_County,2,111,0,,,,,,
2020-06-11,US,CA_El_Dorado_County,3,111,0,,,,,,
2020-06-13,US,CA_El_Dorado_County,4,113,0,,,,,,
2020-06-15,US,CA_El_Dorado_County,5,117,0,,,,,,
2020-06-17,US,CA_El_Dorado_County,6,121,0,,,,,,
2020-06-19,US,CA_El_Dorado_County,7,130,0,,,,,,
2020-06-21,US,CA_El_Dorado_County,8,130,0,,,,,,
2020-06-23,US,CA_El_Dorado_County,9,150,0,,,,,,
2020-06-25,US,CA_El_Dorado_County,10,158,0,,,,,,
2020-06-27,US,CA_El_Dorado_County,11,158,0,,,,,,
2020-06-29,US,CA_El_Dorado_County,12,178,0,,,,,,
2020-07-01,US,CA_El_Dorado_County,13,198,0,,,,,,
2020-07-03,US,CA_El_Dorado_County,14,226,0,,,,,,
2020-07-05,US,CA_El_Dorado_County,15,226,0,,,,,,
2020-07-07,US,CA_El_Dorado_County,16,264,0,,,,,,
2020-07-09,US,CA_El_Dorado_County,17,292,0,,,,,,
2020-07-11,US,CA_El_Dorado_County,18,307,0,,,,,,
2020-07-13,US,CA_El_Dorado_County,19,337,0,,,,,,
2020-07-15,US,CA_El_Dorado_County,20,363,0,,,,,,
2020-07-17,US,CA_El_Dorado_County,21,381,0,,,,,,
2020-07-19,US,CA_El_Dorado_County,22,394,0,,,,,,
2020-07-21,US,CA_El_Dorado_County,23,464,1,,,,,,
2020-07-23,US,CA_El_Dorado_County,24,508,1,,,,,,
2020-07-25,US,CA_El_Dorado_County,25,513,1,,,,,,
2020-07-27,US,CA_El_Dorado_County,26,555,1,,,,,,
2020-07-29,US,CA_El_Dorado_County,27,589,1,,,,,,
2020-07-31,US,CA_El_Dorado_County,28,637,1,,,,,,
2020-08-02,US,CA_El_Dorado_County,29,637,1,,,,,,
2020-08-04,US,CA_El_Dorado_County,30,668,1,,,,,,
2020-08-06,US,CA_El_Dorado_County,31,716,1,,,,,,
2020-08-08,US,CA_El_Dorado_County,32,729,1,,,,,,
2020-08-10,US,CA_El_Dorado_County,33,755,2,,,,,,
2020-08-12,US,CA_El_Dorado_County,34,793,2,,,,,,
2020-08-14,US,CA_El_Dorado_County,35,827,2,,,,,,
2020-08-16,US,CA_El_Dorado_County,36,827,2,,,,,,
2020-08-18,US,CA_El_Dorado_County,37,871,2,,,,,,
2020-08-20,US,CA_El_Dorado_County,38,885,2,,,,,,
2020-08-22,US,CA_El_Dorado_County,39,896,2,,,,,,
2020-08-24,US,CA_El_Dorado_County,40,924,2,,,,,,
2020-08-26,US,CA_El_Dorado_County,41,935,2,,,,,,
2020-01-22,US,CA_El_Dorado_County,40,0,0,,,,,,
2020-01-24,US,CA_El_Dorado_County,39,0,0,,,,,,
