date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,US,CA_Humboldt_County,-67,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,CA_Humboldt_County,-66,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,CA_Humboldt_County,-65,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,CA_Humboldt_County,-64,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,CA_Humboldt_County,-63,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,CA_Humboldt_County,-62,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,CA_Humboldt_County,-61,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,CA_Humboldt_County,-60,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,CA_Humboldt_County,-59,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,CA_Humboldt_County,-58,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,CA_Humboldt_County,-57,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,CA_Humboldt_County,-56,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,CA_Humboldt_County,-55,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,CA_Humboldt_County,-54,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,CA_Humboldt_County,-53,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,CA_Humboldt_County,-52,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,CA_Humboldt_County,-51,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,CA_Humboldt_County,-50,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,CA_Humboldt_County,-49,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,CA_Humboldt_County,-48,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,CA_Humboldt_County,-47,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,CA_Humboldt_County,-46,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,CA_Humboldt_County,-45,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,CA_Humboldt_County,-44,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,CA_Humboldt_County,-43,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,CA_Humboldt_County,-42,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,CA_Humboldt_County,-41,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,CA_Humboldt_County,-40,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,CA_Humboldt_County,-39,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,CA_Humboldt_County,-38,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,CA_Humboldt_County,-37,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,CA_Humboldt_County,-36,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,CA_Humboldt_County,-35,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,CA_Humboldt_County,-34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,CA_Humboldt_County,-33,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,CA_Humboldt_County,-32,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,CA_Humboldt_County,-31,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,CA_Humboldt_County,-30,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,CA_Humboldt_County,-29,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,CA_Humboldt_County,-28,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,CA_Humboldt_County,-27,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,CA_Humboldt_County,-26,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,CA_Humboldt_County,-25,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,CA_Humboldt_County,-24,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,CA_Humboldt_County,-23,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,CA_Humboldt_County,-22,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,CA_Humboldt_County,-21,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,CA_Humboldt_County,-20,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,CA_Humboldt_County,-19,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,CA_Humboldt_County,-18,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,CA_Humboldt_County,-17,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,CA_Humboldt_County,-16,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,CA_Humboldt_County,-15,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,CA_Humboldt_County,-14,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,CA_Humboldt_County,-13,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,CA_Humboldt_County,-12,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,US,CA_Humboldt_County,-11,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,US,CA_Humboldt_County,-10,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,US,CA_Humboldt_County,-9,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,US,CA_Humboldt_County,-8,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,US,CA_Humboldt_County,-7,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,US,CA_Humboldt_County,-6,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,US,CA_Humboldt_County,-5,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,US,CA_Humboldt_County,-4,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,US,CA_Humboldt_County,-3,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,US,CA_Humboldt_County,-2,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,US,CA_Humboldt_County,-1,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,US,CA_Humboldt_County,0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,US,CA_Humboldt_County,1,101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,US,CA_Humboldt_County,2,103.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,US,CA_Humboldt_County,3,103.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,US,CA_Humboldt_County,4,107.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,US,CA_Humboldt_County,5,109.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,US,CA_Humboldt_County,6,111.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,US,CA_Humboldt_County,7,111.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,US,CA_Humboldt_County,8,111.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-10,US,CA_Humboldt_County,9,112.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,US,CA_Humboldt_County,10,112.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,US,CA_Humboldt_County,11,113.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,US,CA_Humboldt_County,12,113.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,US,CA_Humboldt_County,13,113.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,US,CA_Humboldt_County,14,113.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,US,CA_Humboldt_County,15,114.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-17,US,CA_Humboldt_County,16,115.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-18,US,CA_Humboldt_County,17,115.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,US,CA_Humboldt_County,18,117.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-20,US,CA_Humboldt_County,19,117.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,US,CA_Humboldt_County,20,117.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,US,CA_Humboldt_County,21,119.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,US,CA_Humboldt_County,22,120.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-24,US,CA_Humboldt_County,23,129.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-25,US,CA_Humboldt_County,24,133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,US,CA_Humboldt_County,25,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-27,US,CA_Humboldt_County,26,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,US,CA_Humboldt_County,27,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,US,CA_Humboldt_County,28,139.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,US,CA_Humboldt_County,29,139.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,US,CA_Humboldt_County,30,142.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,US,CA_Humboldt_County,31,144.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,US,CA_Humboldt_County,32,144.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-04,US,CA_Humboldt_County,33,149.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,US,CA_Humboldt_County,34,150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,US,CA_Humboldt_County,35,155.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,US,CA_Humboldt_County,36,160.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,US,CA_Humboldt_County,37,163.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,US,CA_Humboldt_County,38,168.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-10,US,CA_Humboldt_County,39,172.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
