date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,CA_Monterey_County,-41,0,0,,,,,,
2020-01-25,US,CA_Monterey_County,-40,0,0,,,,,,
2020-01-27,US,CA_Monterey_County,-39,0,0,,,,,,
2020-01-29,US,CA_Monterey_County,-38,0,0,,,,,,
2020-01-31,US,CA_Monterey_County,-37,0,0,,,,,,
2020-02-02,US,CA_Monterey_County,-36,0,0,,,,,,
2020-02-04,US,CA_Monterey_County,-35,0,0,,,,,,
2020-02-06,US,CA_Monterey_County,-34,0,0,,,,,,
2020-02-08,US,CA_Monterey_County,-33,0,0,,,,,,
2020-02-10,US,CA_Monterey_County,-32,0,0,,,,,,
2020-02-12,US,CA_Monterey_County,-31,0,0,,,,,,
2020-02-14,US,CA_Monterey_County,-30,0,0,,,,,,
2020-02-16,US,CA_Monterey_County,-29,0,0,,,,,,
2020-02-18,US,CA_Monterey_County,-28,0,0,,,,,,
2020-02-20,US,CA_Monterey_County,-27,0,0,,,,,,
2020-02-22,US,CA_Monterey_County,-26,0,0,,,,,,
2020-02-24,US,CA_Monterey_County,-25,0,0,,,,,,
2020-02-26,US,CA_Monterey_County,-24,0,0,,,,,,
2020-02-28,US,CA_Monterey_County,-23,0,0,,,,,,
2020-03-01,US,CA_Monterey_County,-22,0,0,,,,,,
2020-03-03,US,CA_Monterey_County,-21,0,0,,,,,,
2020-03-05,US,CA_Monterey_County,-20,0,0,,,,,,
2020-03-07,US,CA_Monterey_County,-19,0,0,,,,,,
2020-03-09,US,CA_Monterey_County,-18,0,0,,,,,,
2020-03-11,US,CA_Monterey_County,-17,0,0,,,,,,
2020-03-13,US,CA_Monterey_County,-16,0,0,,,,,,
2020-03-15,US,CA_Monterey_County,-15,0,0,,,,,,
2020-03-17,US,CA_Monterey_County,-14,0,0,,,,,,
2020-03-19,US,CA_Monterey_County,-13,2,0,,,,,,
2020-03-21,US,CA_Monterey_County,-12,5,0,,,,,,
2020-03-23,US,CA_Monterey_County,-11,20,0,,,,,,
2020-03-25,US,CA_Monterey_County,-10,24,1,,,,,,
2020-03-27,US,CA_Monterey_County,-9,27,1,,,,,,
2020-03-29,US,CA_Monterey_County,-8,32,1,,,,,,
2020-03-31,US,CA_Monterey_County,-7,40,1,,,,,,
