date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,CA_Ventura_County,-67,0,0,,,,,,
2020-01-23,US,CA_Ventura_County,-66,0,0,,,,,,
2020-01-24,US,CA_Ventura_County,-65,0,0,,,,,,
2020-01-25,US,CA_Ventura_County,-64,0,0,,,,,,
2020-01-26,US,CA_Ventura_County,-63,0,0,,,,,,
2020-01-27,US,CA_Ventura_County,-62,0,0,,,,,,
2020-01-28,US,CA_Ventura_County,-61,0,0,,,,,,
2020-01-29,US,CA_Ventura_County,-60,0,0,,,,,,
2020-01-30,US,CA_Ventura_County,-59,0,0,,,,,,
2020-01-31,US,CA_Ventura_County,-58,0,0,,,,,,
2020-02-01,US,CA_Ventura_County,-57,0,0,,,,,,
2020-02-02,US,CA_Ventura_County,-56,0,0,,,,,,
2020-02-03,US,CA_Ventura_County,-55,0,0,,,,,,
2020-02-04,US,CA_Ventura_County,-54,0,0,,,,,,
2020-02-05,US,CA_Ventura_County,-53,0,0,,,,,,
2020-02-06,US,CA_Ventura_County,-52,0,0,,,,,,
2020-02-07,US,CA_Ventura_County,-51,0,0,,,,,,
2020-02-08,US,CA_Ventura_County,-50,0,0,,,,,,
2020-02-09,US,CA_Ventura_County,-49,0,0,,,,,,
2020-02-10,US,CA_Ventura_County,-48,0,0,,,,,,
2020-02-11,US,CA_Ventura_County,-47,0,0,,,,,,
2020-02-12,US,CA_Ventura_County,-46,0,0,,,,,,
2020-02-13,US,CA_Ventura_County,-45,0,0,,,,,,
2020-02-14,US,CA_Ventura_County,-44,0,0,,,,,,
2020-02-15,US,CA_Ventura_County,-43,0,0,,,,,,
2020-02-16,US,CA_Ventura_County,-42,0,0,,,,,,
2020-02-17,US,CA_Ventura_County,-41,0,0,,,,,,
2020-02-18,US,CA_Ventura_County,-40,0,0,,,,,,
2020-02-19,US,CA_Ventura_County,-39,0,0,,,,,,
2020-02-20,US,CA_Ventura_County,-38,0,0,,,,,,
2020-02-21,US,CA_Ventura_County,-37,0,0,,,,,,
2020-02-22,US,CA_Ventura_County,-36,0,0,,,,,,
2020-02-23,US,CA_Ventura_County,-35,0,0,,,,,,
2020-02-24,US,CA_Ventura_County,-34,0,0,,,,,,
2020-02-25,US,CA_Ventura_County,-33,0,0,,,,,,
2020-02-26,US,CA_Ventura_County,-32,0,0,,,,,,
2020-02-27,US,CA_Ventura_County,-31,0,0,,,,,,
2020-02-28,US,CA_Ventura_County,-30,0,0,,,,,,
2020-02-29,US,CA_Ventura_County,-29,0,0,,,,,,
2020-03-01,US,CA_Ventura_County,-28,0,0,,,,,,
2020-03-02,US,CA_Ventura_County,-27,0,0,,,,,,
2020-03-03,US,CA_Ventura_County,-26,0,0,,,,,,
2020-03-04,US,CA_Ventura_County,-25,0,0,,,,,,
2020-03-05,US,CA_Ventura_County,-24,0,0,,,,,,
2020-03-06,US,CA_Ventura_County,-23,0,0,,,,,,
2020-03-07,US,CA_Ventura_County,-22,0,0,,,,,,
2020-03-08,US,CA_Ventura_County,-21,0,0,,,,,,
2020-03-09,US,CA_Ventura_County,-20,1,0,,,,,,
2020-03-10,US,CA_Ventura_County,-19,1,0,,,,,,
2020-03-11,US,CA_Ventura_County,-18,2,0,,,,,,
2020-03-12,US,CA_Ventura_County,-17,2,0,,,,,,
2020-03-13,US,CA_Ventura_County,-16,3,0,,,,,,
2020-03-14,US,CA_Ventura_County,-15,4,0,,,,,,
2020-03-15,US,CA_Ventura_County,-14,4,0,,,,,,
2020-03-16,US,CA_Ventura_County,-13,4,0,,,,,,
2020-03-17,US,CA_Ventura_County,-12,10,0,,,,,,
2020-03-18,US,CA_Ventura_County,-11,13,0,,,,,,
2020-03-19,US,CA_Ventura_County,-10,17,0,,,,,,
2020-03-20,US,CA_Ventura_County,-9,19,0,,,,,,
2020-03-21,US,CA_Ventura_County,-8,26,0,,,,,,
2020-03-22,US,CA_Ventura_County,-7,30,1,,,,,,
2020-03-23,US,CA_Ventura_County,-6,35,1,,,,,,
2020-03-24,US,CA_Ventura_County,-5,39,1,,,,,,
2020-03-25,US,CA_Ventura_County,-4,50,1,,,,,,
2020-03-26,US,CA_Ventura_County,-3,61,1,,,,,,
2020-03-27,US,CA_Ventura_County,-2,61,1,,,,,,
2020-03-28,US,CA_Ventura_County,-1,98,3,,,,,,
2020-03-29,US,CA_Ventura_County,0,109,4,,,,,,
2020-03-30,US,CA_Ventura_County,1,126,4,,,,,,
2020-03-31,US,CA_Ventura_County,2,149,5,,,,,,
2020-04-01,US,CA_Ventura_County,3,160,5,,,,,,
2020-04-02,US,CA_Ventura_County,4,177,6,,,,,,
2020-04-03,US,CA_Ventura_County,5,189,6,,,,,,
2020-04-04,US,CA_Ventura_County,6,203,6,,,,,,
2020-04-05,US,CA_Ventura_County,7,221,6,,,,,,
2020-04-06,US,CA_Ventura_County,8,226,6,,,,,,
2020-04-07,US,CA_Ventura_County,9,243,6,,,,,,
2020-04-08,US,CA_Ventura_County,10,263,7,,,,,,
2020-04-09,US,CA_Ventura_County,11,274,7,,,,,,
2020-04-10,US,CA_Ventura_County,12,298,10,,,,,,
2020-04-11,US,CA_Ventura_County,13,309,10,,,,,,
2020-04-12,US,CA_Ventura_County,14,314,10,,,,,,
2020-04-13,US,CA_Ventura_County,15,317,10,,,,,,
2020-04-14,US,CA_Ventura_County,16,350,13,,,,,,
2020-04-15,US,CA_Ventura_County,17,365,13,,,,,,
2020-04-16,US,CA_Ventura_County,18,384,13,,,,,,
2020-04-17,US,CA_Ventura_County,19,396,13,,,,,,
2020-04-18,US,CA_Ventura_County,20,416,13,,,,,,
2020-04-19,US,CA_Ventura_County,21,422,13,,,,,,
2020-04-20,US,CA_Ventura_County,22,428,13,,,,,,
2020-04-21,US,CA_Ventura_County,23,443,13,,,,,,
2020-04-22,US,CA_Ventura_County,24,451,14,,,,,,
2020-04-23,US,CA_Ventura_County,25,465,16,,,,,,
2020-04-24,US,CA_Ventura_County,26,476,16,,,,,,
2020-04-25,US,CA_Ventura_County,27,476,16,,,,,,
2020-04-26,US,CA_Ventura_County,28,497,17,,,,,,
2020-04-27,US,CA_Ventura_County,29,509,17,,,,,,
2020-04-28,US,CA_Ventura_County,30,513,17,,,,,,
2020-04-29,US,CA_Ventura_County,31,517,17,,,,,,
2020-04-30,US,CA_Ventura_County,32,535,18,,,,,,
2020-05-01,US,CA_Ventura_County,33,544,18,,,,,,
2020-05-02,US,CA_Ventura_County,34,559,19,,,,,,
2020-05-03,US,CA_Ventura_County,35,566,19,,,,,,
2020-05-04,US,CA_Ventura_County,36,577,19,,,,,,
2020-05-05,US,CA_Ventura_County,37,595,19,,,,,,
2020-05-06,US,CA_Ventura_County,38,608,19,,,,,,
2020-05-07,US,CA_Ventura_County,39,631,19,,,,,,
2020-05-08,US,CA_Ventura_County,40,652,19,,,,,,
2020-05-09,US,CA_Ventura_County,41,666,19,,,,,,
2020-05-10,US,CA_Ventura_County,42,666,19,,,,,,
2020-05-11,US,CA_Ventura_County,43,678,19,,,,,,
2020-05-12,US,CA_Ventura_County,44,700,21,,,,,,
2020-05-13,US,CA_Ventura_County,45,725,24,,,,,,
2020-05-14,US,CA_Ventura_County,46,748,25,,,,,,
2020-05-15,US,CA_Ventura_County,47,764,25,,,,,,
2020-05-16,US,CA_Ventura_County,48,764,25,,,,,,
2020-05-17,US,CA_Ventura_County,49,764,25,,,,,,
2020-05-18,US,CA_Ventura_County,50,825,25,,,,,,
2020-05-19,US,CA_Ventura_County,51,837,28,,,,,,
2020-05-20,US,CA_Ventura_County,52,858,29,,,,,,
2020-05-21,US,CA_Ventura_County,53,879,29,,,,,,
2020-05-22,US,CA_Ventura_County,54,912,30,,,,,,
2020-05-23,US,CA_Ventura_County,55,937,30,,,,,,
2020-05-24,US,CA_Ventura_County,56,961,30,,,,,,
2020-05-25,US,CA_Ventura_County,57,982,30,,,,,,
2020-05-26,US,CA_Ventura_County,58,1017,32,,,,,,
2020-05-27,US,CA_Ventura_County,59,1033,32,,,,,,
2020-05-28,US,CA_Ventura_County,60,1062,32,,,,,,
2020-05-29,US,CA_Ventura_County,61,1083,32,,,,,,
2020-05-30,US,CA_Ventura_County,62,1093,33,,,,,,
2020-05-31,US,CA_Ventura_County,63,1116,33,,,,,,
2020-06-01,US,CA_Ventura_County,64,1152,33,,,,,,
2020-06-02,US,CA_Ventura_County,65,1164,36,,,,,,
2020-06-03,US,CA_Ventura_County,66,1185,36,,,,,,
2020-06-04,US,CA_Ventura_County,67,1216,36,,,,,,
2020-06-05,US,CA_Ventura_County,68,1266,36,,,,,,
2020-06-06,US,CA_Ventura_County,69,1289,36,,,,,,
2020-06-07,US,CA_Ventura_County,70,1341,36,,,,,,
2020-06-08,US,CA_Ventura_County,71,1341,36,,,,,,
2020-06-09,US,CA_Ventura_County,72,1381,37,,,,,,
2020-06-10,US,CA_Ventura_County,73,1399,38,,,,,,
2020-06-11,US,CA_Ventura_County,74,1466,38,,,,,,
2020-06-12,US,CA_Ventura_County,75,1523,40,,,,,,
2020-06-13,US,CA_Ventura_County,76,1549,40,,,,,,
2020-06-14,US,CA_Ventura_County,77,1605,40,,,,,,
2020-06-15,US,CA_Ventura_County,78,1633,40,,,,,,
2020-06-16,US,CA_Ventura_County,79,1655,43,,,,,,
2020-06-17,US,CA_Ventura_County,80,1701,43,,,,,,
2020-06-18,US,CA_Ventura_County,81,1753,43,,,,,,
2020-06-19,US,CA_Ventura_County,82,1840,43,,,,,,
2020-06-20,US,CA_Ventura_County,83,1880,43,,,,,,
2020-06-21,US,CA_Ventura_County,84,1984,43,,,,,,
2020-06-22,US,CA_Ventura_County,85,2030,43,,,,,,
2020-06-23,US,CA_Ventura_County,86,2161,45,,,,,,
2020-06-24,US,CA_Ventura_County,87,2255,45,,,,,,
2020-06-25,US,CA_Ventura_County,88,2287,45,,,,,,
2020-06-26,US,CA_Ventura_County,89,2341,45,,,,,,
2020-06-27,US,CA_Ventura_County,90,2459,45,,,,,,
2020-06-28,US,CA_Ventura_County,91,2565,45,,,,,,
2020-06-29,US,CA_Ventura_County,92,2740,45,,,,,,
2020-06-30,US,CA_Ventura_County,93,2926,47,,,,,,
2020-07-01,US,CA_Ventura_County,94,3091,47,,,,,,
2020-07-02,US,CA_Ventura_County,95,3240,47,,,,,,
2020-07-03,US,CA_Ventura_County,96,3245,47,,,,,,
2020-07-04,US,CA_Ventura_County,97,3255,47,,,,,,
2020-07-05,US,CA_Ventura_County,98,3278,47,,,,,,
2020-07-06,US,CA_Ventura_County,99,3789,49,,,,,,
2020-07-07,US,CA_Ventura_County,100,3858,52,,,,,,
2020-07-08,US,CA_Ventura_County,101,3858,52,,,,,,
2020-07-09,US,CA_Ventura_County,102,4093,53,,,,,,
2020-07-10,US,CA_Ventura_County,103,4098,53,,,,,,
2020-07-11,US,CA_Ventura_County,104,4261,53,,,,,,
2020-07-12,US,CA_Ventura_County,105,4284,53,,,,,,
2020-07-13,US,CA_Ventura_County,106,4284,53,,,,,,
2020-07-14,US,CA_Ventura_County,107,4619,55,,,,,,
2020-07-15,US,CA_Ventura_County,108,4782,56,,,,,,
2020-07-16,US,CA_Ventura_County,109,4968,56,,,,,,
2020-07-17,US,CA_Ventura_County,110,4973,56,,,,,,
2020-07-18,US,CA_Ventura_County,111,5207,57,,,,,,
2020-07-19,US,CA_Ventura_County,112,5230,57,,,,,,
2020-07-20,US,CA_Ventura_County,113,5230,57,,,,,,
2020-07-21,US,CA_Ventura_County,114,5955,64,,,,,,
2020-07-22,US,CA_Ventura_County,115,6044,64,,,,,,
2020-07-23,US,CA_Ventura_County,116,6156,64,,,,,,
2020-07-24,US,CA_Ventura_County,117,6397,67,,,,,,
2020-07-25,US,CA_Ventura_County,118,6407,67,,,,,,
2020-07-26,US,CA_Ventura_County,119,6430,67,,,,,,
2020-07-27,US,CA_Ventura_County,120,6430,67,,,,,,
2020-07-28,US,CA_Ventura_County,121,6830,72,,,,,,
2020-07-29,US,CA_Ventura_County,122,6992,73,,,,,,
