date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-21,US,CO_Larimer_County,-11,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US,CO_Larimer_County,-10,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US,CO_Larimer_County,-9,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,US,CO_Larimer_County,-8,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,US,CO_Larimer_County,-7,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,US,CO_Larimer_County,-6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,CO_Larimer_County,-5,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,CO_Larimer_County,-4,77.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,CO_Larimer_County,-3,83.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,CO_Larimer_County,-2,90.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,CO_Larimer_County,-1,98.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,CO_Larimer_County,0,106.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,CO_Larimer_County,1,122.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,CO_Larimer_County,2,133.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,CO_Larimer_County,3,142.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,CO_Larimer_County,4,152.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,CO_Larimer_County,5,156.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,CO_Larimer_County,6,159.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,CO_Larimer_County,7,166.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,CO_Larimer_County,8,173.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
