date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,CO_Summit_County,-95,0,0,,,,,,
2020-01-23,US,CO_Summit_County,-94,0,0,,,,,,
2020-01-24,US,CO_Summit_County,-93,0,0,,,,,,
2020-01-25,US,CO_Summit_County,-92,0,0,,,,,,
2020-01-26,US,CO_Summit_County,-91,0,0,,,,,,
2020-01-27,US,CO_Summit_County,-90,0,0,,,,,,
2020-01-28,US,CO_Summit_County,-89,0,0,,,,,,
2020-01-29,US,CO_Summit_County,-88,0,0,,,,,,
2020-01-30,US,CO_Summit_County,-87,0,0,,,,,,
2020-01-31,US,CO_Summit_County,-86,0,0,,,,,,
2020-02-01,US,CO_Summit_County,-85,0,0,,,,,,
2020-02-02,US,CO_Summit_County,-84,0,0,,,,,,
2020-02-03,US,CO_Summit_County,-83,0,0,,,,,,
2020-02-04,US,CO_Summit_County,-82,0,0,,,,,,
2020-02-05,US,CO_Summit_County,-81,0,0,,,,,,
2020-02-06,US,CO_Summit_County,-80,0,0,,,,,,
2020-02-07,US,CO_Summit_County,-79,0,0,,,,,,
2020-02-08,US,CO_Summit_County,-78,0,0,,,,,,
2020-02-09,US,CO_Summit_County,-77,0,0,,,,,,
2020-02-10,US,CO_Summit_County,-76,0,0,,,,,,
2020-02-11,US,CO_Summit_County,-75,0,0,,,,,,
2020-02-12,US,CO_Summit_County,-74,0,0,,,,,,
2020-02-13,US,CO_Summit_County,-73,0,0,,,,,,
2020-02-14,US,CO_Summit_County,-72,0,0,,,,,,
2020-02-15,US,CO_Summit_County,-71,0,0,,,,,,
2020-02-16,US,CO_Summit_County,-70,0,0,,,,,,
2020-02-17,US,CO_Summit_County,-69,0,0,,,,,,
2020-02-18,US,CO_Summit_County,-68,0,0,,,,,,
2020-02-19,US,CO_Summit_County,-67,0,0,,,,,,
2020-02-20,US,CO_Summit_County,-66,0,0,,,,,,
2020-02-21,US,CO_Summit_County,-65,0,0,,,,,,
2020-02-22,US,CO_Summit_County,-64,0,0,,,,,,
2020-02-23,US,CO_Summit_County,-63,0,0,,,,,,
2020-02-24,US,CO_Summit_County,-62,0,0,,,,,,
2020-02-25,US,CO_Summit_County,-61,0,0,,,,,,
2020-02-26,US,CO_Summit_County,-60,0,0,,,,,,
2020-02-27,US,CO_Summit_County,-59,0,0,,,,,,
2020-02-28,US,CO_Summit_County,-58,0,0,,,,,,
2020-02-29,US,CO_Summit_County,-57,0,0,,,,,,
2020-03-01,US,CO_Summit_County,-56,0,0,,,,,,
2020-03-02,US,CO_Summit_County,-55,0,0,,,,,,
2020-03-03,US,CO_Summit_County,-54,0,0,,,,,,
2020-03-04,US,CO_Summit_County,-53,0,0,,,,,,
2020-03-05,US,CO_Summit_County,-52,0,0,,,,,,
2020-03-06,US,CO_Summit_County,-51,1,0,,,,,,
2020-03-07,US,CO_Summit_County,-50,1,0,,,,,,
2020-03-08,US,CO_Summit_County,-49,1,0,,,,,,
2020-03-09,US,CO_Summit_County,-48,1,0,,,,,,
2020-03-10,US,CO_Summit_County,-47,1,0,,,,,,
2020-03-11,US,CO_Summit_County,-46,1,0,,,,,,
2020-03-12,US,CO_Summit_County,-45,1,0,,,,,,
2020-03-13,US,CO_Summit_County,-44,1,0,,,,,,
2020-03-14,US,CO_Summit_County,-43,1,0,,,,,,
2020-03-15,US,CO_Summit_County,-42,1,0,,,,,,
2020-03-16,US,CO_Summit_County,-41,1,0,,,,,,
2020-03-17,US,CO_Summit_County,-40,3,0,,,,,,
2020-03-18,US,CO_Summit_County,-39,3,0,,,,,,
2020-03-19,US,CO_Summit_County,-38,5,0,,,,,,
2020-03-20,US,CO_Summit_County,-37,7,0,,,,,,
2020-03-21,US,CO_Summit_County,-36,7,0,,,,,,
2020-03-22,US,CO_Summit_County,-35,7,0,,,,,,
2020-03-23,US,CO_Summit_County,-34,8,0,,,,,,
2020-03-24,US,CO_Summit_County,-33,9,0,,,,,,
2020-03-25,US,CO_Summit_County,-32,9,0,,,,,,
2020-03-26,US,CO_Summit_County,-31,9,0,,,,,,
2020-03-27,US,CO_Summit_County,-30,10,0,,,,,,
2020-03-28,US,CO_Summit_County,-29,11,0,,,,,,
2020-03-29,US,CO_Summit_County,-28,11,0,,,,,,
2020-03-30,US,CO_Summit_County,-27,14,0,,,,,,
2020-03-31,US,CO_Summit_County,-26,20,0,,,,,,
2020-04-01,US,CO_Summit_County,-25,23,0,,,,,,
2020-04-02,US,CO_Summit_County,-24,26,0,,,,,,
2020-04-03,US,CO_Summit_County,-23,35,0,,,,,,
2020-04-04,US,CO_Summit_County,-22,43,0,,,,,,
2020-04-05,US,CO_Summit_County,-21,45,0,,,,,,
2020-04-06,US,CO_Summit_County,-20,47,0,,,,,,
2020-04-07,US,CO_Summit_County,-19,53,0,,,,,,
2020-04-08,US,CO_Summit_County,-18,56,0,,,,,,
2020-04-09,US,CO_Summit_County,-17,57,0,,,,,,
2020-04-10,US,CO_Summit_County,-16,61,0,,,,,,
2020-04-11,US,CO_Summit_County,-15,68,0,,,,,,
2020-04-12,US,CO_Summit_County,-14,68,1,,,,,,
2020-04-13,US,CO_Summit_County,-13,72,1,,,,,,
2020-04-14,US,CO_Summit_County,-12,74,1,,,,,,
2020-04-15,US,CO_Summit_County,-11,76,1,,,,,,
2020-04-16,US,CO_Summit_County,-10,77,1,,,,,,
2020-04-17,US,CO_Summit_County,-9,82,1,,,,,,
2020-04-18,US,CO_Summit_County,-8,86,1,,,,,,
2020-04-19,US,CO_Summit_County,-7,86,1,,,,,,
2020-04-20,US,CO_Summit_County,-6,88,1,,,,,,
2020-04-21,US,CO_Summit_County,-5,88,1,,,,,,
2020-04-22,US,CO_Summit_County,-4,88,1,,,,,,
2020-04-23,US,CO_Summit_County,-3,89,1,,,,,,
2020-04-24,US,CO_Summit_County,-2,97,1,,,,,,
2020-04-25,US,CO_Summit_County,-1,97,1,,,,,,
2020-04-26,US,CO_Summit_County,0,105,1,,,,,,
2020-04-27,US,CO_Summit_County,1,106,1,,,,,,
2020-04-28,US,CO_Summit_County,2,119,1,,,,,,
2020-04-29,US,CO_Summit_County,3,121,1,,,,,,
2020-04-30,US,CO_Summit_County,4,128,1,,,,,,
2020-05-01,US,CO_Summit_County,5,130,1,,,,,,
2020-05-02,US,CO_Summit_County,6,136,1,,,,,,
2020-05-03,US,CO_Summit_County,7,144,1,,,,,,
2020-05-04,US,CO_Summit_County,8,144,1,,,,,,
2020-05-05,US,CO_Summit_County,9,151,1,,,,,,
2020-05-06,US,CO_Summit_County,10,155,1,,,,,,
2020-05-07,US,CO_Summit_County,11,155,1,,,,,,
2020-05-08,US,CO_Summit_County,12,156,1,,,,,,
2020-05-09,US,CO_Summit_County,13,162,1,,,,,,
2020-05-10,US,CO_Summit_County,14,165,1,,,,,,
