date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,Chicago_Naperville_Elgin,-55,0,0,,,,,,
2020-01-23,US,Chicago_Naperville_Elgin,-54,0,0,,,,,,
2020-01-24,US,Chicago_Naperville_Elgin,-53,1,0,,,,,,
2020-01-25,US,Chicago_Naperville_Elgin,-52,1,0,,,,,,
2020-01-26,US,Chicago_Naperville_Elgin,-51,1,0,,,,,,
2020-01-27,US,Chicago_Naperville_Elgin,-50,1,0,,,,,,
2020-01-28,US,Chicago_Naperville_Elgin,-49,1,0,,,,,,
2020-01-29,US,Chicago_Naperville_Elgin,-48,1,0,,,,,,
2020-01-30,US,Chicago_Naperville_Elgin,-47,1,0,,,,,,
2020-01-31,US,Chicago_Naperville_Elgin,-46,2,0,,,,,,
2020-02-01,US,Chicago_Naperville_Elgin,-45,2,0,,,,,,
2020-02-02,US,Chicago_Naperville_Elgin,-44,2,0,,,,,,
2020-02-03,US,Chicago_Naperville_Elgin,-43,2,0,,,,,,
2020-02-04,US,Chicago_Naperville_Elgin,-42,2,0,,,,,,
2020-02-05,US,Chicago_Naperville_Elgin,-41,2,0,,,,,,
2020-02-06,US,Chicago_Naperville_Elgin,-40,2,0,,,,,,
2020-02-07,US,Chicago_Naperville_Elgin,-39,2,0,,,,,,
2020-02-08,US,Chicago_Naperville_Elgin,-38,2,0,,,,,,
2020-02-09,US,Chicago_Naperville_Elgin,-37,2,0,,,,,,
2020-02-10,US,Chicago_Naperville_Elgin,-36,2,0,,,,,,
2020-02-11,US,Chicago_Naperville_Elgin,-35,2,0,,,,,,
2020-02-12,US,Chicago_Naperville_Elgin,-34,2,0,,,,,,
2020-02-13,US,Chicago_Naperville_Elgin,-33,2,0,,,,,,
2020-02-14,US,Chicago_Naperville_Elgin,-32,2,0,,,,,,
2020-02-15,US,Chicago_Naperville_Elgin,-31,2,0,,,,,,
2020-02-16,US,Chicago_Naperville_Elgin,-30,2,0,,,,,,
2020-02-17,US,Chicago_Naperville_Elgin,-29,2,0,,,,,,
2020-02-18,US,Chicago_Naperville_Elgin,-28,2,0,,,,,,
2020-02-19,US,Chicago_Naperville_Elgin,-27,2,0,,,,,,
2020-02-20,US,Chicago_Naperville_Elgin,-26,2,0,,,,,,
2020-02-21,US,Chicago_Naperville_Elgin,-25,2,0,,,,,,
2020-02-22,US,Chicago_Naperville_Elgin,-24,2,0,,,,,,
2020-02-23,US,Chicago_Naperville_Elgin,-23,2,0,,,,,,
2020-02-24,US,Chicago_Naperville_Elgin,-22,2,0,,,,,,
2020-02-25,US,Chicago_Naperville_Elgin,-21,2,0,,,,,,
2020-02-26,US,Chicago_Naperville_Elgin,-20,2,0,,,,,,
2020-02-27,US,Chicago_Naperville_Elgin,-19,2,0,,,,,,
2020-02-28,US,Chicago_Naperville_Elgin,-18,2,0,,,,,,
2020-02-29,US,Chicago_Naperville_Elgin,-17,2,0,,,,,,
2020-03-01,US,Chicago_Naperville_Elgin,-16,3,0,,,,,,
2020-03-02,US,Chicago_Naperville_Elgin,-15,4,0,,,,,,
2020-03-03,US,Chicago_Naperville_Elgin,-14,4,0,,,,,,
2020-03-04,US,Chicago_Naperville_Elgin,-13,4,0,,,,,,
2020-03-05,US,Chicago_Naperville_Elgin,-12,5,0,,,,,,
2020-03-06,US,Chicago_Naperville_Elgin,-11,5,0,,,,,,
2020-03-07,US,Chicago_Naperville_Elgin,-10,6,0,,,,,,
2020-03-08,US,Chicago_Naperville_Elgin,-9,7,0,,,,,,
2020-03-09,US,Chicago_Naperville_Elgin,-8,13,0,,,,,,
2020-03-10,US,Chicago_Naperville_Elgin,-7,19,0,,,,,,
2020-03-11,US,Chicago_Naperville_Elgin,-6,24,0,,,,,,
2020-03-12,US,Chicago_Naperville_Elgin,-5,32,0,,,,,,
2020-03-13,US,Chicago_Naperville_Elgin,-4,46,0,,,,,,
2020-03-14,US,Chicago_Naperville_Elgin,-3,60,0,,,,,,
2020-03-15,US,Chicago_Naperville_Elgin,-2,60,0,,,,,,
2020-03-16,US,Chicago_Naperville_Elgin,-1,95,0,,,,,,
2020-03-17,US,Chicago_Naperville_Elgin,0,153,1,,,,,,
2020-03-18,US,Chicago_Naperville_Elgin,1,261,1,,,,,,
2020-03-19,US,Chicago_Naperville_Elgin,2,398,3,,,,,,
2020-03-20,US,Chicago_Naperville_Elgin,3,560,4,,,,,,
2020-03-21,US,Chicago_Naperville_Elgin,4,722,5,,,,,,
2020-03-22,US,Chicago_Naperville_Elgin,5,1022,7,,,,,,
2020-03-23,US,Chicago_Naperville_Elgin,6,1195,10,,,,,,
2020-03-24,US,Chicago_Naperville_Elgin,7,1511,14,,,,,,
2020-03-25,US,Chicago_Naperville_Elgin,8,1830,16,,,,,,
2020-03-26,US,Chicago_Naperville_Elgin,9,2510,24,,,,,,
2020-03-27,US,Chicago_Naperville_Elgin,10,2986,27,,,,,,
2020-03-28,US,Chicago_Naperville_Elgin,11,3444,47,,,,,,
2020-03-29,US,Chicago_Naperville_Elgin,12,4514,63,,,,,,
2020-03-30,US,Chicago_Naperville_Elgin,13,4956,70,,,,,,
2020-03-31,US,Chicago_Naperville_Elgin,14,5905,98,,,,,,
2020-04-01,US,Chicago_Naperville_Elgin,15,6870,136,,,,,,
2020-04-02,US,Chicago_Naperville_Elgin,16,7568,151,,,,,,
2020-04-03,US,Chicago_Naperville_Elgin,17,8757,201,,,,,,
2020-04-04,US,Chicago_Naperville_Elgin,18,10168,235,,,,,,
2020-04-05,US,Chicago_Naperville_Elgin,19,11021,263,,,,,,
2020-04-06,US,Chicago_Naperville_Elgin,20,11989,297,,,,,,
2020-04-07,US,Chicago_Naperville_Elgin,21,13209,364,,,,,,
2020-04-08,US,Chicago_Naperville_Elgin,22,14644,442,,,,,,
2020-04-09,US,Chicago_Naperville_Elgin,23,15913,510,,,,,,
2020-04-10,US,Chicago_Naperville_Elgin,24,17311,579,,,,,,
2020-04-11,US,Chicago_Naperville_Elgin,25,18642,656,,,,,,
2020-04-12,US,Chicago_Naperville_Elgin,26,20296,700,,,,,,
2020-04-13,US,Chicago_Naperville_Elgin,27,21474,700,,,,,,
2020-04-14,US,Chicago_Naperville_Elgin,28,22663,846,,,,,,
2020-04-15,US,Chicago_Naperville_Elgin,29,23998,919,,,,,,
2020-04-16,US,Chicago_Naperville_Elgin,30,25139,1042,,,,,,
2020-04-17,US,Chicago_Naperville_Elgin,31,26917,1096,,,,,,
2020-04-18,US,Chicago_Naperville_Elgin,32,28401,1217,,,,,,
2020-04-19,US,Chicago_Naperville_Elgin,33,29514,1247,,,,,,
2020-04-20,US,Chicago_Naperville_Elgin,34,30652,1301,,,,,,
2020-04-21,US,Chicago_Naperville_Elgin,35,32079,1419,,,,,,
2020-04-22,US,Chicago_Naperville_Elgin,36,33919,1511,,,,,,
2020-04-23,US,Chicago_Naperville_Elgin,37,35659,1621,,,,,,
2020-04-24,US,Chicago_Naperville_Elgin,38,38300,1720,,,,,,
2020-04-25,US,Chicago_Naperville_Elgin,39,40287,1786,,,,,,
2020-04-26,US,Chicago_Naperville_Elgin,40,42222,1842,,,,,,
2020-04-27,US,Chicago_Naperville_Elgin,41,44097,1881,,,,,,
2020-04-28,US,Chicago_Naperville_Elgin,42,46208,2018,,,,,,
2020-04-29,US,Chicago_Naperville_Elgin,43,48398,2123,,,,,,
2020-04-30,US,Chicago_Naperville_Elgin,44,50692,2256,,,,,,
2020-05-01,US,Chicago_Naperville_Elgin,45,53812,2360,,,,,,
