date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,DC_District_of_Columbia,-60,0,0,,,,,,
2020-01-23,US,DC_District_of_Columbia,-59,0,0,,,,,,
2020-01-24,US,DC_District_of_Columbia,-58,0,0,,,,,,
2020-01-25,US,DC_District_of_Columbia,-57,0,0,,,,,,
2020-01-26,US,DC_District_of_Columbia,-56,0,0,,,,,,
2020-01-27,US,DC_District_of_Columbia,-55,0,0,,,,,,
2020-01-28,US,DC_District_of_Columbia,-54,0,0,,,,,,
2020-01-29,US,DC_District_of_Columbia,-53,0,0,,,,,,
2020-01-30,US,DC_District_of_Columbia,-52,0,0,,,,,,
2020-01-31,US,DC_District_of_Columbia,-51,0,0,,,,,,
2020-02-01,US,DC_District_of_Columbia,-50,0,0,,,,,,
2020-02-02,US,DC_District_of_Columbia,-49,0,0,,,,,,
2020-02-03,US,DC_District_of_Columbia,-48,0,0,,,,,,
2020-02-04,US,DC_District_of_Columbia,-47,0,0,,,,,,
2020-02-05,US,DC_District_of_Columbia,-46,0,0,,,,,,
2020-02-06,US,DC_District_of_Columbia,-45,0,0,,,,,,
2020-02-07,US,DC_District_of_Columbia,-44,0,0,,,,,,
2020-02-08,US,DC_District_of_Columbia,-43,0,0,,,,,,
2020-02-09,US,DC_District_of_Columbia,-42,0,0,,,,,,
2020-02-10,US,DC_District_of_Columbia,-41,0,0,,,,,,
2020-02-11,US,DC_District_of_Columbia,-40,0,0,,,,,,
2020-02-12,US,DC_District_of_Columbia,-39,0,0,,,,,,
2020-02-13,US,DC_District_of_Columbia,-38,0,0,,,,,,
2020-02-14,US,DC_District_of_Columbia,-37,0,0,,,,,,
2020-02-15,US,DC_District_of_Columbia,-36,0,0,,,,,,
2020-02-16,US,DC_District_of_Columbia,-35,0,0,,,,,,
2020-02-17,US,DC_District_of_Columbia,-34,0,0,,,,,,
2020-02-18,US,DC_District_of_Columbia,-33,0,0,,,,,,
2020-02-19,US,DC_District_of_Columbia,-32,0,0,,,,,,
2020-02-20,US,DC_District_of_Columbia,-31,0,0,,,,,,
2020-02-21,US,DC_District_of_Columbia,-30,0,0,,,,,,
2020-02-22,US,DC_District_of_Columbia,-29,0,0,,,,,,
2020-02-23,US,DC_District_of_Columbia,-28,0,0,,,,,,
2020-02-24,US,DC_District_of_Columbia,-27,0,0,,,,,,
2020-02-25,US,DC_District_of_Columbia,-26,0,0,,,,,,
2020-02-26,US,DC_District_of_Columbia,-25,0,0,,,,,,
2020-02-27,US,DC_District_of_Columbia,-24,0,0,,,,,,
2020-02-28,US,DC_District_of_Columbia,-23,0,0,,,,,,
2020-02-29,US,DC_District_of_Columbia,-22,0,0,,,,,,
2020-03-01,US,DC_District_of_Columbia,-21,0,0,,,,,,
2020-03-02,US,DC_District_of_Columbia,-20,0,0,,,,,,
2020-03-03,US,DC_District_of_Columbia,-19,0,0,,,,,,
2020-03-04,US,DC_District_of_Columbia,-18,0,0,,,,,,
2020-03-05,US,DC_District_of_Columbia,-17,0,0,,,,,,
2020-03-06,US,DC_District_of_Columbia,-16,0,0,,,,,,
2020-03-07,US,DC_District_of_Columbia,-15,0,0,,,,,,
2020-03-08,US,DC_District_of_Columbia,-14,2,0,,,,,,
2020-03-09,US,DC_District_of_Columbia,-13,4,0,,,,,,
2020-03-10,US,DC_District_of_Columbia,-12,4,0,,,,,,
2020-03-11,US,DC_District_of_Columbia,-11,10,0,,,,,,
2020-03-12,US,DC_District_of_Columbia,-10,10,0,,,,,,
2020-03-13,US,DC_District_of_Columbia,-9,10,0,,,,,,
2020-03-14,US,DC_District_of_Columbia,-8,16,0,,,,,,
2020-03-15,US,DC_District_of_Columbia,-7,17,0,,,,,,
2020-03-16,US,DC_District_of_Columbia,-6,22,0,,,,,,
2020-03-17,US,DC_District_of_Columbia,-5,31,0,,,,,,
2020-03-18,US,DC_District_of_Columbia,-4,39,0,,,,,,
2020-03-19,US,DC_District_of_Columbia,-3,71,0,,,,,,
2020-03-20,US,DC_District_of_Columbia,-2,77,1,,,,,,
2020-03-21,US,DC_District_of_Columbia,-1,98,1,,,,,,
2020-03-22,US,DC_District_of_Columbia,0,116,2,,,,,,
2020-03-23,US,DC_District_of_Columbia,1,137,2,,,,,,
2020-03-24,US,DC_District_of_Columbia,2,183,2,,,,,,
2020-03-25,US,DC_District_of_Columbia,3,231,3,,,,,,
2020-03-26,US,DC_District_of_Columbia,4,267,3,,,,,,
2020-03-27,US,DC_District_of_Columbia,5,304,4,,,,,,
2020-03-28,US,DC_District_of_Columbia,6,342,5,,,,,,
