date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,FL_St._Johns_County,-71,0,0,,,,,,
2020-01-23,US,FL_St._Johns_County,-70,0,0,,,,,,
2020-01-24,US,FL_St._Johns_County,-69,0,0,,,,,,
2020-01-25,US,FL_St._Johns_County,-68,0,0,,,,,,
2020-01-26,US,FL_St._Johns_County,-67,0,0,,,,,,
2020-01-27,US,FL_St._Johns_County,-66,0,0,,,,,,
2020-01-28,US,FL_St._Johns_County,-65,0,0,,,,,,
2020-01-29,US,FL_St._Johns_County,-64,0,0,,,,,,
2020-01-30,US,FL_St._Johns_County,-63,0,0,,,,,,
2020-01-31,US,FL_St._Johns_County,-62,0,0,,,,,,
2020-02-01,US,FL_St._Johns_County,-61,0,0,,,,,,
2020-02-02,US,FL_St._Johns_County,-60,0,0,,,,,,
2020-02-03,US,FL_St._Johns_County,-59,0,0,,,,,,
2020-02-04,US,FL_St._Johns_County,-58,0,0,,,,,,
2020-02-05,US,FL_St._Johns_County,-57,0,0,,,,,,
2020-02-06,US,FL_St._Johns_County,-56,0,0,,,,,,
2020-02-07,US,FL_St._Johns_County,-55,0,0,,,,,,
2020-02-08,US,FL_St._Johns_County,-54,0,0,,,,,,
2020-02-09,US,FL_St._Johns_County,-53,0,0,,,,,,
2020-02-10,US,FL_St._Johns_County,-52,0,0,,,,,,
2020-02-11,US,FL_St._Johns_County,-51,0,0,,,,,,
2020-02-12,US,FL_St._Johns_County,-50,0,0,,,,,,
2020-02-13,US,FL_St._Johns_County,-49,0,0,,,,,,
2020-02-14,US,FL_St._Johns_County,-48,0,0,,,,,,
2020-02-15,US,FL_St._Johns_County,-47,0,0,,,,,,
2020-02-16,US,FL_St._Johns_County,-46,0,0,,,,,,
2020-02-17,US,FL_St._Johns_County,-45,0,0,,,,,,
2020-02-18,US,FL_St._Johns_County,-44,0,0,,,,,,
2020-02-19,US,FL_St._Johns_County,-43,0,0,,,,,,
2020-02-20,US,FL_St._Johns_County,-42,0,0,,,,,,
2020-02-21,US,FL_St._Johns_County,-41,0,0,,,,,,
2020-02-22,US,FL_St._Johns_County,-40,0,0,,,,,,
2020-02-23,US,FL_St._Johns_County,-39,0,0,,,,,,
2020-02-24,US,FL_St._Johns_County,-38,0,0,,,,,,
2020-02-25,US,FL_St._Johns_County,-37,0,0,,,,,,
2020-02-26,US,FL_St._Johns_County,-36,0,0,,,,,,
2020-02-27,US,FL_St._Johns_County,-35,0,0,,,,,,
2020-02-28,US,FL_St._Johns_County,-34,0,0,,,,,,
2020-02-29,US,FL_St._Johns_County,-33,0,0,,,,,,
2020-03-01,US,FL_St._Johns_County,-32,0,0,,,,,,
2020-03-02,US,FL_St._Johns_County,-31,0,0,,,,,,
2020-03-03,US,FL_St._Johns_County,-30,0,0,,,,,,
2020-03-04,US,FL_St._Johns_County,-29,0,0,,,,,,
2020-03-05,US,FL_St._Johns_County,-28,0,0,,,,,,
2020-03-06,US,FL_St._Johns_County,-27,0,0,,,,,,
2020-03-07,US,FL_St._Johns_County,-26,0,0,,,,,,
2020-03-08,US,FL_St._Johns_County,-25,0,0,,,,,,
2020-03-09,US,FL_St._Johns_County,-24,0,0,,,,,,
2020-03-10,US,FL_St._Johns_County,-23,0,0,,,,,,
2020-03-11,US,FL_St._Johns_County,-22,0,0,,,,,,
2020-03-12,US,FL_St._Johns_County,-21,0,0,,,,,,
2020-03-13,US,FL_St._Johns_County,-20,0,0,,,,,,
2020-03-14,US,FL_St._Johns_County,-19,0,0,,,,,,
2020-03-15,US,FL_St._Johns_County,-18,1,0,,,,,,
2020-03-16,US,FL_St._Johns_County,-17,2,0,,,,,,
2020-03-17,US,FL_St._Johns_County,-16,3,0,,,,,,
2020-03-18,US,FL_St._Johns_County,-15,4,0,,,,,,
2020-03-19,US,FL_St._Johns_County,-14,4,0,,,,,,
2020-03-20,US,FL_St._Johns_County,-13,8,0,,,,,,
2020-03-21,US,FL_St._Johns_County,-12,9,0,,,,,,
2020-03-22,US,FL_St._Johns_County,-11,16,0,,,,,,
2020-03-23,US,FL_St._Johns_County,-10,18,0,,,,,,
2020-03-24,US,FL_St._Johns_County,-9,22,1,,,,,,
2020-03-25,US,FL_St._Johns_County,-8,28,1,,,,,,
2020-03-26,US,FL_St._Johns_County,-7,36,1,,,,,,
2020-03-27,US,FL_St._Johns_County,-6,42,2,,,,,,
2020-03-28,US,FL_St._Johns_County,-5,50,2,,,,,,
2020-03-29,US,FL_St._Johns_County,-4,59,2,,,,,,
2020-03-30,US,FL_St._Johns_County,-3,61,2,,,,,,
2020-03-31,US,FL_St._Johns_County,-2,79,2,,,,,,
2020-04-01,US,FL_St._Johns_County,-1,90,2,,,,,,
2020-04-02,US,FL_St._Johns_County,0,102,2,,,,,,
2020-04-03,US,FL_St._Johns_County,1,119,2,,,,,,
2020-04-04,US,FL_St._Johns_County,2,132,2,,,,,,
2020-04-05,US,FL_St._Johns_County,3,141,2,,,,,,
2020-04-06,US,FL_St._Johns_County,4,147,2,,,,,,
2020-04-07,US,FL_St._Johns_County,5,154,2,,,,,,
2020-04-08,US,FL_St._Johns_County,6,156,2,,,,,,
2020-04-09,US,FL_St._Johns_County,7,163,2,,,,,,
2020-04-10,US,FL_St._Johns_County,8,165,2,,,,,,
2020-04-11,US,FL_St._Johns_County,9,170,2,,,,,,
2020-04-12,US,FL_St._Johns_County,10,173,2,,,,,,
2020-04-13,US,FL_St._Johns_County,11,176,2,,,,,,
2020-04-14,US,FL_St._Johns_County,12,177,2,,,,,,
2020-04-15,US,FL_St._Johns_County,13,178,3,,,,,,
2020-04-16,US,FL_St._Johns_County,14,182,3,,,,,,
2020-04-17,US,FL_St._Johns_County,15,186,4,,,,,,
2020-04-18,US,FL_St._Johns_County,16,188,4,,,,,,
2020-04-19,US,FL_St._Johns_County,17,190,4,,,,,,
2020-04-20,US,FL_St._Johns_County,18,192,4,,,,,,
2020-04-21,US,FL_St._Johns_County,19,194,4,,,,,,
2020-04-22,US,FL_St._Johns_County,20,195,4,,,,,,
2020-04-23,US,FL_St._Johns_County,21,200,4,,,,,,
2020-04-24,US,FL_St._Johns_County,22,203,4,,,,,,
2020-04-25,US,FL_St._Johns_County,23,203,4,,,,,,
2020-04-26,US,FL_St._Johns_County,24,204,4,,,,,,
2020-04-27,US,FL_St._Johns_County,25,204,4,,,,,,
2020-04-28,US,FL_St._Johns_County,26,207,4,,,,,,
2020-04-29,US,FL_St._Johns_County,27,207,4,,,,,,
2020-04-30,US,FL_St._Johns_County,28,208,4,,,,,,
2020-05-01,US,FL_St._Johns_County,29,210,4,,,,,,
2020-05-02,US,FL_St._Johns_County,30,211,4,,,,,,
2020-05-03,US,FL_St._Johns_County,31,211,4,,,,,,
2020-05-04,US,FL_St._Johns_County,32,211,4,,,,,,
2020-05-05,US,FL_St._Johns_County,33,214,4,,,,,,
2020-05-06,US,FL_St._Johns_County,34,216,4,,,,,,
2020-05-07,US,FL_St._Johns_County,35,222,4,,,,,,
2020-05-08,US,FL_St._Johns_County,36,222,4,,,,,,
2020-05-09,US,FL_St._Johns_County,37,222,4,,,,,,
2020-05-10,US,FL_St._Johns_County,38,222,4,,,,,,
2020-05-11,US,FL_St._Johns_County,39,222,4,,,,,,
2020-05-12,US,FL_St._Johns_County,40,223,4,,,,,,
2020-05-13,US,FL_St._Johns_County,41,229,4,,,,,,
2020-05-14,US,FL_St._Johns_County,42,231,5,,,,,,
2020-05-15,US,FL_St._Johns_County,43,231,5,,,,,,
2020-05-16,US,FL_St._Johns_County,44,231,5,,,,,,
2020-05-17,US,FL_St._Johns_County,45,231,5,,,,,,
2020-05-18,US,FL_St._Johns_County,46,232,5,,,,,,
2020-05-19,US,FL_St._Johns_County,47,233,5,,,,,,
2020-05-20,US,FL_St._Johns_County,48,233,5,,,,,,
