date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-14,US,GA_Fulton_County,-8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,US,GA_Fulton_County,-7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,US,GA_Fulton_County,-6,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,US,GA_Fulton_County,-5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,US,GA_Fulton_County,-4,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,US,GA_Fulton_County,-3,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,US,GA_Fulton_County,-2,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,US,GA_Fulton_County,-1,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US,GA_Fulton_County,0,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US,GA_Fulton_County,1,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,US,GA_Fulton_County,2,189.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,US,GA_Fulton_County,3,201.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,US,GA_Fulton_County,4,229.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,GA_Fulton_County,5,344.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,GA_Fulton_County,6,375.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,GA_Fulton_County,7,422.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,GA_Fulton_County,8,501.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,GA_Fulton_County,9,596.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,GA_Fulton_County,10,636.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,GA_Fulton_County,11,745.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,GA_Fulton_County,12,908.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,GA_Fulton_County,13,957.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,GA_Fulton_County,14,967.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,GA_Fulton_County,15,1051.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,GA_Fulton_County,16,1183.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,GA_Fulton_County,17,1259.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,GA_Fulton_County,18,1334.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,GA_Fulton_County,19,1415.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,GA_Fulton_County,20,1444.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,GA_Fulton_County,21,1492.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,GA_Fulton_County,22,1633.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,GA_Fulton_County,23,1810.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,GA_Fulton_County,24,1899.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,GA_Fulton_County,25,1943.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,GA_Fulton_County,26,2035.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,GA_Fulton_County,27,2063.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,GA_Fulton_County,28,2128.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,GA_Fulton_County,29,2196.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,GA_Fulton_County,30,2203.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,GA_Fulton_County,31,2253.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,GA_Fulton_County,32,2433.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,GA_Fulton_County,33,2498.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,GA_Fulton_County,34,2541.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,GA_Fulton_County,35,2543.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,GA_Fulton_County,36,2678.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,GA_Fulton_County,37,2751.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,GA_Fulton_County,38,2782.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,GA_Fulton_County,39,2819.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,GA_Fulton_County,40,2878.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,GA_Fulton_County,41,2926.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,GA_Fulton_County,42,2979.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,GA_Fulton_County,43,3054.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,GA_Fulton_County,44,3163.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,GA_Fulton_County,45,3247.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,GA_Fulton_County,46,3257.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,GA_Fulton_County,47,3314.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,GA_Fulton_County,48,3383.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,GA_Fulton_County,49,3506.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,GA_Fulton_County,50,3514.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,GA_Fulton_County,51,3593.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,GA_Fulton_County,52,3612.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,GA_Fulton_County,53,3622.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,GA_Fulton_County,54,3700.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,GA_Fulton_County,55,3747.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,GA_Fulton_County,56,3756.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,GA_Fulton_County,57,3756.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,GA_Fulton_County,58,3800.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,GA_Fulton_County,59,3800.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
