date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,GA_Habersham_County,-90,0,0,,,,,,
2020-01-23,US,GA_Habersham_County,-89,0,0,,,,,,
2020-01-24,US,GA_Habersham_County,-88,0,0,,,,,,
2020-01-25,US,GA_Habersham_County,-87,0,0,,,,,,
2020-01-26,US,GA_Habersham_County,-86,0,0,,,,,,
2020-01-27,US,GA_Habersham_County,-85,0,0,,,,,,
2020-01-28,US,GA_Habersham_County,-84,0,0,,,,,,
2020-01-29,US,GA_Habersham_County,-83,0,0,,,,,,
2020-01-30,US,GA_Habersham_County,-82,0,0,,,,,,
2020-01-31,US,GA_Habersham_County,-81,0,0,,,,,,
2020-02-01,US,GA_Habersham_County,-80,0,0,,,,,,
2020-02-02,US,GA_Habersham_County,-79,0,0,,,,,,
2020-02-03,US,GA_Habersham_County,-78,0,0,,,,,,
2020-02-04,US,GA_Habersham_County,-77,0,0,,,,,,
2020-02-05,US,GA_Habersham_County,-76,0,0,,,,,,
2020-02-06,US,GA_Habersham_County,-75,0,0,,,,,,
2020-02-07,US,GA_Habersham_County,-74,0,0,,,,,,
2020-02-08,US,GA_Habersham_County,-73,0,0,,,,,,
2020-02-09,US,GA_Habersham_County,-72,0,0,,,,,,
2020-02-10,US,GA_Habersham_County,-71,0,0,,,,,,
2020-02-11,US,GA_Habersham_County,-70,0,0,,,,,,
2020-02-12,US,GA_Habersham_County,-69,0,0,,,,,,
2020-02-13,US,GA_Habersham_County,-68,0,0,,,,,,
2020-02-14,US,GA_Habersham_County,-67,0,0,,,,,,
2020-02-15,US,GA_Habersham_County,-66,0,0,,,,,,
2020-02-16,US,GA_Habersham_County,-65,0,0,,,,,,
2020-02-17,US,GA_Habersham_County,-64,0,0,,,,,,
2020-02-18,US,GA_Habersham_County,-63,0,0,,,,,,
2020-02-19,US,GA_Habersham_County,-62,0,0,,,,,,
2020-02-20,US,GA_Habersham_County,-61,0,0,,,,,,
2020-02-21,US,GA_Habersham_County,-60,0,0,,,,,,
2020-02-22,US,GA_Habersham_County,-59,0,0,,,,,,
2020-02-23,US,GA_Habersham_County,-58,0,0,,,,,,
2020-02-24,US,GA_Habersham_County,-57,0,0,,,,,,
2020-02-25,US,GA_Habersham_County,-56,0,0,,,,,,
2020-02-26,US,GA_Habersham_County,-55,0,0,,,,,,
2020-02-27,US,GA_Habersham_County,-54,0,0,,,,,,
2020-02-28,US,GA_Habersham_County,-53,0,0,,,,,,
2020-02-29,US,GA_Habersham_County,-52,0,0,,,,,,
2020-03-01,US,GA_Habersham_County,-51,0,0,,,,,,
2020-03-02,US,GA_Habersham_County,-50,0,0,,,,,,
2020-03-03,US,GA_Habersham_County,-49,0,0,,,,,,
2020-03-04,US,GA_Habersham_County,-48,0,0,,,,,,
2020-03-05,US,GA_Habersham_County,-47,0,0,,,,,,
2020-03-06,US,GA_Habersham_County,-46,0,0,,,,,,
2020-03-07,US,GA_Habersham_County,-45,0,0,,,,,,
2020-03-08,US,GA_Habersham_County,-44,0,0,,,,,,
2020-03-09,US,GA_Habersham_County,-43,0,0,,,,,,
2020-03-10,US,GA_Habersham_County,-42,0,0,,,,,,
2020-03-11,US,GA_Habersham_County,-41,0,0,,,,,,
2020-03-12,US,GA_Habersham_County,-40,0,0,,,,,,
2020-03-13,US,GA_Habersham_County,-39,0,0,,,,,,
2020-03-14,US,GA_Habersham_County,-38,0,0,,,,,,
2020-03-15,US,GA_Habersham_County,-37,0,0,,,,,,
2020-03-16,US,GA_Habersham_County,-36,0,0,,,,,,
2020-03-17,US,GA_Habersham_County,-35,0,0,,,,,,
2020-03-18,US,GA_Habersham_County,-34,0,0,,,,,,
2020-03-19,US,GA_Habersham_County,-33,0,0,,,,,,
2020-03-20,US,GA_Habersham_County,-32,0,0,,,,,,
2020-03-21,US,GA_Habersham_County,-31,0,0,,,,,,
2020-03-22,US,GA_Habersham_County,-30,0,0,,,,,,
2020-03-23,US,GA_Habersham_County,-29,0,0,,,,,,
2020-03-24,US,GA_Habersham_County,-28,0,0,,,,,,
2020-03-25,US,GA_Habersham_County,-27,0,0,,,,,,
2020-03-26,US,GA_Habersham_County,-26,0,0,,,,,,
2020-03-27,US,GA_Habersham_County,-25,0,0,,,,,,
2020-03-28,US,GA_Habersham_County,-24,0,0,,,,,,
2020-03-29,US,GA_Habersham_County,-23,0,0,,,,,,
2020-03-30,US,GA_Habersham_County,-22,0,0,,,,,,
2020-03-31,US,GA_Habersham_County,-21,2,0,,,,,,
2020-04-01,US,GA_Habersham_County,-20,2,0,,,,,,
2020-04-02,US,GA_Habersham_County,-19,2,0,,,,,,
2020-04-03,US,GA_Habersham_County,-18,2,0,,,,,,
2020-04-04,US,GA_Habersham_County,-17,2,0,,,,,,
2020-04-05,US,GA_Habersham_County,-16,2,0,,,,,,
2020-04-06,US,GA_Habersham_County,-15,2,0,,,,,,
2020-04-07,US,GA_Habersham_County,-14,7,0,,,,,,
2020-04-08,US,GA_Habersham_County,-13,8,0,,,,,,
2020-04-09,US,GA_Habersham_County,-12,11,0,,,,,,
2020-04-10,US,GA_Habersham_County,-11,14,1,,,,,,
2020-04-11,US,GA_Habersham_County,-10,14,1,,,,,,
2020-04-12,US,GA_Habersham_County,-9,14,1,,,,,,
2020-04-13,US,GA_Habersham_County,-8,19,1,,,,,,
2020-04-14,US,GA_Habersham_County,-7,28,1,,,,,,
2020-04-15,US,GA_Habersham_County,-6,44,2,,,,,,
2020-04-16,US,GA_Habersham_County,-5,57,2,,,,,,
2020-04-17,US,GA_Habersham_County,-4,72,2,,,,,,
2020-04-18,US,GA_Habersham_County,-3,73,2,,,,,,
2020-04-19,US,GA_Habersham_County,-2,75,2,,,,,,
2020-04-20,US,GA_Habersham_County,-1,99,2,,,,,,
2020-04-21,US,GA_Habersham_County,0,112,2,,,,,,
2020-04-22,US,GA_Habersham_County,1,130,3,,,,,,
2020-04-23,US,GA_Habersham_County,2,149,3,,,,,,
2020-04-24,US,GA_Habersham_County,3,165,3,,,,,,
2020-04-25,US,GA_Habersham_County,4,170,3,,,,,,
2020-04-26,US,GA_Habersham_County,5,171,3,,,,,,
2020-04-27,US,GA_Habersham_County,6,193,4,,,,,,
2020-04-28,US,GA_Habersham_County,7,211,7,,,,,,
2020-04-29,US,GA_Habersham_County,8,220,7,,,,,,
2020-04-30,US,GA_Habersham_County,9,256,8,,,,,,
2020-05-01,US,GA_Habersham_County,10,326,8,,,,,,
2020-05-02,US,GA_Habersham_County,11,342,8,,,,,,
2020-05-03,US,GA_Habersham_County,12,342,8,,,,,,
2020-05-04,US,GA_Habersham_County,13,353,9,,,,,,
2020-05-05,US,GA_Habersham_County,14,359,11,,,,,,
2020-05-06,US,GA_Habersham_County,15,375,12,,,,,,
2020-05-07,US,GA_Habersham_County,16,381,14,,,,,,
2020-05-08,US,GA_Habersham_County,17,385,14,,,,,,
2020-05-09,US,GA_Habersham_County,18,385,14,,,,,,
2020-05-10,US,GA_Habersham_County,19,385,14,,,,,,
2020-05-11,US,GA_Habersham_County,20,386,14,,,,,,
2020-05-12,US,GA_Habersham_County,21,392,14,,,,,,
2020-05-13,US,GA_Habersham_County,22,398,14,,,,,,
2020-05-14,US,GA_Habersham_County,23,400,14,,,,,,
2020-05-15,US,GA_Habersham_County,24,411,14,,,,,,
2020-05-16,US,GA_Habersham_County,25,414,14,,,,,,
2020-05-17,US,GA_Habersham_County,26,420,14,,,,,,
2020-05-18,US,GA_Habersham_County,27,455,14,,,,,,
2020-05-19,US,GA_Habersham_County,28,457,14,,,,,,
2020-05-20,US,GA_Habersham_County,29,471,14,,,,,,
2020-05-21,US,GA_Habersham_County,30,479,18,,,,,,
2020-05-22,US,GA_Habersham_County,31,481,18,,,,,,
2020-05-23,US,GA_Habersham_County,32,488,19,,,,,,
2020-05-24,US,GA_Habersham_County,33,500,19,,,,,,
2020-05-25,US,GA_Habersham_County,34,502,19,,,,,,
2020-05-26,US,GA_Habersham_County,35,506,19,,,,,,
2020-05-27,US,GA_Habersham_County,36,511,19,,,,,,
2020-05-28,US,GA_Habersham_County,37,515,20,,,,,,
2020-05-29,US,GA_Habersham_County,38,519,23,,,,,,
2020-05-30,US,GA_Habersham_County,39,520,23,,,,,,
2020-05-31,US,GA_Habersham_County,40,520,23,,,,,,
2020-06-01,US,GA_Habersham_County,41,530,23,,,,,,
2020-06-02,US,GA_Habersham_County,42,530,23,,,,,,
2020-06-03,US,GA_Habersham_County,43,543,23,,,,,,
2020-06-04,US,GA_Habersham_County,44,547,25,,,,,,
2020-06-05,US,GA_Habersham_County,45,551,25,,,,,,
2020-06-06,US,GA_Habersham_County,46,556,25,,,,,,
2020-06-07,US,GA_Habersham_County,47,559,25,,,,,,
2020-06-08,US,GA_Habersham_County,48,564,26,,,,,,
2020-06-09,US,GA_Habersham_County,49,571,26,,,,,,
2020-06-10,US,GA_Habersham_County,50,572,26,,,,,,
2020-06-11,US,GA_Habersham_County,51,577,28,,,,,,
2020-06-12,US,GA_Habersham_County,52,589,29,,,,,,
2020-06-13,US,GA_Habersham_County,53,590,30,,,,,,
2020-06-14,US,GA_Habersham_County,54,593,30,,,,,,
2020-06-15,US,GA_Habersham_County,55,597,31,,,,,,
2020-06-16,US,GA_Habersham_County,56,606,32,,,,,,
2020-06-17,US,GA_Habersham_County,57,615,33,,,,,,
2020-06-18,US,GA_Habersham_County,58,628,33,,,,,,
2020-06-19,US,GA_Habersham_County,59,634,34,,,,,,
2020-06-20,US,GA_Habersham_County,60,635,34,,,,,,
2020-06-21,US,GA_Habersham_County,61,638,34,,,,,,
2020-06-22,US,GA_Habersham_County,62,641,34,,,,,,
2020-06-23,US,GA_Habersham_County,63,642,34,,,,,,
2020-06-24,US,GA_Habersham_County,64,648,35,,,,,,
2020-06-25,US,GA_Habersham_County,65,650,35,,,,,,
2020-06-26,US,GA_Habersham_County,66,659,35,,,,,,
2020-06-27,US,GA_Habersham_County,67,662,35,,,,,,
2020-06-28,US,GA_Habersham_County,68,662,35,,,,,,
2020-06-29,US,GA_Habersham_County,69,672,35,,,,,,
2020-06-30,US,GA_Habersham_County,70,695,35,,,,,,
2020-07-01,US,GA_Habersham_County,71,704,36,,,,,,
2020-07-02,US,GA_Habersham_County,72,708,36,,,,,,
2020-07-03,US,GA_Habersham_County,73,712,36,,,,,,
2020-07-04,US,GA_Habersham_County,74,714,36,,,,,,
2020-07-05,US,GA_Habersham_County,75,717,36,,,,,,
2020-07-06,US,GA_Habersham_County,76,726,38,,,,,,
2020-07-07,US,GA_Habersham_County,77,733,38,,,,,,
2020-07-08,US,GA_Habersham_County,78,739,39,,,,,,
2020-07-09,US,GA_Habersham_County,79,748,39,,,,,,
2020-07-10,US,GA_Habersham_County,80,755,41,,,,,,
2020-07-11,US,GA_Habersham_County,81,760,41,,,,,,
2020-07-12,US,GA_Habersham_County,82,762,41,,,,,,
2020-07-13,US,GA_Habersham_County,83,769,41,,,,,,
2020-07-14,US,GA_Habersham_County,84,785,41,,,,,,
2020-07-15,US,GA_Habersham_County,85,813,41,,,,,,
2020-07-16,US,GA_Habersham_County,86,821,41,,,,,,
2020-07-17,US,GA_Habersham_County,87,836,41,,,,,,
2020-07-18,US,GA_Habersham_County,88,850,41,,,,,,
2020-07-19,US,GA_Habersham_County,89,854,41,,,,,,
2020-07-20,US,GA_Habersham_County,90,855,41,,,,,,
2020-07-21,US,GA_Habersham_County,91,876,42,,,,,,
2020-07-22,US,GA_Habersham_County,92,890,43,,,,,,
2020-07-23,US,GA_Habersham_County,93,904,43,,,,,,
2020-07-24,US,GA_Habersham_County,94,921,47,,,,,,
2020-07-25,US,GA_Habersham_County,95,931,47,,,,,,
2020-07-26,US,GA_Habersham_County,96,937,47,,,,,,
2020-07-27,US,GA_Habersham_County,97,943,47,,,,,,
2020-07-28,US,GA_Habersham_County,98,961,47,,,,,,
2020-07-29,US,GA_Habersham_County,99,983,47,,,,,,
2020-07-30,US,GA_Habersham_County,100,1002,47,,,,,,
2020-07-31,US,GA_Habersham_County,101,1011,48,,,,,,
2020-08-01,US,GA_Habersham_County,102,1026,48,,,,,,
2020-08-02,US,GA_Habersham_County,103,1037,48,,,,,,
2020-08-03,US,GA_Habersham_County,104,1048,48,,,,,,
2020-08-04,US,GA_Habersham_County,105,1057,48,,,,,,
2020-08-05,US,GA_Habersham_County,106,1089,48,,,,,,
2020-08-06,US,GA_Habersham_County,107,1102,48,,,,,,
2020-08-07,US,GA_Habersham_County,108,1125,48,,,,,,
2020-08-08,US,GA_Habersham_County,109,1135,49,,,,,,
2020-08-09,US,GA_Habersham_County,110,1141,49,,,,,,
2020-08-10,US,GA_Habersham_County,111,1145,49,,,,,,
2020-08-11,US,GA_Habersham_County,112,1157,50,,,,,,
