date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,GA_Hall_County,-36,0,0,,,,,,
2020-01-25,US,GA_Hall_County,-35,0,0,,,,,,
2020-01-27,US,GA_Hall_County,-34,0,0,,,,,,
2020-01-29,US,GA_Hall_County,-33,0,0,,,,,,
2020-01-31,US,GA_Hall_County,-32,0,0,,,,,,
2020-02-02,US,GA_Hall_County,-31,0,0,,,,,,
2020-02-04,US,GA_Hall_County,-30,0,0,,,,,,
2020-02-06,US,GA_Hall_County,-29,0,0,,,,,,
2020-02-08,US,GA_Hall_County,-28,0,0,,,,,,
2020-02-10,US,GA_Hall_County,-27,0,0,,,,,,
2020-02-12,US,GA_Hall_County,-26,0,0,,,,,,
2020-02-14,US,GA_Hall_County,-25,0,0,,,,,,
2020-02-16,US,GA_Hall_County,-24,0,0,,,,,,
2020-02-18,US,GA_Hall_County,-23,0,0,,,,,,
2020-02-20,US,GA_Hall_County,-22,0,0,,,,,,
2020-02-22,US,GA_Hall_County,-21,0,0,,,,,,
2020-02-24,US,GA_Hall_County,-20,0,0,,,,,,
2020-02-26,US,GA_Hall_County,-19,0,0,,,,,,
2020-02-28,US,GA_Hall_County,-18,0,0,,,,,,
2020-03-01,US,GA_Hall_County,-17,0,0,,,,,,
2020-03-03,US,GA_Hall_County,-16,0,0,,,,,,
2020-03-05,US,GA_Hall_County,-15,0,0,,,,,,
2020-03-07,US,GA_Hall_County,-14,0,0,,,,,,
2020-03-09,US,GA_Hall_County,-13,0,0,,,,,,
2020-03-11,US,GA_Hall_County,-12,0,0,,,,,,
2020-03-13,US,GA_Hall_County,-11,0,0,,,,,,
2020-03-15,US,GA_Hall_County,-10,0,0,,,,,,
2020-03-17,US,GA_Hall_County,-9,1,0,,,,,,
2020-03-19,US,GA_Hall_County,-8,5,0,,,,,,
2020-03-21,US,GA_Hall_County,-7,9,0,,,,,,
2020-03-23,US,GA_Hall_County,-6,10,0,,,,,,
2020-03-25,US,GA_Hall_County,-5,19,0,,,,,,
2020-03-27,US,GA_Hall_County,-4,30,0,,,,,,
2020-03-29,US,GA_Hall_County,-3,33,0,,,,,,
2020-03-31,US,GA_Hall_County,-2,67,0,,,,,,
2020-04-02,US,GA_Hall_County,-1,72,0,,,,,,
2020-04-04,US,GA_Hall_County,0,117,0,,,,,,
2020-04-06,US,GA_Hall_County,1,138,0,,,,,,
2020-04-08,US,GA_Hall_County,2,233,0,,,,,,
2020-04-10,US,GA_Hall_County,3,273,0,,,,,,
2020-04-12,US,GA_Hall_County,4,282,0,,,,,,
2020-04-14,US,GA_Hall_County,5,363,0,,,,,,
2020-04-16,US,GA_Hall_County,6,526,5,,,,,,
2020-04-18,US,GA_Hall_County,7,607,6,,,,,,
2020-04-20,US,GA_Hall_County,8,702,9,,,,,,
2020-04-22,US,GA_Hall_County,9,907,9,,,,,,
2020-04-24,US,GA_Hall_County,10,1022,9,,,,,,
2020-04-26,US,GA_Hall_County,11,1033,11,,,,,,
2020-04-28,US,GA_Hall_County,12,1177,16,,,,,,
2020-04-30,US,GA_Hall_County,13,1331,21,,,,,,
2020-05-02,US,GA_Hall_County,14,1693,22,,,,,,
2020-05-04,US,GA_Hall_County,15,1775,23,,,,,,
2020-05-06,US,GA_Hall_County,16,1914,27,,,,,,
2020-05-08,US,GA_Hall_County,17,1997,28,,,,,,
2020-05-10,US,GA_Hall_County,18,2012,28,,,,,,
2020-05-12,US,GA_Hall_County,19,2060,35,,,,,,
2020-05-14,US,GA_Hall_County,20,2126,40,,,,,,
2020-05-16,US,GA_Hall_County,21,2146,40,,,,,,
2020-05-18,US,GA_Hall_County,22,2164,40,,,,,,
2020-05-20,US,GA_Hall_County,23,2230,40,,,,,,
2020-05-22,US,GA_Hall_County,24,2270,41,,,,,,
2020-05-24,US,GA_Hall_County,25,2322,41,,,,,,
2020-05-26,US,GA_Hall_County,26,2383,41,,,,,,
2020-05-28,US,GA_Hall_County,27,2450,46,,,,,,
2020-05-30,US,GA_Hall_County,28,2467,47,,,,,,
2020-06-01,US,GA_Hall_County,29,2505,49,,,,,,
2020-06-03,US,GA_Hall_County,30,2543,50,,,,,,
2020-06-05,US,GA_Hall_County,31,2598,50,,,,,,
2020-06-07,US,GA_Hall_County,32,2617,50,,,,,,
2020-06-09,US,GA_Hall_County,33,2677,52,,,,,,
2020-06-11,US,GA_Hall_County,34,2707,54,,,,,,
2020-06-13,US,GA_Hall_County,35,2740,55,,,,,,
2020-06-15,US,GA_Hall_County,36,2770,55,,,,,,
2020-06-17,US,GA_Hall_County,37,2844,58,,,,,,
2020-06-19,US,GA_Hall_County,38,2919,58,,,,,,
2020-06-21,US,GA_Hall_County,39,2939,58,,,,,,
2020-06-23,US,GA_Hall_County,40,3010,58,,,,,,
2020-06-25,US,GA_Hall_County,41,3054,59,,,,,,
2020-06-27,US,GA_Hall_County,42,3115,59,,,,,,
2020-06-29,US,GA_Hall_County,43,3175,60,,,,,,
2020-07-01,US,GA_Hall_County,44,3287,60,,,,,,
2020-07-03,US,GA_Hall_County,45,3362,60,,,,,,
2020-07-05,US,GA_Hall_County,46,3406,60,,,,,,
2020-07-07,US,GA_Hall_County,47,3515,62,,,,,,
2020-07-09,US,GA_Hall_County,48,3678,63,,,,,,
2020-07-11,US,GA_Hall_County,49,3790,63,,,,,,
2020-07-13,US,GA_Hall_County,50,3867,64,,,,,,
2020-07-15,US,GA_Hall_County,51,4012,65,,,,,,
2020-07-17,US,GA_Hall_County,52,4242,65,,,,,,
2020-07-19,US,GA_Hall_County,53,4394,66,,,,,,
2020-07-21,US,GA_Hall_County,54,4528,68,,,,,,
2020-07-23,US,GA_Hall_County,55,4706,69,,,,,,
2020-07-25,US,GA_Hall_County,56,4845,71,,,,,,
2020-07-27,US,GA_Hall_County,57,4924,71,,,,,,
2020-07-29,US,GA_Hall_County,58,5165,72,,,,,,
2020-07-31,US,GA_Hall_County,59,5372,77,,,,,,
2020-08-02,US,GA_Hall_County,60,5523,79,,,,,,
2020-08-04,US,GA_Hall_County,61,5657,86,,,,,,
2020-08-06,US,GA_Hall_County,62,5847,88,,,,,,
