date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-30,US,GA_Muscogee_County,-10,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,GA_Muscogee_County,-9,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,GA_Muscogee_County,-8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,GA_Muscogee_County,-7,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,GA_Muscogee_County,-6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,GA_Muscogee_County,-5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,GA_Muscogee_County,-4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,GA_Muscogee_County,-3,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,GA_Muscogee_County,-2,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,GA_Muscogee_County,-1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,GA_Muscogee_County,0,117.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,GA_Muscogee_County,1,141.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,GA_Muscogee_County,2,142.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,GA_Muscogee_County,3,154.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,GA_Muscogee_County,4,166.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,GA_Muscogee_County,5,174.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,GA_Muscogee_County,6,180.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,GA_Muscogee_County,7,199.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,GA_Muscogee_County,8,208.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,GA_Muscogee_County,9,217.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,GA_Muscogee_County,10,223.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,GA_Muscogee_County,11,228.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,GA_Muscogee_County,12,234.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,GA_Muscogee_County,13,243.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,GA_Muscogee_County,14,255.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,GA_Muscogee_County,15,257.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,GA_Muscogee_County,16,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,GA_Muscogee_County,17,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,GA_Muscogee_County,18,281.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,GA_Muscogee_County,19,290.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,GA_Muscogee_County,20,298.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,GA_Muscogee_County,21,302.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,GA_Muscogee_County,22,315.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,GA_Muscogee_County,23,318.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,GA_Muscogee_County,24,328.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,GA_Muscogee_County,25,334.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,GA_Muscogee_County,26,340.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,GA_Muscogee_County,27,346.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,GA_Muscogee_County,28,353.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,GA_Muscogee_County,29,361.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,GA_Muscogee_County,30,362.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,GA_Muscogee_County,31,369.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,GA_Muscogee_County,32,375.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,GA_Muscogee_County,33,389.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,GA_Muscogee_County,34,397.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,GA_Muscogee_County,35,409.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,GA_Muscogee_County,36,423.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,GA_Muscogee_County,37,423.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,GA_Muscogee_County,38,423.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,GA_Muscogee_County,39,439.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,GA_Muscogee_County,40,449.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,GA_Muscogee_County,41,455.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,US,GA_Muscogee_County,42,485.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,US,GA_Muscogee_County,43,507.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,US,GA_Muscogee_County,44,534.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,US,GA_Muscogee_County,45,548.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
