date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-19,US,HI_Honolulu_County,-9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,US,HI_Honolulu_County,-8,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,US,HI_Honolulu_County,-7,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US,HI_Honolulu_County,-6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US,HI_Honolulu_County,-5,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,US,HI_Honolulu_County,-4,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,US,HI_Honolulu_County,-3,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,US,HI_Honolulu_County,-2,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,HI_Honolulu_County,-1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,HI_Honolulu_County,0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,HI_Honolulu_County,1,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,HI_Honolulu_County,2,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,HI_Honolulu_County,3,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,HI_Honolulu_County,4,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,HI_Honolulu_County,5,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,HI_Honolulu_County,6,235.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,HI_Honolulu_County,7,265.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,HI_Honolulu_County,8,279.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,HI_Honolulu_County,9,291.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,HI_Honolulu_County,10,310.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,HI_Honolulu_County,11,327.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
