date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,IL_Rock_Island_County,-41,0,0,,,,,,
2020-01-25,US,IL_Rock_Island_County,-40,0,0,,,,,,
2020-01-27,US,IL_Rock_Island_County,-39,0,0,,,,,,
2020-01-29,US,IL_Rock_Island_County,-38,0,0,,,,,,
2020-01-31,US,IL_Rock_Island_County,-37,0,0,,,,,,
2020-02-02,US,IL_Rock_Island_County,-36,0,0,,,,,,
2020-02-04,US,IL_Rock_Island_County,-35,0,0,,,,,,
2020-02-06,US,IL_Rock_Island_County,-34,0,0,,,,,,
2020-02-08,US,IL_Rock_Island_County,-33,0,0,,,,,,
2020-02-10,US,IL_Rock_Island_County,-32,0,0,,,,,,
2020-02-12,US,IL_Rock_Island_County,-31,0,0,,,,,,
2020-02-14,US,IL_Rock_Island_County,-30,0,0,,,,,,
2020-02-16,US,IL_Rock_Island_County,-29,0,0,,,,,,
2020-02-18,US,IL_Rock_Island_County,-28,0,0,,,,,,
2020-02-20,US,IL_Rock_Island_County,-27,0,0,,,,,,
2020-02-22,US,IL_Rock_Island_County,-26,0,0,,,,,,
2020-02-24,US,IL_Rock_Island_County,-25,0,0,,,,,,
2020-02-26,US,IL_Rock_Island_County,-24,0,0,,,,,,
2020-02-28,US,IL_Rock_Island_County,-23,0,0,,,,,,
2020-03-01,US,IL_Rock_Island_County,-22,0,0,,,,,,
2020-03-03,US,IL_Rock_Island_County,-21,0,0,,,,,,
2020-03-05,US,IL_Rock_Island_County,-20,0,0,,,,,,
2020-03-07,US,IL_Rock_Island_County,-19,0,0,,,,,,
2020-03-09,US,IL_Rock_Island_County,-18,0,0,,,,,,
2020-03-11,US,IL_Rock_Island_County,-17,0,0,,,,,,
2020-03-13,US,IL_Rock_Island_County,-16,0,0,,,,,,
2020-03-15,US,IL_Rock_Island_County,-15,0,0,,,,,,
2020-03-17,US,IL_Rock_Island_County,-14,0,0,,,,,,
2020-03-19,US,IL_Rock_Island_County,-13,0,0,,,,,,
2020-03-21,US,IL_Rock_Island_County,-12,0,0,,,,,,
2020-03-23,US,IL_Rock_Island_County,-11,1,0,,,,,,
2020-03-25,US,IL_Rock_Island_County,-10,3,0,,,,,,
2020-03-27,US,IL_Rock_Island_County,-9,4,0,,,,,,
2020-03-29,US,IL_Rock_Island_County,-8,5,0,,,,,,
2020-03-31,US,IL_Rock_Island_County,-7,11,0,,,,,,
2020-04-02,US,IL_Rock_Island_County,-6,21,0,,,,,,
