date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,IN_Decatur_County,-77,0,0,,,,,,
2020-01-23,US,IN_Decatur_County,-76,0,0,,,,,,
2020-01-24,US,IN_Decatur_County,-75,0,0,,,,,,
2020-01-25,US,IN_Decatur_County,-74,0,0,,,,,,
2020-01-26,US,IN_Decatur_County,-73,0,0,,,,,,
2020-01-27,US,IN_Decatur_County,-72,0,0,,,,,,
2020-01-28,US,IN_Decatur_County,-71,0,0,,,,,,
2020-01-29,US,IN_Decatur_County,-70,0,0,,,,,,
2020-01-30,US,IN_Decatur_County,-69,0,0,,,,,,
2020-01-31,US,IN_Decatur_County,-68,0,0,,,,,,
2020-02-01,US,IN_Decatur_County,-67,0,0,,,,,,
2020-02-02,US,IN_Decatur_County,-66,0,0,,,,,,
2020-02-03,US,IN_Decatur_County,-65,0,0,,,,,,
2020-02-04,US,IN_Decatur_County,-64,0,0,,,,,,
2020-02-05,US,IN_Decatur_County,-63,0,0,,,,,,
2020-02-06,US,IN_Decatur_County,-62,0,0,,,,,,
2020-02-07,US,IN_Decatur_County,-61,0,0,,,,,,
2020-02-08,US,IN_Decatur_County,-60,0,0,,,,,,
2020-02-09,US,IN_Decatur_County,-59,0,0,,,,,,
2020-02-10,US,IN_Decatur_County,-58,0,0,,,,,,
2020-02-11,US,IN_Decatur_County,-57,0,0,,,,,,
2020-02-12,US,IN_Decatur_County,-56,0,0,,,,,,
2020-02-13,US,IN_Decatur_County,-55,0,0,,,,,,
2020-02-14,US,IN_Decatur_County,-54,0,0,,,,,,
2020-02-15,US,IN_Decatur_County,-53,0,0,,,,,,
2020-02-16,US,IN_Decatur_County,-52,0,0,,,,,,
2020-02-17,US,IN_Decatur_County,-51,0,0,,,,,,
2020-02-18,US,IN_Decatur_County,-50,0,0,,,,,,
2020-02-19,US,IN_Decatur_County,-49,0,0,,,,,,
2020-02-20,US,IN_Decatur_County,-48,0,0,,,,,,
2020-02-21,US,IN_Decatur_County,-47,0,0,,,,,,
2020-02-22,US,IN_Decatur_County,-46,0,0,,,,,,
2020-02-23,US,IN_Decatur_County,-45,0,0,,,,,,
