date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,IN_Vanderburgh_County,-46,0,0,,,,,,
2020-01-25,US,IN_Vanderburgh_County,-45,0,0,,,,,,
2020-01-27,US,IN_Vanderburgh_County,-44,0,0,,,,,,
2020-01-29,US,IN_Vanderburgh_County,-43,0,0,,,,,,
2020-01-31,US,IN_Vanderburgh_County,-42,0,0,,,,,,
2020-02-02,US,IN_Vanderburgh_County,-41,0,0,,,,,,
2020-02-04,US,IN_Vanderburgh_County,-40,0,0,,,,,,
2020-02-06,US,IN_Vanderburgh_County,-39,0,0,,,,,,
2020-02-08,US,IN_Vanderburgh_County,-38,0,0,,,,,,
2020-02-10,US,IN_Vanderburgh_County,-37,0,0,,,,,,
2020-02-12,US,IN_Vanderburgh_County,-36,0,0,,,,,,
2020-02-14,US,IN_Vanderburgh_County,-35,0,0,,,,,,
2020-02-16,US,IN_Vanderburgh_County,-34,0,0,,,,,,
2020-02-18,US,IN_Vanderburgh_County,-33,0,0,,,,,,
2020-02-20,US,IN_Vanderburgh_County,-32,0,0,,,,,,
2020-02-22,US,IN_Vanderburgh_County,-31,0,0,,,,,,
2020-02-24,US,IN_Vanderburgh_County,-30,0,0,,,,,,
2020-02-26,US,IN_Vanderburgh_County,-29,0,0,,,,,,
2020-02-28,US,IN_Vanderburgh_County,-28,0,0,,,,,,
2020-03-01,US,IN_Vanderburgh_County,-27,0,0,,,,,,
2020-03-03,US,IN_Vanderburgh_County,-26,0,0,,,,,,
2020-03-05,US,IN_Vanderburgh_County,-25,0,0,,,,,,
2020-03-07,US,IN_Vanderburgh_County,-24,0,0,,,,,,
2020-03-09,US,IN_Vanderburgh_County,-23,0,0,,,,,,
2020-03-11,US,IN_Vanderburgh_County,-22,0,0,,,,,,
2020-03-13,US,IN_Vanderburgh_County,-21,0,0,,,,,,
2020-03-15,US,IN_Vanderburgh_County,-20,0,0,,,,,,
2020-03-17,US,IN_Vanderburgh_County,-19,0,0,,,,,,
2020-03-19,US,IN_Vanderburgh_County,-18,0,0,,,,,,
2020-03-21,US,IN_Vanderburgh_County,-17,1,0,,,,,,
2020-03-23,US,IN_Vanderburgh_County,-16,1,0,,,,,,
2020-03-25,US,IN_Vanderburgh_County,-15,1,0,,,,,,
2020-03-27,US,IN_Vanderburgh_County,-14,6,0,,,,,,
2020-03-29,US,IN_Vanderburgh_County,-13,17,0,,,,,,
2020-03-31,US,IN_Vanderburgh_County,-12,18,0,,,,,,
2020-04-02,US,IN_Vanderburgh_County,-11,23,0,,,,,,
2020-04-04,US,IN_Vanderburgh_County,-10,35,0,,,,,,
2020-04-06,US,IN_Vanderburgh_County,-9,40,0,,,,,,
