date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,KS_Chautauqua_County,-317,0,0,,,,,,
2020-01-23,US,KS_Chautauqua_County,-316,0,0,,,,,,
2020-01-24,US,KS_Chautauqua_County,-315,0,0,,,,,,
2020-01-25,US,KS_Chautauqua_County,-314,0,0,,,,,,
2020-01-26,US,KS_Chautauqua_County,-313,0,0,,,,,,
2020-01-27,US,KS_Chautauqua_County,-312,0,0,,,,,,
2020-01-28,US,KS_Chautauqua_County,-311,0,0,,,,,,
2020-01-29,US,KS_Chautauqua_County,-310,0,0,,,,,,
2020-01-30,US,KS_Chautauqua_County,-309,0,0,,,,,,
2020-01-31,US,KS_Chautauqua_County,-308,0,0,,,,,,
2020-02-01,US,KS_Chautauqua_County,-307,0,0,,,,,,
2020-02-02,US,KS_Chautauqua_County,-306,0,0,,,,,,
2020-02-03,US,KS_Chautauqua_County,-305,0,0,,,,,,
2020-02-04,US,KS_Chautauqua_County,-304,0,0,,,,,,
2020-02-05,US,KS_Chautauqua_County,-303,0,0,,,,,,
2020-02-06,US,KS_Chautauqua_County,-302,0,0,,,,,,
2020-02-07,US,KS_Chautauqua_County,-301,0,0,,,,,,
2020-02-08,US,KS_Chautauqua_County,-300,0,0,,,,,,
2020-02-09,US,KS_Chautauqua_County,-299,0,0,,,,,,
2020-02-10,US,KS_Chautauqua_County,-298,0,0,,,,,,
2020-02-11,US,KS_Chautauqua_County,-297,0,0,,,,,,
2020-02-12,US,KS_Chautauqua_County,-296,0,0,,,,,,
2020-02-13,US,KS_Chautauqua_County,-295,0,0,,,,,,
2020-02-14,US,KS_Chautauqua_County,-294,0,0,,,,,,
2020-02-15,US,KS_Chautauqua_County,-293,0,0,,,,,,
2020-02-16,US,KS_Chautauqua_County,-292,0,0,,,,,,
2020-02-17,US,KS_Chautauqua_County,-291,0,0,,,,,,
2020-02-18,US,KS_Chautauqua_County,-290,0,0,,,,,,
2020-02-19,US,KS_Chautauqua_County,-289,0,0,,,,,,
2020-02-20,US,KS_Chautauqua_County,-288,0,0,,,,,,
2020-02-21,US,KS_Chautauqua_County,-287,0,0,,,,,,
2020-02-22,US,KS_Chautauqua_County,-286,0,0,,,,,,
2020-02-23,US,KS_Chautauqua_County,-285,0,0,,,,,,
2020-02-24,US,KS_Chautauqua_County,-284,0,0,,,,,,
2020-02-25,US,KS_Chautauqua_County,-283,0,0,,,,,,
2020-02-26,US,KS_Chautauqua_County,-282,0,0,,,,,,
2020-02-27,US,KS_Chautauqua_County,-281,0,0,,,,,,
2020-02-28,US,KS_Chautauqua_County,-280,0,0,,,,,,
2020-02-29,US,KS_Chautauqua_County,-279,0,0,,,,,,
2020-03-01,US,KS_Chautauqua_County,-278,0,0,,,,,,
2020-03-02,US,KS_Chautauqua_County,-277,0,0,,,,,,
2020-03-03,US,KS_Chautauqua_County,-276,0,0,,,,,,
2020-03-04,US,KS_Chautauqua_County,-275,0,0,,,,,,
2020-03-05,US,KS_Chautauqua_County,-274,0,0,,,,,,
2020-03-06,US,KS_Chautauqua_County,-273,0,0,,,,,,
2020-03-07,US,KS_Chautauqua_County,-272,0,0,,,,,,
2020-03-08,US,KS_Chautauqua_County,-271,0,0,,,,,,
2020-03-09,US,KS_Chautauqua_County,-270,0,0,,,,,,
2020-03-10,US,KS_Chautauqua_County,-269,0,0,,,,,,
2020-03-11,US,KS_Chautauqua_County,-268,0,0,,,,,,
2020-03-12,US,KS_Chautauqua_County,-267,0,0,,,,,,
2020-03-13,US,KS_Chautauqua_County,-266,0,0,,,,,,
2020-03-14,US,KS_Chautauqua_County,-265,0,0,,,,,,
2020-03-15,US,KS_Chautauqua_County,-264,0,0,,,,,,
2020-03-16,US,KS_Chautauqua_County,-263,0,0,,,,,,
2020-03-17,US,KS_Chautauqua_County,-262,0,0,,,,,,
2020-03-18,US,KS_Chautauqua_County,-261,0,0,,,,,,
2020-03-19,US,KS_Chautauqua_County,-260,0,0,,,,,,
2020-03-20,US,KS_Chautauqua_County,-259,0,0,,,,,,
2020-03-21,US,KS_Chautauqua_County,-258,0,0,,,,,,
2020-03-22,US,KS_Chautauqua_County,-257,0,0,,,,,,
2020-03-23,US,KS_Chautauqua_County,-256,0,0,,,,,,
2020-03-24,US,KS_Chautauqua_County,-255,0,0,,,,,,
2020-03-25,US,KS_Chautauqua_County,-254,0,0,,,,,,
2020-03-26,US,KS_Chautauqua_County,-253,0,0,,,,,,
2020-03-27,US,KS_Chautauqua_County,-252,0,0,,,,,,
2020-03-28,US,KS_Chautauqua_County,-251,0,0,,,,,,
2020-03-29,US,KS_Chautauqua_County,-250,0,0,,,,,,
2020-03-30,US,KS_Chautauqua_County,-249,0,0,,,,,,
2020-03-31,US,KS_Chautauqua_County,-248,1,0,,,,,,
2020-04-01,US,KS_Chautauqua_County,-247,1,0,,,,,,
2020-04-02,US,KS_Chautauqua_County,-246,1,0,,,,,,
2020-04-03,US,KS_Chautauqua_County,-245,2,0,,,,,,
2020-04-04,US,KS_Chautauqua_County,-244,3,0,,,,,,
2020-04-05,US,KS_Chautauqua_County,-243,3,0,,,,,,
2020-04-06,US,KS_Chautauqua_County,-242,3,0,,,,,,
2020-04-07,US,KS_Chautauqua_County,-241,3,0,,,,,,
2020-04-08,US,KS_Chautauqua_County,-240,3,0,,,,,,
2020-04-09,US,KS_Chautauqua_County,-239,3,0,,,,,,
2020-04-10,US,KS_Chautauqua_County,-238,3,0,,,,,,
2020-04-11,US,KS_Chautauqua_County,-237,3,0,,,,,,
2020-04-12,US,KS_Chautauqua_County,-236,3,0,,,,,,
2020-04-13,US,KS_Chautauqua_County,-235,3,0,,,,,,
2020-04-14,US,KS_Chautauqua_County,-234,3,0,,,,,,
2020-04-15,US,KS_Chautauqua_County,-233,3,0,,,,,,
2020-04-16,US,KS_Chautauqua_County,-232,3,0,,,,,,
2020-04-17,US,KS_Chautauqua_County,-231,3,0,,,,,,
2020-04-18,US,KS_Chautauqua_County,-230,3,0,,,,,,
2020-04-19,US,KS_Chautauqua_County,-229,3,0,,,,,,
2020-04-20,US,KS_Chautauqua_County,-228,3,0,,,,,,
2020-04-21,US,KS_Chautauqua_County,-227,3,0,,,,,,
2020-04-22,US,KS_Chautauqua_County,-226,3,0,,,,,,
2020-04-23,US,KS_Chautauqua_County,-225,3,0,,,,,,
2020-04-24,US,KS_Chautauqua_County,-224,3,0,,,,,,
2020-04-25,US,KS_Chautauqua_County,-223,3,0,,,,,,
2020-04-26,US,KS_Chautauqua_County,-222,3,0,,,,,,
2020-04-27,US,KS_Chautauqua_County,-221,3,0,,,,,,
2020-04-28,US,KS_Chautauqua_County,-220,4,0,,,,,,
2020-04-29,US,KS_Chautauqua_County,-219,4,0,,,,,,
2020-04-30,US,KS_Chautauqua_County,-218,4,0,,,,,,
2020-05-01,US,KS_Chautauqua_County,-217,4,0,,,,,,
2020-05-02,US,KS_Chautauqua_County,-216,4,0,,,,,,
2020-05-03,US,KS_Chautauqua_County,-215,4,0,,,,,,
2020-05-04,US,KS_Chautauqua_County,-214,4,0,,,,,,
2020-05-05,US,KS_Chautauqua_County,-213,4,0,,,,,,
2020-05-06,US,KS_Chautauqua_County,-212,4,0,,,,,,
2020-05-07,US,KS_Chautauqua_County,-211,4,0,,,,,,
2020-05-08,US,KS_Chautauqua_County,-210,4,0,,,,,,
2020-05-09,US,KS_Chautauqua_County,-209,4,0,,,,,,
2020-05-10,US,KS_Chautauqua_County,-208,4,0,,,,,,
2020-05-11,US,KS_Chautauqua_County,-207,4,0,,,,,,
2020-05-12,US,KS_Chautauqua_County,-206,4,0,,,,,,
2020-05-13,US,KS_Chautauqua_County,-205,4,0,,,,,,
2020-05-14,US,KS_Chautauqua_County,-204,4,0,,,,,,
2020-05-15,US,KS_Chautauqua_County,-203,4,0,,,,,,
2020-05-16,US,KS_Chautauqua_County,-202,4,0,,,,,,
2020-05-17,US,KS_Chautauqua_County,-201,4,0,,,,,,
2020-05-18,US,KS_Chautauqua_County,-200,4,0,,,,,,
2020-05-19,US,KS_Chautauqua_County,-199,4,0,,,,,,
2020-05-20,US,KS_Chautauqua_County,-198,4,0,,,,,,
2020-05-21,US,KS_Chautauqua_County,-197,4,0,,,,,,
2020-05-22,US,KS_Chautauqua_County,-196,4,0,,,,,,
2020-05-23,US,KS_Chautauqua_County,-195,4,0,,,,,,
2020-05-24,US,KS_Chautauqua_County,-194,4,0,,,,,,
2020-05-25,US,KS_Chautauqua_County,-193,4,0,,,,,,
2020-05-26,US,KS_Chautauqua_County,-192,4,0,,,,,,
2020-05-27,US,KS_Chautauqua_County,-191,4,0,,,,,,
2020-05-28,US,KS_Chautauqua_County,-190,4,0,,,,,,
2020-05-29,US,KS_Chautauqua_County,-189,4,0,,,,,,
2020-05-30,US,KS_Chautauqua_County,-188,4,0,,,,,,
2020-05-31,US,KS_Chautauqua_County,-187,4,0,,,,,,
2020-06-01,US,KS_Chautauqua_County,-186,4,0,,,,,,
2020-06-02,US,KS_Chautauqua_County,-185,4,0,,,,,,
2020-06-03,US,KS_Chautauqua_County,-184,4,0,,,,,,
2020-06-04,US,KS_Chautauqua_County,-183,4,0,,,,,,
2020-06-05,US,KS_Chautauqua_County,-182,4,0,,,,,,
2020-06-06,US,KS_Chautauqua_County,-181,4,0,,,,,,
2020-06-07,US,KS_Chautauqua_County,-180,4,0,,,,,,
2020-06-08,US,KS_Chautauqua_County,-179,4,0,,,,,,
2020-06-09,US,KS_Chautauqua_County,-178,4,0,,,,,,
2020-06-10,US,KS_Chautauqua_County,-177,4,0,,,,,,
2020-06-11,US,KS_Chautauqua_County,-176,4,0,,,,,,
2020-06-12,US,KS_Chautauqua_County,-175,4,0,,,,,,
2020-06-13,US,KS_Chautauqua_County,-174,4,0,,,,,,
2020-06-14,US,KS_Chautauqua_County,-173,4,0,,,,,,
2020-06-15,US,KS_Chautauqua_County,-172,4,0,,,,,,
2020-06-16,US,KS_Chautauqua_County,-171,4,0,,,,,,
2020-06-17,US,KS_Chautauqua_County,-170,4,0,,,,,,
2020-06-18,US,KS_Chautauqua_County,-169,4,0,,,,,,
2020-06-19,US,KS_Chautauqua_County,-168,4,0,,,,,,
2020-06-20,US,KS_Chautauqua_County,-167,4,0,,,,,,
2020-06-21,US,KS_Chautauqua_County,-166,4,0,,,,,,
2020-06-22,US,KS_Chautauqua_County,-165,4,0,,,,,,
2020-06-23,US,KS_Chautauqua_County,-164,4,0,,,,,,
2020-06-24,US,KS_Chautauqua_County,-163,4,0,,,,,,
2020-06-25,US,KS_Chautauqua_County,-162,4,0,,,,,,
2020-06-26,US,KS_Chautauqua_County,-161,4,0,,,,,,
2020-06-27,US,KS_Chautauqua_County,-160,4,0,,,,,,
2020-06-28,US,KS_Chautauqua_County,-159,4,0,,,,,,
2020-06-29,US,KS_Chautauqua_County,-158,4,0,,,,,,
2020-06-30,US,KS_Chautauqua_County,-157,4,0,,,,,,
2020-07-01,US,KS_Chautauqua_County,-156,4,0,,,,,,
2020-07-02,US,KS_Chautauqua_County,-155,4,0,,,,,,
2020-07-03,US,KS_Chautauqua_County,-154,4,0,,,,,,
2020-07-04,US,KS_Chautauqua_County,-153,4,0,,,,,,
2020-07-05,US,KS_Chautauqua_County,-152,4,0,,,,,,
2020-07-06,US,KS_Chautauqua_County,-151,4,0,,,,,,
2020-07-07,US,KS_Chautauqua_County,-150,4,0,,,,,,
2020-07-08,US,KS_Chautauqua_County,-149,5,0,,,,,,
2020-07-09,US,KS_Chautauqua_County,-148,5,0,,,,,,
2020-07-10,US,KS_Chautauqua_County,-147,5,0,,,,,,
2020-07-11,US,KS_Chautauqua_County,-146,5,0,,,,,,
2020-07-12,US,KS_Chautauqua_County,-145,5,0,,,,,,
2020-07-13,US,KS_Chautauqua_County,-144,5,0,,,,,,
2020-07-14,US,KS_Chautauqua_County,-143,5,0,,,,,,
2020-07-15,US,KS_Chautauqua_County,-142,5,0,,,,,,
2020-07-16,US,KS_Chautauqua_County,-141,5,0,,,,,,
2020-07-17,US,KS_Chautauqua_County,-140,5,0,,,,,,
2020-07-18,US,KS_Chautauqua_County,-139,5,0,,,,,,
2020-07-19,US,KS_Chautauqua_County,-138,5,0,,,,,,
2020-07-20,US,KS_Chautauqua_County,-137,5,0,,,,,,
2020-07-21,US,KS_Chautauqua_County,-136,5,0,,,,,,
2020-07-22,US,KS_Chautauqua_County,-135,5,0,,,,,,
2020-07-23,US,KS_Chautauqua_County,-134,5,0,,,,,,
2020-07-24,US,KS_Chautauqua_County,-133,5,0,,,,,,
2020-07-25,US,KS_Chautauqua_County,-132,5,0,,,,,,
2020-07-26,US,KS_Chautauqua_County,-131,5,0,,,,,,
2020-07-27,US,KS_Chautauqua_County,-130,5,0,,,,,,
2020-07-28,US,KS_Chautauqua_County,-129,5,0,,,,,,
2020-07-29,US,KS_Chautauqua_County,-128,5,0,,,,,,
2020-07-30,US,KS_Chautauqua_County,-127,5,0,,,,,,
2020-07-31,US,KS_Chautauqua_County,-126,5,0,,,,,,
2020-08-01,US,KS_Chautauqua_County,-125,5,0,,,,,,
2020-08-02,US,KS_Chautauqua_County,-124,5,0,,,,,,
2020-08-03,US,KS_Chautauqua_County,-123,5,0,,,,,,
2020-08-04,US,KS_Chautauqua_County,-122,5,0,,,,,,
2020-08-05,US,KS_Chautauqua_County,-121,5,0,,,,,,
2020-08-06,US,KS_Chautauqua_County,-120,5,0,,,,,,
2020-08-07,US,KS_Chautauqua_County,-119,5,0,,,,,,
2020-08-08,US,KS_Chautauqua_County,-118,5,0,,,,,,
2020-08-09,US,KS_Chautauqua_County,-117,5,0,,,,,,
2020-08-10,US,KS_Chautauqua_County,-116,6,0,,,,,,
2020-08-11,US,KS_Chautauqua_County,-115,6,0,,,,,,
2020-08-12,US,KS_Chautauqua_County,-114,6,0,,,,,,
2020-08-13,US,KS_Chautauqua_County,-113,6,0,,,,,,
2020-08-14,US,KS_Chautauqua_County,-112,6,0,,,,,,
2020-08-15,US,KS_Chautauqua_County,-111,6,0,,,,,,
2020-08-16,US,KS_Chautauqua_County,-110,6,0,,,,,,
2020-08-17,US,KS_Chautauqua_County,-109,6,0,,,,,,
2020-08-18,US,KS_Chautauqua_County,-108,6,0,,,,,,
2020-08-19,US,KS_Chautauqua_County,-107,7,0,,,,,,
2020-08-20,US,KS_Chautauqua_County,-106,7,0,,,,,,
2020-08-21,US,KS_Chautauqua_County,-105,7,0,,,,,,
2020-08-22,US,KS_Chautauqua_County,-104,7,0,,,,,,
2020-08-23,US,KS_Chautauqua_County,-103,7,0,,,,,,
