date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-21,US,MA_Bristol_County,-6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US,MA_Bristol_County,-5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US,MA_Bristol_County,-4,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,US,MA_Bristol_County,-3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,US,MA_Bristol_County,-2,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,US,MA_Bristol_County,-1,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,MA_Bristol_County,0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,MA_Bristol_County,1,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,MA_Bristol_County,2,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,MA_Bristol_County,3,262.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,MA_Bristol_County,4,305.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,MA_Bristol_County,5,365.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,MA_Bristol_County,6,423.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,MA_Bristol_County,7,516.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,MA_Bristol_County,8,599.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,MA_Bristol_County,9,658.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,MA_Bristol_County,10,721.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,MA_Bristol_County,11,766.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,MA_Bristol_County,12,833.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,MA_Bristol_County,13,993.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,MA_Bristol_County,14,1085.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,MA_Bristol_County,15,1190.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,MA_Bristol_County,16,1326.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,MA_Bristol_County,17,1392.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,MA_Bristol_County,18,1433.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,MA_Bristol_County,19,1507.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,MA_Bristol_County,20,1603.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,MA_Bristol_County,21,1691.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,MA_Bristol_County,22,1732.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,MA_Bristol_County,23,1765.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,MA_Bristol_County,24,1814.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,MA_Bristol_County,25,1886.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,MA_Bristol_County,26,1945.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,MA_Bristol_County,27,2221.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,MA_Bristol_County,28,2738.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,MA_Bristol_County,29,2871.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,MA_Bristol_County,30,2965.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,MA_Bristol_County,31,3112.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,MA_Bristol_County,32,3316.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,MA_Bristol_County,33,3476.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,MA_Bristol_County,34,3630.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,MA_Bristol_County,35,3847.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,MA_Bristol_County,36,3974.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,MA_Bristol_County,37,4081.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,MA_Bristol_County,38,4168.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,MA_Bristol_County,39,4303.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,MA_Bristol_County,40,4455.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,MA_Bristol_County,41,4608.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,MA_Bristol_County,42,4752.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,MA_Bristol_County,43,4932.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,MA_Bristol_County,44,5022.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,MA_Bristol_County,45,5091.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,MA_Bristol_County,46,5225.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,MA_Bristol_County,47,5359.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,MA_Bristol_County,48,5555.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,MA_Bristol_County,49,5708.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,MA_Bristol_County,50,5866.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,MA_Bristol_County,51,5993.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,MA_Bristol_County,52,6121.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,MA_Bristol_County,53,6205.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,MA_Bristol_County,54,6293.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,US,MA_Bristol_County,55,6419.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,US,MA_Bristol_County,56,6502.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,US,MA_Bristol_County,57,6567.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,US,MA_Bristol_County,58,6739.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0
