date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-30,US,MI_Eaton_County,-23,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,MI_Eaton_County,-22,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,MI_Eaton_County,-21,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,MI_Eaton_County,-20,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,MI_Eaton_County,-19,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,MI_Eaton_County,-18,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,MI_Eaton_County,-17,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,MI_Eaton_County,-16,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,MI_Eaton_County,-15,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,MI_Eaton_County,-14,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,MI_Eaton_County,-13,67.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,MI_Eaton_County,-12,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,MI_Eaton_County,-11,69.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,MI_Eaton_County,-10,72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,MI_Eaton_County,-9,72.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,MI_Eaton_County,-8,74.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,MI_Eaton_County,-7,74.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,MI_Eaton_County,-6,82.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,MI_Eaton_County,-5,85.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,MI_Eaton_County,-4,86.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,MI_Eaton_County,-3,86.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,MI_Eaton_County,-2,88.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,MI_Eaton_County,-1,97.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,MI_Eaton_County,0,102.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,MI_Eaton_County,1,108.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,MI_Eaton_County,2,112.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,MI_Eaton_County,3,112.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,MI_Eaton_County,4,113.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,MI_Eaton_County,5,114.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,MI_Eaton_County,6,116.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,MI_Eaton_County,7,121.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,MI_Eaton_County,8,129.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,MI_Eaton_County,9,131.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,MI_Eaton_County,10,133.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,MI_Eaton_County,11,133.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,MI_Eaton_County,12,135.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,MI_Eaton_County,13,135.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,MI_Eaton_County,14,138.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,MI_Eaton_County,15,143.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,MI_Eaton_County,16,150.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,MI_Eaton_County,17,150.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,MI_Eaton_County,18,150.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,MI_Eaton_County,19,151.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,MI_Eaton_County,20,152.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,MI_Eaton_County,21,155.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,MI_Eaton_County,22,161.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,MI_Eaton_County,23,162.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,MI_Eaton_County,24,162.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,MI_Eaton_County,25,163.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,MI_Eaton_County,26,165.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,MI_Eaton_County,27,165.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,MI_Eaton_County,28,168.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,US,MI_Eaton_County,29,170.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,US,MI_Eaton_County,30,173.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,US,MI_Eaton_County,31,175.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,US,MI_Eaton_County,32,176.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,US,MI_Eaton_County,33,178.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,US,MI_Eaton_County,34,178.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,US,MI_Eaton_County,35,179.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,US,MI_Eaton_County,36,183.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,US,MI_Eaton_County,37,185.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,US,MI_Eaton_County,38,187.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,US,MI_Eaton_County,39,190.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,US,MI_Eaton_County,40,190.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,US,MI_Eaton_County,41,190.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,US,MI_Eaton_County,42,193.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,US,MI_Eaton_County,43,193.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,US,MI_Eaton_County,44,236.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,US,MI_Eaton_County,45,245.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,US,MI_Eaton_County,46,246.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,US,MI_Eaton_County,47,246.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,US,MI_Eaton_County,48,254.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-10,US,MI_Eaton_County,49,257.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,US,MI_Eaton_County,50,257.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,US,MI_Eaton_County,51,258.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,US,MI_Eaton_County,52,258.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,US,MI_Eaton_County,53,259.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,US,MI_Eaton_County,54,260.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,US,MI_Eaton_County,55,260.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-17,US,MI_Eaton_County,56,263.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-18,US,MI_Eaton_County,57,265.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,US,MI_Eaton_County,58,267.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-20,US,MI_Eaton_County,59,269.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,US,MI_Eaton_County,60,271.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,US,MI_Eaton_County,61,273.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,US,MI_Eaton_County,62,276.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-24,US,MI_Eaton_County,63,289.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-25,US,MI_Eaton_County,64,299.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,US,MI_Eaton_County,65,308.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-27,US,MI_Eaton_County,66,313.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,US,MI_Eaton_County,67,316.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,US,MI_Eaton_County,68,321.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,US,MI_Eaton_County,69,329.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,US,MI_Eaton_County,70,333.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,US,MI_Eaton_County,71,333.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,US,MI_Eaton_County,72,341.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-04,US,MI_Eaton_County,73,348.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,US,MI_Eaton_County,74,349.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,US,MI_Eaton_County,75,351.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,US,MI_Eaton_County,76,360.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,US,MI_Eaton_County,77,361.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,US,MI_Eaton_County,78,361.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-10,US,MI_Eaton_County,79,362.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-11,US,MI_Eaton_County,80,370.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,US,MI_Eaton_County,81,370.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,US,MI_Eaton_County,82,372.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-14,US,MI_Eaton_County,83,372.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-15,US,MI_Eaton_County,84,374.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,US,MI_Eaton_County,85,377.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,US,MI_Eaton_County,86,383.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-18,US,MI_Eaton_County,87,388.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,US,MI_Eaton_County,88,389.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,US,MI_Eaton_County,89,395.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-21,US,MI_Eaton_County,90,403.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-22,US,MI_Eaton_County,91,408.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-23,US,MI_Eaton_County,92,413.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-24,US,MI_Eaton_County,93,417.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-25,US,MI_Eaton_County,94,419.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,US,MI_Eaton_County,95,424.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,US,MI_Eaton_County,96,435.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-28,US,MI_Eaton_County,97,446.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-29,US,MI_Eaton_County,98,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-30,US,MI_Eaton_County,99,456.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,US,MI_Eaton_County,100,461.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,US,MI_Eaton_County,101,465.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-02,US,MI_Eaton_County,102,468.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,US,MI_Eaton_County,103,470.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-04,US,MI_Eaton_County,104,470.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-05,US,MI_Eaton_County,105,474.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-06,US,MI_Eaton_County,106,480.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,US,MI_Eaton_County,107,481.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-08,US,MI_Eaton_County,108,484.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,US,MI_Eaton_County,109,487.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-10,US,MI_Eaton_County,110,487.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-11,US,MI_Eaton_County,111,488.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-12,US,MI_Eaton_County,112,488.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-13,US,MI_Eaton_County,113,492.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,US,MI_Eaton_County,114,498.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-15,US,MI_Eaton_County,115,500.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,US,MI_Eaton_County,116,500.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-17,US,MI_Eaton_County,117,501.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-18,US,MI_Eaton_County,118,503.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-19,US,MI_Eaton_County,119,507.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-20,US,MI_Eaton_County,120,507.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,US,MI_Eaton_County,121,507.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-22,US,MI_Eaton_County,122,516.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,US,MI_Eaton_County,123,518.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-24,US,MI_Eaton_County,124,520.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-25,US,MI_Eaton_County,125,525.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-26,US,MI_Eaton_County,126,527.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-27,US,MI_Eaton_County,127,531.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-28,US,MI_Eaton_County,128,537.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-29,US,MI_Eaton_County,129,537.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,US,MI_Eaton_County,130,538.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-31,US,MI_Eaton_County,131,540.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,US,MI_Eaton_County,132,546.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-02,US,MI_Eaton_County,133,550.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-03,US,MI_Eaton_County,134,551.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-04,US,MI_Eaton_County,135,554.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-05,US,MI_Eaton_County,136,568.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
