date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MI_Oakland_County,-57,0,0,,,,,,
2020-01-23,US,MI_Oakland_County,-56,0,0,,,,,,
2020-01-24,US,MI_Oakland_County,-55,0,0,,,,,,
2020-01-25,US,MI_Oakland_County,-54,0,0,,,,,,
2020-01-26,US,MI_Oakland_County,-53,0,0,,,,,,
2020-01-27,US,MI_Oakland_County,-52,0,0,,,,,,
2020-01-28,US,MI_Oakland_County,-51,0,0,,,,,,
2020-01-29,US,MI_Oakland_County,-50,0,0,,,,,,
2020-01-30,US,MI_Oakland_County,-49,0,0,,,,,,
2020-01-31,US,MI_Oakland_County,-48,0,0,,,,,,
2020-02-01,US,MI_Oakland_County,-47,0,0,,,,,,
2020-02-02,US,MI_Oakland_County,-46,0,0,,,,,,
2020-02-03,US,MI_Oakland_County,-45,0,0,,,,,,
2020-02-04,US,MI_Oakland_County,-44,0,0,,,,,,
2020-02-05,US,MI_Oakland_County,-43,0,0,,,,,,
2020-02-06,US,MI_Oakland_County,-42,0,0,,,,,,
2020-02-07,US,MI_Oakland_County,-41,0,0,,,,,,
2020-02-08,US,MI_Oakland_County,-40,0,0,,,,,,
2020-02-09,US,MI_Oakland_County,-39,0,0,,,,,,
2020-02-10,US,MI_Oakland_County,-38,0,0,,,,,,
2020-02-11,US,MI_Oakland_County,-37,0,0,,,,,,
2020-02-12,US,MI_Oakland_County,-36,0,0,,,,,,
2020-02-13,US,MI_Oakland_County,-35,0,0,,,,,,
2020-02-14,US,MI_Oakland_County,-34,0,0,,,,,,
2020-02-15,US,MI_Oakland_County,-33,0,0,,,,,,
2020-02-16,US,MI_Oakland_County,-32,0,0,,,,,,
2020-02-17,US,MI_Oakland_County,-31,0,0,,,,,,
2020-02-18,US,MI_Oakland_County,-30,0,0,,,,,,
2020-02-19,US,MI_Oakland_County,-29,0,0,,,,,,
2020-02-20,US,MI_Oakland_County,-28,0,0,,,,,,
2020-02-21,US,MI_Oakland_County,-27,0,0,,,,,,
2020-02-22,US,MI_Oakland_County,-26,0,0,,,,,,
2020-02-23,US,MI_Oakland_County,-25,0,0,,,,,,
2020-02-24,US,MI_Oakland_County,-24,0,0,,,,,,
2020-02-25,US,MI_Oakland_County,-23,0,0,,,,,,
2020-02-26,US,MI_Oakland_County,-22,0,0,,,,,,
2020-02-27,US,MI_Oakland_County,-21,0,0,,,,,,
2020-02-28,US,MI_Oakland_County,-20,0,0,,,,,,
2020-02-29,US,MI_Oakland_County,-19,0,0,,,,,,
2020-03-01,US,MI_Oakland_County,-18,0,0,,,,,,
2020-03-02,US,MI_Oakland_County,-17,0,0,,,,,,
2020-03-03,US,MI_Oakland_County,-16,0,0,,,,,,
2020-03-04,US,MI_Oakland_County,-15,0,0,,,,,,
2020-03-05,US,MI_Oakland_County,-14,0,0,,,,,,
2020-03-06,US,MI_Oakland_County,-13,0,0,,,,,,
2020-03-07,US,MI_Oakland_County,-12,0,0,,,,,,
2020-03-08,US,MI_Oakland_County,-11,0,0,,,,,,
2020-03-09,US,MI_Oakland_County,-10,0,0,,,,,,
2020-03-10,US,MI_Oakland_County,-9,1,0,,,,,,
2020-03-11,US,MI_Oakland_County,-8,1,0,,,,,,
2020-03-12,US,MI_Oakland_County,-7,3,0,,,,,,
2020-03-13,US,MI_Oakland_County,-6,6,0,,,,,,
2020-03-14,US,MI_Oakland_County,-5,9,0,,,,,,
2020-03-15,US,MI_Oakland_County,-4,14,0,,,,,,
2020-03-16,US,MI_Oakland_County,-3,14,0,,,,,,
2020-03-17,US,MI_Oakland_County,-2,16,0,,,,,,
2020-03-18,US,MI_Oakland_County,-1,23,0,,,,,,
2020-03-19,US,MI_Oakland_County,0,105,0,,,,,,
2020-03-20,US,MI_Oakland_County,1,184,0,,,,,,
2020-03-21,US,MI_Oakland_County,2,229,1,,,,,,
2020-03-22,US,MI_Oakland_County,3,277,1,,,,,,
2020-03-23,US,MI_Oakland_County,4,329,4,,,,,,
2020-03-24,US,MI_Oakland_County,5,428,4,,,,,,
2020-03-25,US,MI_Oakland_County,6,543,10,,,,,,
2020-03-26,US,MI_Oakland_County,7,668,15,,,,,,
2020-03-27,US,MI_Oakland_County,8,824,26,,,,,,
2020-03-28,US,MI_Oakland_County,9,1018,31,,,,,,
2020-03-29,US,MI_Oakland_County,10,1170,31,,,,,,
2020-03-30,US,MI_Oakland_County,11,1365,48,,,,,,
2020-03-31,US,MI_Oakland_County,12,1591,70,,,,,,
2020-04-01,US,MI_Oakland_County,13,1910,99,,,,,,
2020-04-02,US,MI_Oakland_County,14,2183,119,,,,,,
2020-04-03,US,MI_Oakland_County,15,2540,136,,,,,,
2020-04-04,US,MI_Oakland_County,16,2785,142,,,,,,
2020-04-05,US,MI_Oakland_County,17,3035,163,,,,,,
2020-04-06,US,MI_Oakland_County,18,3380,185,,,,,,
2020-04-07,US,MI_Oakland_County,19,3736,205,,,,,,
2020-04-08,US,MI_Oakland_County,20,4007,234,,,,,,
2020-04-09,US,MI_Oakland_County,21,4247,246,,,,,,
2020-04-10,US,MI_Oakland_County,22,4511,282,,,,,,
2020-04-11,US,MI_Oakland_County,23,4802,316,,,,,,
2020-04-12,US,MI_Oakland_County,24,4915,329,,,,,,
2020-04-13,US,MI_Oakland_County,25,5073,329,,,,,,
2020-04-14,US,MI_Oakland_County,26,5364,364,,,,,,
2020-04-15,US,MI_Oakland_County,27,5576,392,,,,,,
2020-04-16,US,MI_Oakland_County,28,5778,420,,,,,,
