date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,MI_Saginaw_County,-36,0,0,,,,,,
2020-01-25,US,MI_Saginaw_County,-35,0,0,,,,,,
2020-01-27,US,MI_Saginaw_County,-34,0,0,,,,,,
2020-01-29,US,MI_Saginaw_County,-33,0,0,,,,,,
2020-01-31,US,MI_Saginaw_County,-32,0,0,,,,,,
2020-02-02,US,MI_Saginaw_County,-31,0,0,,,,,,
2020-02-04,US,MI_Saginaw_County,-30,0,0,,,,,,
2020-02-06,US,MI_Saginaw_County,-29,0,0,,,,,,
2020-02-08,US,MI_Saginaw_County,-28,0,0,,,,,,
2020-02-10,US,MI_Saginaw_County,-27,0,0,,,,,,
2020-02-12,US,MI_Saginaw_County,-26,0,0,,,,,,
2020-02-14,US,MI_Saginaw_County,-25,0,0,,,,,,
2020-02-16,US,MI_Saginaw_County,-24,0,0,,,,,,
2020-02-18,US,MI_Saginaw_County,-23,0,0,,,,,,
2020-02-20,US,MI_Saginaw_County,-22,0,0,,,,,,
2020-02-22,US,MI_Saginaw_County,-21,0,0,,,,,,
2020-02-24,US,MI_Saginaw_County,-20,0,0,,,,,,
2020-02-26,US,MI_Saginaw_County,-19,0,0,,,,,,
2020-02-28,US,MI_Saginaw_County,-18,0,0,,,,,,
2020-03-01,US,MI_Saginaw_County,-17,0,0,,,,,,
2020-03-03,US,MI_Saginaw_County,-16,0,0,,,,,,
2020-03-05,US,MI_Saginaw_County,-15,0,0,,,,,,
2020-03-07,US,MI_Saginaw_County,-14,0,0,,,,,,
2020-03-09,US,MI_Saginaw_County,-13,0,0,,,,,,
2020-03-11,US,MI_Saginaw_County,-12,0,0,,,,,,
2020-03-13,US,MI_Saginaw_County,-11,0,0,,,,,,
2020-03-15,US,MI_Saginaw_County,-10,0,0,,,,,,
2020-03-17,US,MI_Saginaw_County,-9,0,0,,,,,,
2020-03-19,US,MI_Saginaw_County,-8,0,0,,,,,,
2020-03-21,US,MI_Saginaw_County,-7,1,0,,,,,,
2020-03-23,US,MI_Saginaw_County,-6,2,0,,,,,,
2020-03-25,US,MI_Saginaw_County,-5,9,0,,,,,,
2020-03-27,US,MI_Saginaw_County,-4,14,0,,,,,,
2020-03-29,US,MI_Saginaw_County,-3,24,0,,,,,,
2020-03-31,US,MI_Saginaw_County,-2,51,0,,,,,,
2020-04-02,US,MI_Saginaw_County,-1,82,0,,,,,,
2020-04-04,US,MI_Saginaw_County,0,103,0,,,,,,
2020-04-06,US,MI_Saginaw_County,1,139,2,,,,,,
2020-04-08,US,MI_Saginaw_County,2,186,6,,,,,,
2020-04-10,US,MI_Saginaw_County,3,240,9,,,,,,
2020-04-12,US,MI_Saginaw_County,4,274,9,,,,,,
2020-04-14,US,MI_Saginaw_County,5,302,17,,,,,,
2020-04-16,US,MI_Saginaw_County,6,349,20,,,,,,
2020-04-18,US,MI_Saginaw_County,7,394,24,,,,,,
2020-04-20,US,MI_Saginaw_County,8,419,29,,,,,,
2020-04-22,US,MI_Saginaw_County,9,474,35,,,,,,
2020-04-24,US,MI_Saginaw_County,10,534,40,,,,,,
2020-04-26,US,MI_Saginaw_County,11,558,43,,,,,,
2020-04-28,US,MI_Saginaw_County,12,609,52,,,,,,
2020-04-30,US,MI_Saginaw_County,13,663,59,,,,,,
2020-05-02,US,MI_Saginaw_County,14,700,66,,,,,,
2020-05-04,US,MI_Saginaw_County,15,728,68,,,,,,
2020-05-06,US,MI_Saginaw_County,16,760,74,,,,,,
2020-05-08,US,MI_Saginaw_County,17,779,79,,,,,,
2020-05-10,US,MI_Saginaw_County,18,789,83,,,,,,
2020-05-12,US,MI_Saginaw_County,19,829,87,,,,,,
2020-05-14,US,MI_Saginaw_County,20,866,93,,,,,,
2020-05-16,US,MI_Saginaw_County,21,903,97,,,,,,
2020-05-18,US,MI_Saginaw_County,22,930,99,,,,,,
2020-05-20,US,MI_Saginaw_County,23,957,100,,,,,,
2020-05-22,US,MI_Saginaw_County,24,973,104,,,,,,
2020-05-24,US,MI_Saginaw_County,25,989,106,,,,,,
2020-05-26,US,MI_Saginaw_County,26,1000,107,,,,,,
2020-05-28,US,MI_Saginaw_County,27,1013,108,,,,,,
2020-05-30,US,MI_Saginaw_County,28,1029,108,,,,,,
2020-06-01,US,MI_Saginaw_County,29,1048,108,,,,,,
2020-06-03,US,MI_Saginaw_County,30,1057,109,,,,,,
2020-06-05,US,MI_Saginaw_County,31,1108,113,,,,,,
2020-06-07,US,MI_Saginaw_County,32,1134,113,,,,,,
2020-06-09,US,MI_Saginaw_County,33,1137,115,,,,,,
2020-06-11,US,MI_Saginaw_County,34,1147,117,,,,,,
2020-06-13,US,MI_Saginaw_County,35,1151,117,,,,,,
2020-06-15,US,MI_Saginaw_County,36,1160,119,,,,,,
2020-06-17,US,MI_Saginaw_County,37,1171,120,,,,,,
2020-06-19,US,MI_Saginaw_County,38,1182,120,,,,,,
2020-06-21,US,MI_Saginaw_County,39,1193,120,,,,,,
2020-06-23,US,MI_Saginaw_County,40,1214,122,,,,,,
2020-06-25,US,MI_Saginaw_County,41,1247,123,,,,,,
2020-06-27,US,MI_Saginaw_County,42,1260,123,,,,,,
2020-06-29,US,MI_Saginaw_County,43,1275,123,,,,,,
2020-07-01,US,MI_Saginaw_County,44,1292,123,,,,,,
2020-07-03,US,MI_Saginaw_County,45,1313,123,,,,,,
2020-07-05,US,MI_Saginaw_County,46,1328,123,,,,,,
2020-07-07,US,MI_Saginaw_County,47,1342,124,,,,,,
2020-07-09,US,MI_Saginaw_County,48,1361,124,,,,,,
2020-07-11,US,MI_Saginaw_County,49,1392,124,,,,,,
2020-07-13,US,MI_Saginaw_County,50,1418,124,,,,,,
2020-07-15,US,MI_Saginaw_County,51,1457,124,,,,,,
2020-07-17,US,MI_Saginaw_County,52,1511,124,,,,,,
2020-07-19,US,MI_Saginaw_County,53,1563,124,,,,,,
2020-07-21,US,MI_Saginaw_County,54,1602,124,,,,,,
2020-07-23,US,MI_Saginaw_County,55,1655,124,,,,,,
2020-07-25,US,MI_Saginaw_County,56,1691,124,,,,,,
2020-07-27,US,MI_Saginaw_County,57,1755,124,,,,,,
2020-07-29,US,MI_Saginaw_County,58,1792,126,,,,,,
2020-07-31,US,MI_Saginaw_County,59,1822,128,,,,,,
2020-08-02,US,MI_Saginaw_County,60,1845,128,,,,,,
2020-08-04,US,MI_Saginaw_County,61,1883,128,,,,,,
2020-08-06,US,MI_Saginaw_County,62,1934,128,,,,,,
2020-08-08,US,MI_Saginaw_County,63,1986,128,,,,,,
2020-08-10,US,MI_Saginaw_County,64,2032,128,,,,,,
2020-08-12,US,MI_Saginaw_County,65,2071,128,,,,,,
2020-08-14,US,MI_Saginaw_County,66,2152,128,,,,,,
2020-08-16,US,MI_Saginaw_County,67,2178,128,,,,,,
2020-08-18,US,MI_Saginaw_County,68,2211,128,,,,,,
2020-08-20,US,MI_Saginaw_County,69,2264,129,,,,,,
2020-08-22,US,MI_Saginaw_County,70,2341,130,,,,,,
2020-08-24,US,MI_Saginaw_County,71,2387,130,,,,,,
