date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MN_Hennepin_County,-62,0,0,,,,,,
2020-01-23,US,MN_Hennepin_County,-61,0,0,,,,,,
2020-01-24,US,MN_Hennepin_County,-60,0,0,,,,,,
2020-01-25,US,MN_Hennepin_County,-59,0,0,,,,,,
2020-01-26,US,MN_Hennepin_County,-58,0,0,,,,,,
2020-01-27,US,MN_Hennepin_County,-57,0,0,,,,,,
2020-01-28,US,MN_Hennepin_County,-56,0,0,,,,,,
2020-01-29,US,MN_Hennepin_County,-55,0,0,,,,,,
2020-01-30,US,MN_Hennepin_County,-54,0,0,,,,,,
2020-01-31,US,MN_Hennepin_County,-53,0,0,,,,,,
2020-02-01,US,MN_Hennepin_County,-52,0,0,,,,,,
2020-02-02,US,MN_Hennepin_County,-51,0,0,,,,,,
2020-02-03,US,MN_Hennepin_County,-50,0,0,,,,,,
2020-02-04,US,MN_Hennepin_County,-49,0,0,,,,,,
2020-02-05,US,MN_Hennepin_County,-48,0,0,,,,,,
2020-02-06,US,MN_Hennepin_County,-47,0,0,,,,,,
2020-02-07,US,MN_Hennepin_County,-46,0,0,,,,,,
2020-02-08,US,MN_Hennepin_County,-45,0,0,,,,,,
2020-02-09,US,MN_Hennepin_County,-44,0,0,,,,,,
2020-02-10,US,MN_Hennepin_County,-43,0,0,,,,,,
2020-02-11,US,MN_Hennepin_County,-42,0,0,,,,,,
2020-02-12,US,MN_Hennepin_County,-41,0,0,,,,,,
2020-02-13,US,MN_Hennepin_County,-40,0,0,,,,,,
2020-02-14,US,MN_Hennepin_County,-39,0,0,,,,,,
2020-02-15,US,MN_Hennepin_County,-38,0,0,,,,,,
2020-02-16,US,MN_Hennepin_County,-37,0,0,,,,,,
2020-02-17,US,MN_Hennepin_County,-36,0,0,,,,,,
2020-02-18,US,MN_Hennepin_County,-35,0,0,,,,,,
2020-02-19,US,MN_Hennepin_County,-34,0,0,,,,,,
2020-02-20,US,MN_Hennepin_County,-33,0,0,,,,,,
2020-02-21,US,MN_Hennepin_County,-32,0,0,,,,,,
2020-02-22,US,MN_Hennepin_County,-31,0,0,,,,,,
2020-02-23,US,MN_Hennepin_County,-30,0,0,,,,,,
2020-02-24,US,MN_Hennepin_County,-29,0,0,,,,,,
2020-02-25,US,MN_Hennepin_County,-28,0,0,,,,,,
2020-02-26,US,MN_Hennepin_County,-27,0,0,,,,,,
2020-02-27,US,MN_Hennepin_County,-26,0,0,,,,,,
2020-02-28,US,MN_Hennepin_County,-25,0,0,,,,,,
2020-02-29,US,MN_Hennepin_County,-24,0,0,,,,,,
2020-03-01,US,MN_Hennepin_County,-23,0,0,,,,,,
2020-03-02,US,MN_Hennepin_County,-22,0,0,,,,,,
2020-03-03,US,MN_Hennepin_County,-21,0,0,,,,,,
2020-03-04,US,MN_Hennepin_County,-20,0,0,,,,,,
2020-03-05,US,MN_Hennepin_County,-19,0,0,,,,,,
2020-03-06,US,MN_Hennepin_County,-18,0,0,,,,,,
2020-03-07,US,MN_Hennepin_County,-17,0,0,,,,,,
2020-03-08,US,MN_Hennepin_County,-16,0,0,,,,,,
2020-03-09,US,MN_Hennepin_County,-15,0,0,,,,,,
2020-03-10,US,MN_Hennepin_County,-14,0,0,,,,,,
2020-03-11,US,MN_Hennepin_County,-13,0,0,,,,,,
2020-03-12,US,MN_Hennepin_County,-12,1,0,,,,,,
2020-03-13,US,MN_Hennepin_County,-11,3,0,,,,,,
2020-03-14,US,MN_Hennepin_County,-10,6,0,,,,,,
2020-03-15,US,MN_Hennepin_County,-9,6,0,,,,,,
2020-03-16,US,MN_Hennepin_County,-8,22,0,,,,,,
2020-03-17,US,MN_Hennepin_County,-7,24,0,,,,,,
2020-03-18,US,MN_Hennepin_County,-6,30,0,,,,,,
2020-03-19,US,MN_Hennepin_County,-5,33,0,,,,,,
2020-03-20,US,MN_Hennepin_County,-4,45,0,,,,,,
2020-03-21,US,MN_Hennepin_County,-3,52,0,,,,,,
2020-03-22,US,MN_Hennepin_County,-2,57,0,,,,,,
2020-03-23,US,MN_Hennepin_County,-1,89,0,,,,,,
2020-03-24,US,MN_Hennepin_County,0,103,0,,,,,,
2020-03-25,US,MN_Hennepin_County,1,111,0,,,,,,
2020-03-26,US,MN_Hennepin_County,2,128,0,,,,,,
2020-03-27,US,MN_Hennepin_County,3,141,0,,,,,,
2020-03-28,US,MN_Hennepin_County,4,152,2,,,,,,
2020-03-29,US,MN_Hennepin_County,5,171,5,,,,,,
2020-03-30,US,MN_Hennepin_County,6,190,5,,,,,,
2020-03-31,US,MN_Hennepin_County,7,204,5,,,,,,
2020-04-01,US,MN_Hennepin_County,8,218,7,,,,,,
2020-04-02,US,MN_Hennepin_County,9,235,7,,,,,,
2020-04-03,US,MN_Hennepin_County,10,242,12,,,,,,
