date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MN_Le_Sueur_County,-165,0,0,,,,,,
2020-01-23,US,MN_Le_Sueur_County,-164,0,0,,,,,,
2020-01-24,US,MN_Le_Sueur_County,-163,0,0,,,,,,
2020-01-25,US,MN_Le_Sueur_County,-162,0,0,,,,,,
2020-01-26,US,MN_Le_Sueur_County,-161,0,0,,,,,,
2020-01-27,US,MN_Le_Sueur_County,-160,0,0,,,,,,
2020-01-28,US,MN_Le_Sueur_County,-159,0,0,,,,,,
2020-01-29,US,MN_Le_Sueur_County,-158,0,0,,,,,,
2020-01-30,US,MN_Le_Sueur_County,-157,0,0,,,,,,
2020-01-31,US,MN_Le_Sueur_County,-156,0,0,,,,,,
2020-02-01,US,MN_Le_Sueur_County,-155,0,0,,,,,,
2020-02-02,US,MN_Le_Sueur_County,-154,0,0,,,,,,
2020-02-03,US,MN_Le_Sueur_County,-153,0,0,,,,,,
2020-02-04,US,MN_Le_Sueur_County,-152,0,0,,,,,,
2020-02-05,US,MN_Le_Sueur_County,-151,0,0,,,,,,
2020-02-06,US,MN_Le_Sueur_County,-150,0,0,,,,,,
2020-02-07,US,MN_Le_Sueur_County,-149,0,0,,,,,,
2020-02-08,US,MN_Le_Sueur_County,-148,0,0,,,,,,
2020-02-09,US,MN_Le_Sueur_County,-147,0,0,,,,,,
2020-02-10,US,MN_Le_Sueur_County,-146,0,0,,,,,,
2020-02-11,US,MN_Le_Sueur_County,-145,0,0,,,,,,
2020-02-12,US,MN_Le_Sueur_County,-144,0,0,,,,,,
2020-02-13,US,MN_Le_Sueur_County,-143,0,0,,,,,,
2020-02-14,US,MN_Le_Sueur_County,-142,0,0,,,,,,
2020-02-15,US,MN_Le_Sueur_County,-141,0,0,,,,,,
2020-02-16,US,MN_Le_Sueur_County,-140,0,0,,,,,,
2020-02-17,US,MN_Le_Sueur_County,-139,0,0,,,,,,
2020-02-18,US,MN_Le_Sueur_County,-138,0,0,,,,,,
2020-02-19,US,MN_Le_Sueur_County,-137,0,0,,,,,,
2020-02-20,US,MN_Le_Sueur_County,-136,0,0,,,,,,
2020-02-21,US,MN_Le_Sueur_County,-135,0,0,,,,,,
2020-02-22,US,MN_Le_Sueur_County,-134,0,0,,,,,,
2020-02-23,US,MN_Le_Sueur_County,-133,0,0,,,,,,
2020-02-24,US,MN_Le_Sueur_County,-132,0,0,,,,,,
2020-02-25,US,MN_Le_Sueur_County,-131,0,0,,,,,,
2020-02-26,US,MN_Le_Sueur_County,-130,0,0,,,,,,
2020-02-27,US,MN_Le_Sueur_County,-129,0,0,,,,,,
2020-02-28,US,MN_Le_Sueur_County,-128,0,0,,,,,,
2020-02-29,US,MN_Le_Sueur_County,-127,0,0,,,,,,
2020-03-01,US,MN_Le_Sueur_County,-126,0,0,,,,,,
2020-03-02,US,MN_Le_Sueur_County,-125,0,0,,,,,,
2020-03-03,US,MN_Le_Sueur_County,-124,0,0,,,,,,
2020-03-04,US,MN_Le_Sueur_County,-123,0,0,,,,,,
2020-03-05,US,MN_Le_Sueur_County,-122,0,0,,,,,,
2020-03-06,US,MN_Le_Sueur_County,-121,0,0,,,,,,
2020-03-07,US,MN_Le_Sueur_County,-120,0,0,,,,,,
2020-03-08,US,MN_Le_Sueur_County,-119,0,0,,,,,,
2020-03-09,US,MN_Le_Sueur_County,-118,0,0,,,,,,
2020-03-10,US,MN_Le_Sueur_County,-117,0,0,,,,,,
2020-03-11,US,MN_Le_Sueur_County,-116,0,0,,,,,,
2020-03-12,US,MN_Le_Sueur_County,-115,0,0,,,,,,
2020-03-13,US,MN_Le_Sueur_County,-114,0,0,,,,,,
2020-03-14,US,MN_Le_Sueur_County,-113,0,0,,,,,,
2020-03-15,US,MN_Le_Sueur_County,-112,0,0,,,,,,
2020-03-16,US,MN_Le_Sueur_County,-111,0,0,,,,,,
2020-03-17,US,MN_Le_Sueur_County,-110,0,0,,,,,,
2020-03-18,US,MN_Le_Sueur_County,-109,0,0,,,,,,
2020-03-19,US,MN_Le_Sueur_County,-108,0,0,,,,,,
2020-03-20,US,MN_Le_Sueur_County,-107,0,0,,,,,,
2020-03-21,US,MN_Le_Sueur_County,-106,0,0,,,,,,
2020-03-22,US,MN_Le_Sueur_County,-105,1,0,,,,,,
2020-03-23,US,MN_Le_Sueur_County,-104,1,0,,,,,,
2020-03-24,US,MN_Le_Sueur_County,-103,5,0,,,,,,
2020-03-25,US,MN_Le_Sueur_County,-102,6,0,,,,,,
2020-03-26,US,MN_Le_Sueur_County,-101,6,0,,,,,,
2020-03-27,US,MN_Le_Sueur_County,-100,10,0,,,,,,
2020-03-28,US,MN_Le_Sueur_County,-99,11,0,,,,,,
2020-03-29,US,MN_Le_Sueur_County,-98,11,0,,,,,,
2020-03-30,US,MN_Le_Sueur_County,-97,13,0,,,,,,
2020-03-31,US,MN_Le_Sueur_County,-96,15,0,,,,,,
2020-04-01,US,MN_Le_Sueur_County,-95,15,0,,,,,,
2020-04-02,US,MN_Le_Sueur_County,-94,18,0,,,,,,
2020-04-03,US,MN_Le_Sueur_County,-93,19,0,,,,,,
2020-04-04,US,MN_Le_Sueur_County,-92,20,0,,,,,,
2020-04-05,US,MN_Le_Sueur_County,-91,20,0,,,,,,
2020-04-06,US,MN_Le_Sueur_County,-90,20,0,,,,,,
2020-04-07,US,MN_Le_Sueur_County,-89,20,0,,,,,,
2020-04-08,US,MN_Le_Sueur_County,-88,20,0,,,,,,
2020-04-09,US,MN_Le_Sueur_County,-87,20,0,,,,,,
2020-04-10,US,MN_Le_Sueur_County,-86,20,0,,,,,,
2020-04-11,US,MN_Le_Sueur_County,-85,20,0,,,,,,
2020-04-12,US,MN_Le_Sueur_County,-84,21,0,,,,,,
2020-04-13,US,MN_Le_Sueur_County,-83,21,0,,,,,,
2020-04-14,US,MN_Le_Sueur_County,-82,21,0,,,,,,
2020-04-15,US,MN_Le_Sueur_County,-81,21,0,,,,,,
2020-04-16,US,MN_Le_Sueur_County,-80,22,0,,,,,,
2020-04-17,US,MN_Le_Sueur_County,-79,22,0,,,,,,
2020-04-18,US,MN_Le_Sueur_County,-78,22,0,,,,,,
2020-04-19,US,MN_Le_Sueur_County,-77,22,0,,,,,,
2020-04-20,US,MN_Le_Sueur_County,-76,22,0,,,,,,
2020-04-21,US,MN_Le_Sueur_County,-75,22,0,,,,,,
2020-04-22,US,MN_Le_Sueur_County,-74,22,0,,,,,,
2020-04-23,US,MN_Le_Sueur_County,-73,22,0,,,,,,
2020-04-24,US,MN_Le_Sueur_County,-72,22,0,,,,,,
2020-04-25,US,MN_Le_Sueur_County,-71,22,0,,,,,,
2020-04-26,US,MN_Le_Sueur_County,-70,22,0,,,,,,
2020-04-27,US,MN_Le_Sueur_County,-69,23,0,,,,,,
2020-04-28,US,MN_Le_Sueur_County,-68,24,0,,,,,,
2020-04-29,US,MN_Le_Sueur_County,-67,24,0,,,,,,
2020-04-30,US,MN_Le_Sueur_County,-66,24,0,,,,,,
2020-05-01,US,MN_Le_Sueur_County,-65,25,0,,,,,,
2020-05-02,US,MN_Le_Sueur_County,-64,25,0,,,,,,
2020-05-03,US,MN_Le_Sueur_County,-63,26,0,,,,,,
2020-05-04,US,MN_Le_Sueur_County,-62,26,0,,,,,,
2020-05-05,US,MN_Le_Sueur_County,-61,26,0,,,,,,
2020-05-06,US,MN_Le_Sueur_County,-60,26,0,,,,,,
2020-05-07,US,MN_Le_Sueur_County,-59,28,0,,,,,,
2020-05-08,US,MN_Le_Sueur_County,-58,28,0,,,,,,
2020-05-09,US,MN_Le_Sueur_County,-57,28,0,,,,,,
2020-05-10,US,MN_Le_Sueur_County,-56,29,0,,,,,,
2020-05-11,US,MN_Le_Sueur_County,-55,30,0,,,,,,
2020-05-12,US,MN_Le_Sueur_County,-54,31,1,,,,,,
2020-05-13,US,MN_Le_Sueur_County,-53,31,1,,,,,,
2020-05-14,US,MN_Le_Sueur_County,-52,31,1,,,,,,
2020-05-15,US,MN_Le_Sueur_County,-51,33,1,,,,,,
2020-05-16,US,MN_Le_Sueur_County,-50,34,1,,,,,,
2020-05-17,US,MN_Le_Sueur_County,-49,35,1,,,,,,
2020-05-18,US,MN_Le_Sueur_County,-48,35,1,,,,,,
2020-05-19,US,MN_Le_Sueur_County,-47,36,1,,,,,,
2020-05-20,US,MN_Le_Sueur_County,-46,36,1,,,,,,
2020-05-21,US,MN_Le_Sueur_County,-45,38,1,,,,,,
2020-05-22,US,MN_Le_Sueur_County,-44,39,1,,,,,,
2020-05-23,US,MN_Le_Sueur_County,-43,41,1,,,,,,
2020-05-24,US,MN_Le_Sueur_County,-42,41,1,,,,,,
2020-05-25,US,MN_Le_Sueur_County,-41,41,1,,,,,,
2020-05-26,US,MN_Le_Sueur_County,-40,41,1,,,,,,
2020-05-27,US,MN_Le_Sueur_County,-39,43,1,,,,,,
2020-05-28,US,MN_Le_Sueur_County,-38,44,1,,,,,,
2020-05-29,US,MN_Le_Sueur_County,-37,44,1,,,,,,
2020-05-30,US,MN_Le_Sueur_County,-36,44,1,,,,,,
2020-05-31,US,MN_Le_Sueur_County,-35,44,1,,,,,,
2020-06-01,US,MN_Le_Sueur_County,-34,44,1,,,,,,
2020-06-02,US,MN_Le_Sueur_County,-33,44,1,,,,,,
