date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MO_Atchison_County,-203,0,0,,,,,,
2020-01-23,US,MO_Atchison_County,-202,0,0,,,,,,
2020-01-24,US,MO_Atchison_County,-201,0,0,,,,,,
2020-01-25,US,MO_Atchison_County,-200,0,0,,,,,,
2020-01-26,US,MO_Atchison_County,-199,0,0,,,,,,
2020-01-27,US,MO_Atchison_County,-198,0,0,,,,,,
2020-01-28,US,MO_Atchison_County,-197,0,0,,,,,,
2020-01-29,US,MO_Atchison_County,-196,0,0,,,,,,
2020-01-30,US,MO_Atchison_County,-195,0,0,,,,,,
2020-01-31,US,MO_Atchison_County,-194,0,0,,,,,,
2020-02-01,US,MO_Atchison_County,-193,0,0,,,,,,
2020-02-02,US,MO_Atchison_County,-192,0,0,,,,,,
2020-02-03,US,MO_Atchison_County,-191,0,0,,,,,,
2020-02-04,US,MO_Atchison_County,-190,0,0,,,,,,
2020-02-05,US,MO_Atchison_County,-189,0,0,,,,,,
2020-02-06,US,MO_Atchison_County,-188,0,0,,,,,,
2020-02-07,US,MO_Atchison_County,-187,0,0,,,,,,
2020-02-08,US,MO_Atchison_County,-186,0,0,,,,,,
2020-02-09,US,MO_Atchison_County,-185,0,0,,,,,,
2020-02-10,US,MO_Atchison_County,-184,0,0,,,,,,
2020-02-11,US,MO_Atchison_County,-183,0,0,,,,,,
2020-02-12,US,MO_Atchison_County,-182,0,0,,,,,,
2020-02-13,US,MO_Atchison_County,-181,0,0,,,,,,
2020-02-14,US,MO_Atchison_County,-180,0,0,,,,,,
2020-02-15,US,MO_Atchison_County,-179,0,0,,,,,,
2020-02-16,US,MO_Atchison_County,-178,0,0,,,,,,
2020-02-17,US,MO_Atchison_County,-177,0,0,,,,,,
2020-02-18,US,MO_Atchison_County,-176,0,0,,,,,,
2020-02-19,US,MO_Atchison_County,-175,0,0,,,,,,
2020-02-20,US,MO_Atchison_County,-174,0,0,,,,,,
2020-02-21,US,MO_Atchison_County,-173,0,0,,,,,,
2020-02-22,US,MO_Atchison_County,-172,0,0,,,,,,
2020-02-23,US,MO_Atchison_County,-171,0,0,,,,,,
2020-02-24,US,MO_Atchison_County,-170,0,0,,,,,,
2020-02-25,US,MO_Atchison_County,-169,0,0,,,,,,
2020-02-26,US,MO_Atchison_County,-168,0,0,,,,,,
2020-02-27,US,MO_Atchison_County,-167,0,0,,,,,,
2020-02-28,US,MO_Atchison_County,-166,0,0,,,,,,
2020-02-29,US,MO_Atchison_County,-165,0,0,,,,,,
2020-03-01,US,MO_Atchison_County,-164,0,0,,,,,,
2020-03-02,US,MO_Atchison_County,-163,0,0,,,,,,
2020-03-03,US,MO_Atchison_County,-162,0,0,,,,,,
2020-03-04,US,MO_Atchison_County,-161,0,0,,,,,,
2020-03-05,US,MO_Atchison_County,-160,0,0,,,,,,
2020-03-06,US,MO_Atchison_County,-159,0,0,,,,,,
2020-03-07,US,MO_Atchison_County,-158,0,0,,,,,,
2020-03-08,US,MO_Atchison_County,-157,0,0,,,,,,
2020-03-09,US,MO_Atchison_County,-156,0,0,,,,,,
2020-03-10,US,MO_Atchison_County,-155,0,0,,,,,,
2020-03-11,US,MO_Atchison_County,-154,0,0,,,,,,
2020-03-12,US,MO_Atchison_County,-153,0,0,,,,,,
2020-03-13,US,MO_Atchison_County,-152,0,0,,,,,,
2020-03-14,US,MO_Atchison_County,-151,0,0,,,,,,
2020-03-15,US,MO_Atchison_County,-150,0,0,,,,,,
2020-03-16,US,MO_Atchison_County,-149,0,0,,,,,,
2020-03-17,US,MO_Atchison_County,-148,0,0,,,,,,
2020-03-18,US,MO_Atchison_County,-147,0,0,,,,,,
2020-03-19,US,MO_Atchison_County,-146,0,0,,,,,,
2020-03-20,US,MO_Atchison_County,-145,0,0,,,,,,
2020-03-21,US,MO_Atchison_County,-144,0,0,,,,,,
2020-03-22,US,MO_Atchison_County,-143,0,0,,,,,,
2020-03-23,US,MO_Atchison_County,-142,0,0,,,,,,
2020-03-24,US,MO_Atchison_County,-141,0,0,,,,,,
2020-03-25,US,MO_Atchison_County,-140,0,0,,,,,,
2020-03-26,US,MO_Atchison_County,-139,0,0,,,,,,
2020-03-27,US,MO_Atchison_County,-138,1,0,,,,,,
2020-03-28,US,MO_Atchison_County,-137,1,0,,,,,,
2020-03-29,US,MO_Atchison_County,-136,1,0,,,,,,
2020-03-30,US,MO_Atchison_County,-135,1,0,,,,,,
2020-03-31,US,MO_Atchison_County,-134,1,0,,,,,,
2020-04-01,US,MO_Atchison_County,-133,1,0,,,,,,
2020-04-02,US,MO_Atchison_County,-132,1,0,,,,,,
2020-04-03,US,MO_Atchison_County,-131,1,0,,,,,,
2020-04-04,US,MO_Atchison_County,-130,1,0,,,,,,
2020-04-05,US,MO_Atchison_County,-129,1,0,,,,,,
2020-04-06,US,MO_Atchison_County,-128,1,0,,,,,,
2020-04-07,US,MO_Atchison_County,-127,1,0,,,,,,
2020-04-08,US,MO_Atchison_County,-126,1,0,,,,,,
2020-04-09,US,MO_Atchison_County,-125,1,0,,,,,,
2020-04-10,US,MO_Atchison_County,-124,1,0,,,,,,
2020-04-11,US,MO_Atchison_County,-123,1,0,,,,,,
2020-04-12,US,MO_Atchison_County,-122,1,0,,,,,,
2020-04-13,US,MO_Atchison_County,-121,1,0,,,,,,
2020-04-14,US,MO_Atchison_County,-120,2,0,,,,,,
2020-04-15,US,MO_Atchison_County,-119,2,0,,,,,,
2020-04-16,US,MO_Atchison_County,-118,2,0,,,,,,
2020-04-17,US,MO_Atchison_County,-117,2,0,,,,,,
2020-04-18,US,MO_Atchison_County,-116,2,0,,,,,,
2020-04-19,US,MO_Atchison_County,-115,2,0,,,,,,
2020-04-20,US,MO_Atchison_County,-114,2,0,,,,,,
2020-04-21,US,MO_Atchison_County,-113,2,0,,,,,,
2020-04-22,US,MO_Atchison_County,-112,2,0,,,,,,
2020-04-23,US,MO_Atchison_County,-111,2,0,,,,,,
2020-04-24,US,MO_Atchison_County,-110,2,0,,,,,,
2020-04-25,US,MO_Atchison_County,-109,2,0,,,,,,
2020-04-26,US,MO_Atchison_County,-108,2,0,,,,,,
2020-04-27,US,MO_Atchison_County,-107,2,0,,,,,,
2020-04-28,US,MO_Atchison_County,-106,2,0,,,,,,
2020-04-29,US,MO_Atchison_County,-105,2,0,,,,,,
2020-04-30,US,MO_Atchison_County,-104,2,0,,,,,,
2020-05-01,US,MO_Atchison_County,-103,2,0,,,,,,
2020-05-02,US,MO_Atchison_County,-102,2,0,,,,,,
2020-05-03,US,MO_Atchison_County,-101,2,0,,,,,,
2020-05-04,US,MO_Atchison_County,-100,2,0,,,,,,
2020-05-05,US,MO_Atchison_County,-99,2,0,,,,,,
2020-05-06,US,MO_Atchison_County,-98,2,0,,,,,,
2020-05-07,US,MO_Atchison_County,-97,2,0,,,,,,
2020-05-08,US,MO_Atchison_County,-96,2,0,,,,,,
2020-05-09,US,MO_Atchison_County,-95,2,0,,,,,,
2020-05-10,US,MO_Atchison_County,-94,2,0,,,,,,
2020-05-11,US,MO_Atchison_County,-93,2,0,,,,,,
2020-05-12,US,MO_Atchison_County,-92,2,0,,,,,,
2020-05-13,US,MO_Atchison_County,-91,2,0,,,,,,
2020-05-14,US,MO_Atchison_County,-90,2,0,,,,,,
2020-05-15,US,MO_Atchison_County,-89,2,0,,,,,,
2020-05-16,US,MO_Atchison_County,-88,2,0,,,,,,
2020-05-17,US,MO_Atchison_County,-87,2,0,,,,,,
2020-05-18,US,MO_Atchison_County,-86,2,0,,,,,,
2020-05-19,US,MO_Atchison_County,-85,2,0,,,,,,
2020-05-20,US,MO_Atchison_County,-84,3,0,,,,,,
2020-05-21,US,MO_Atchison_County,-83,3,0,,,,,,
2020-05-22,US,MO_Atchison_County,-82,3,0,,,,,,
2020-05-23,US,MO_Atchison_County,-81,3,0,,,,,,
2020-05-24,US,MO_Atchison_County,-80,3,0,,,,,,
2020-05-25,US,MO_Atchison_County,-79,3,0,,,,,,
2020-05-26,US,MO_Atchison_County,-78,3,0,,,,,,
2020-05-27,US,MO_Atchison_County,-77,3,0,,,,,,
2020-05-28,US,MO_Atchison_County,-76,3,0,,,,,,
2020-05-29,US,MO_Atchison_County,-75,3,0,,,,,,
2020-05-30,US,MO_Atchison_County,-74,3,0,,,,,,
2020-05-31,US,MO_Atchison_County,-73,3,0,,,,,,
2020-06-01,US,MO_Atchison_County,-72,3,0,,,,,,
2020-06-02,US,MO_Atchison_County,-71,3,0,,,,,,
2020-06-03,US,MO_Atchison_County,-70,3,0,,,,,,
2020-06-04,US,MO_Atchison_County,-69,3,0,,,,,,
2020-06-05,US,MO_Atchison_County,-68,3,0,,,,,,
2020-06-06,US,MO_Atchison_County,-67,3,0,,,,,,
2020-06-07,US,MO_Atchison_County,-66,3,0,,,,,,
2020-06-08,US,MO_Atchison_County,-65,3,0,,,,,,
2020-06-09,US,MO_Atchison_County,-64,3,0,,,,,,
2020-06-10,US,MO_Atchison_County,-63,3,0,,,,,,
2020-06-11,US,MO_Atchison_County,-62,3,0,,,,,,
2020-06-12,US,MO_Atchison_County,-61,3,0,,,,,,
2020-06-13,US,MO_Atchison_County,-60,3,0,,,,,,
2020-06-14,US,MO_Atchison_County,-59,3,0,,,,,,
2020-06-15,US,MO_Atchison_County,-58,3,0,,,,,,
2020-06-16,US,MO_Atchison_County,-57,3,0,,,,,,
2020-06-17,US,MO_Atchison_County,-56,3,0,,,,,,
2020-06-18,US,MO_Atchison_County,-55,3,0,,,,,,
2020-06-19,US,MO_Atchison_County,-54,3,0,,,,,,
2020-06-20,US,MO_Atchison_County,-53,3,0,,,,,,
2020-06-21,US,MO_Atchison_County,-52,3,0,,,,,,
2020-06-22,US,MO_Atchison_County,-51,3,0,,,,,,
2020-06-23,US,MO_Atchison_County,-50,3,0,,,,,,
2020-06-24,US,MO_Atchison_County,-49,3,0,,,,,,
2020-06-25,US,MO_Atchison_County,-48,3,0,,,,,,
2020-06-26,US,MO_Atchison_County,-47,3,0,,,,,,
2020-06-27,US,MO_Atchison_County,-46,3,0,,,,,,
2020-06-28,US,MO_Atchison_County,-45,3,0,,,,,,
2020-06-29,US,MO_Atchison_County,-44,3,0,,,,,,
2020-06-30,US,MO_Atchison_County,-43,3,0,,,,,,
2020-07-01,US,MO_Atchison_County,-42,3,0,,,,,,
2020-07-02,US,MO_Atchison_County,-41,4,0,,,,,,
2020-07-03,US,MO_Atchison_County,-40,4,0,,,,,,
2020-07-04,US,MO_Atchison_County,-39,4,0,,,,,,
2020-07-05,US,MO_Atchison_County,-38,5,0,,,,,,
2020-07-06,US,MO_Atchison_County,-37,5,0,,,,,,
2020-07-07,US,MO_Atchison_County,-36,6,0,,,,,,
2020-07-08,US,MO_Atchison_County,-35,6,0,,,,,,
2020-07-09,US,MO_Atchison_County,-34,6,0,,,,,,
2020-07-10,US,MO_Atchison_County,-33,6,0,,,,,,
2020-07-11,US,MO_Atchison_County,-32,6,0,,,,,,
2020-07-12,US,MO_Atchison_County,-31,6,0,,,,,,
2020-07-13,US,MO_Atchison_County,-30,6,0,,,,,,
2020-07-14,US,MO_Atchison_County,-29,6,0,,,,,,
2020-07-15,US,MO_Atchison_County,-28,6,0,,,,,,
2020-07-16,US,MO_Atchison_County,-27,6,0,,,,,,
2020-07-17,US,MO_Atchison_County,-26,6,0,,,,,,
2020-07-18,US,MO_Atchison_County,-25,6,0,,,,,,
2020-07-19,US,MO_Atchison_County,-24,6,0,,,,,,
2020-07-20,US,MO_Atchison_County,-23,6,0,,,,,,
2020-07-21,US,MO_Atchison_County,-22,6,0,,,,,,
2020-07-22,US,MO_Atchison_County,-21,7,0,,,,,,
2020-07-23,US,MO_Atchison_County,-20,9,0,,,,,,
2020-07-24,US,MO_Atchison_County,-19,11,0,,,,,,
2020-07-25,US,MO_Atchison_County,-18,11,0,,,,,,
2020-07-26,US,MO_Atchison_County,-17,11,0,,,,,,
2020-07-27,US,MO_Atchison_County,-16,11,0,,,,,,
2020-07-28,US,MO_Atchison_County,-15,11,0,,,,,,
2020-07-29,US,MO_Atchison_County,-14,11,0,,,,,,
2020-07-30,US,MO_Atchison_County,-13,11,0,,,,,,
2020-07-31,US,MO_Atchison_County,-12,11,0,,,,,,
2020-08-01,US,MO_Atchison_County,-11,11,0,,,,,,
2020-08-02,US,MO_Atchison_County,-10,12,0,,,,,,
2020-08-03,US,MO_Atchison_County,-9,12,0,,,,,,
2020-08-04,US,MO_Atchison_County,-8,12,0,,,,,,
2020-08-05,US,MO_Atchison_County,-7,14,0,,,,,,
2020-08-06,US,MO_Atchison_County,-6,14,0,,,,,,
2020-08-07,US,MO_Atchison_County,-5,14,0,,,,,,
2020-08-08,US,MO_Atchison_County,-4,14,0,,,,,,
2020-08-09,US,MO_Atchison_County,-3,18,0,,,,,,
2020-08-10,US,MO_Atchison_County,-2,18,0,,,,,,
2020-08-11,US,MO_Atchison_County,-1,19,0,,,,,,
