date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MO_Boone_County,-109,0,0,,,,,,
2020-01-23,US,MO_Boone_County,-108,0,0,,,,,,
2020-01-24,US,MO_Boone_County,-107,0,0,,,,,,
2020-01-25,US,MO_Boone_County,-106,0,0,,,,,,
2020-01-26,US,MO_Boone_County,-105,0,0,,,,,,
2020-01-27,US,MO_Boone_County,-104,0,0,,,,,,
2020-01-28,US,MO_Boone_County,-103,0,0,,,,,,
2020-01-29,US,MO_Boone_County,-102,0,0,,,,,,
2020-01-30,US,MO_Boone_County,-101,0,0,,,,,,
2020-01-31,US,MO_Boone_County,-100,0,0,,,,,,
2020-02-01,US,MO_Boone_County,-99,0,0,,,,,,
2020-02-02,US,MO_Boone_County,-98,0,0,,,,,,
2020-02-03,US,MO_Boone_County,-97,0,0,,,,,,
2020-02-04,US,MO_Boone_County,-96,0,0,,,,,,
2020-02-05,US,MO_Boone_County,-95,0,0,,,,,,
2020-02-06,US,MO_Boone_County,-94,0,0,,,,,,
2020-02-07,US,MO_Boone_County,-93,0,0,,,,,,
2020-02-08,US,MO_Boone_County,-92,0,0,,,,,,
2020-02-09,US,MO_Boone_County,-91,0,0,,,,,,
2020-02-10,US,MO_Boone_County,-90,0,0,,,,,,
2020-02-11,US,MO_Boone_County,-89,0,0,,,,,,
2020-02-12,US,MO_Boone_County,-88,0,0,,,,,,
2020-02-13,US,MO_Boone_County,-87,0,0,,,,,,
2020-02-14,US,MO_Boone_County,-86,0,0,,,,,,
2020-02-15,US,MO_Boone_County,-85,0,0,,,,,,
2020-02-16,US,MO_Boone_County,-84,0,0,,,,,,
2020-02-17,US,MO_Boone_County,-83,0,0,,,,,,
2020-02-18,US,MO_Boone_County,-82,0,0,,,,,,
2020-02-19,US,MO_Boone_County,-81,0,0,,,,,,
2020-02-20,US,MO_Boone_County,-80,0,0,,,,,,
2020-02-21,US,MO_Boone_County,-79,0,0,,,,,,
2020-02-22,US,MO_Boone_County,-78,0,0,,,,,,
2020-02-23,US,MO_Boone_County,-77,0,0,,,,,,
2020-02-24,US,MO_Boone_County,-76,0,0,,,,,,
2020-02-25,US,MO_Boone_County,-75,0,0,,,,,,
2020-02-26,US,MO_Boone_County,-74,0,0,,,,,,
2020-02-27,US,MO_Boone_County,-73,0,0,,,,,,
2020-02-28,US,MO_Boone_County,-72,0,0,,,,,,
2020-02-29,US,MO_Boone_County,-71,0,0,,,,,,
2020-03-01,US,MO_Boone_County,-70,0,0,,,,,,
2020-03-02,US,MO_Boone_County,-69,0,0,,,,,,
2020-03-03,US,MO_Boone_County,-68,0,0,,,,,,
2020-03-04,US,MO_Boone_County,-67,0,0,,,,,,
2020-03-05,US,MO_Boone_County,-66,0,0,,,,,,
2020-03-06,US,MO_Boone_County,-65,0,0,,,,,,
2020-03-07,US,MO_Boone_County,-64,0,0,,,,,,
2020-03-08,US,MO_Boone_County,-63,0,0,,,,,,
2020-03-09,US,MO_Boone_County,-62,0,0,,,,,,
2020-03-10,US,MO_Boone_County,-61,0,0,,,,,,
2020-03-11,US,MO_Boone_County,-60,0,0,,,,,,
2020-03-12,US,MO_Boone_County,-59,0,0,,,,,,
2020-03-13,US,MO_Boone_County,-58,0,0,,,,,,
2020-03-14,US,MO_Boone_County,-57,0,0,,,,,,
2020-03-15,US,MO_Boone_County,-56,0,0,,,,,,
2020-03-16,US,MO_Boone_County,-55,0,0,,,,,,
2020-03-17,US,MO_Boone_County,-54,0,0,,,,,,
2020-03-18,US,MO_Boone_County,-53,1,1,,,,,,
2020-03-19,US,MO_Boone_County,-52,1,1,,,,,,
2020-03-20,US,MO_Boone_County,-51,8,1,,,,,,
2020-03-21,US,MO_Boone_County,-50,10,1,,,,,,
2020-03-22,US,MO_Boone_County,-49,10,1,,,,,,
2020-03-23,US,MO_Boone_County,-48,17,1,,,,,,
2020-03-24,US,MO_Boone_County,-47,20,1,,,,,,
2020-03-25,US,MO_Boone_County,-46,20,1,,,,,,
2020-03-26,US,MO_Boone_County,-45,25,1,,,,,,
2020-03-27,US,MO_Boone_County,-44,37,1,,,,,,
2020-03-28,US,MO_Boone_County,-43,49,1,,,,,,
2020-03-29,US,MO_Boone_County,-42,50,1,,,,,,
2020-03-30,US,MO_Boone_County,-41,59,1,,,,,,
2020-03-31,US,MO_Boone_County,-40,64,1,,,,,,
2020-04-01,US,MO_Boone_County,-39,65,1,,,,,,
2020-04-02,US,MO_Boone_County,-38,69,1,,,,,,
2020-04-03,US,MO_Boone_County,-37,74,1,,,,,,
2020-04-04,US,MO_Boone_County,-36,75,1,,,,,,
2020-04-05,US,MO_Boone_County,-35,76,1,,,,,,
2020-04-06,US,MO_Boone_County,-34,76,1,,,,,,
2020-04-07,US,MO_Boone_County,-33,77,1,,,,,,
2020-04-08,US,MO_Boone_County,-32,77,1,,,,,,
2020-04-09,US,MO_Boone_County,-31,77,1,,,,,,
2020-04-10,US,MO_Boone_County,-30,77,1,,,,,,
2020-04-11,US,MO_Boone_County,-29,79,1,,,,,,
2020-04-12,US,MO_Boone_County,-28,80,1,,,,,,
2020-04-13,US,MO_Boone_County,-27,82,1,,,,,,
2020-04-14,US,MO_Boone_County,-26,87,1,,,,,,
2020-04-15,US,MO_Boone_County,-25,90,1,,,,,,
2020-04-16,US,MO_Boone_County,-24,92,1,,,,,,
2020-04-17,US,MO_Boone_County,-23,93,1,,,,,,
2020-04-18,US,MO_Boone_County,-22,93,1,,,,,,
2020-04-19,US,MO_Boone_County,-21,93,1,,,,,,
2020-04-20,US,MO_Boone_County,-20,94,1,,,,,,
2020-04-21,US,MO_Boone_County,-19,96,1,,,,,,
2020-04-22,US,MO_Boone_County,-18,97,1,,,,,,
2020-04-23,US,MO_Boone_County,-17,97,1,,,,,,
2020-04-24,US,MO_Boone_County,-16,97,1,,,,,,
2020-04-25,US,MO_Boone_County,-15,97,1,,,,,,
2020-04-26,US,MO_Boone_County,-14,97,1,,,,,,
2020-04-27,US,MO_Boone_County,-13,97,1,,,,,,
2020-04-28,US,MO_Boone_County,-12,97,1,,,,,,
2020-04-29,US,MO_Boone_County,-11,97,1,,,,,,
2020-04-30,US,MO_Boone_County,-10,97,1,,,,,,
2020-05-01,US,MO_Boone_County,-9,97,1,,,,,,
2020-05-02,US,MO_Boone_County,-8,97,1,,,,,,
2020-05-03,US,MO_Boone_County,-7,97,1,,,,,,
2020-05-04,US,MO_Boone_County,-6,97,1,,,,,,
2020-05-05,US,MO_Boone_County,-5,97,1,,,,,,
2020-05-06,US,MO_Boone_County,-4,97,1,,,,,,
2020-05-07,US,MO_Boone_County,-3,97,1,,,,,,
2020-05-08,US,MO_Boone_County,-2,98,1,,,,,,
2020-05-09,US,MO_Boone_County,-1,98,1,,,,,,
