date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MS_Washington_County,-114,0,0,,,,,,
2020-01-23,US,MS_Washington_County,-113,0,0,,,,,,
2020-01-24,US,MS_Washington_County,-112,0,0,,,,,,
2020-01-25,US,MS_Washington_County,-111,0,0,,,,,,
2020-01-26,US,MS_Washington_County,-110,0,0,,,,,,
2020-01-27,US,MS_Washington_County,-109,0,0,,,,,,
2020-01-28,US,MS_Washington_County,-108,0,0,,,,,,
2020-01-29,US,MS_Washington_County,-107,0,0,,,,,,
2020-01-30,US,MS_Washington_County,-106,0,0,,,,,,
2020-01-31,US,MS_Washington_County,-105,0,0,,,,,,
2020-02-01,US,MS_Washington_County,-104,0,0,,,,,,
2020-02-02,US,MS_Washington_County,-103,0,0,,,,,,
2020-02-03,US,MS_Washington_County,-102,0,0,,,,,,
2020-02-04,US,MS_Washington_County,-101,0,0,,,,,,
2020-02-05,US,MS_Washington_County,-100,0,0,,,,,,
2020-02-06,US,MS_Washington_County,-99,0,0,,,,,,
2020-02-07,US,MS_Washington_County,-98,0,0,,,,,,
2020-02-08,US,MS_Washington_County,-97,0,0,,,,,,
2020-02-09,US,MS_Washington_County,-96,0,0,,,,,,
2020-02-10,US,MS_Washington_County,-95,0,0,,,,,,
2020-02-11,US,MS_Washington_County,-94,0,0,,,,,,
2020-02-12,US,MS_Washington_County,-93,0,0,,,,,,
2020-02-13,US,MS_Washington_County,-92,0,0,,,,,,
2020-02-14,US,MS_Washington_County,-91,0,0,,,,,,
2020-02-15,US,MS_Washington_County,-90,0,0,,,,,,
2020-02-16,US,MS_Washington_County,-89,0,0,,,,,,
2020-02-17,US,MS_Washington_County,-88,0,0,,,,,,
2020-02-18,US,MS_Washington_County,-87,0,0,,,,,,
2020-02-19,US,MS_Washington_County,-86,0,0,,,,,,
2020-02-20,US,MS_Washington_County,-85,0,0,,,,,,
2020-02-21,US,MS_Washington_County,-84,0,0,,,,,,
2020-02-22,US,MS_Washington_County,-83,0,0,,,,,,
2020-02-23,US,MS_Washington_County,-82,0,0,,,,,,
2020-02-24,US,MS_Washington_County,-81,0,0,,,,,,
2020-02-25,US,MS_Washington_County,-80,0,0,,,,,,
2020-02-26,US,MS_Washington_County,-79,0,0,,,,,,
2020-02-27,US,MS_Washington_County,-78,0,0,,,,,,
2020-02-28,US,MS_Washington_County,-77,0,0,,,,,,
2020-02-29,US,MS_Washington_County,-76,0,0,,,,,,
2020-03-01,US,MS_Washington_County,-75,0,0,,,,,,
2020-03-02,US,MS_Washington_County,-74,0,0,,,,,,
2020-03-03,US,MS_Washington_County,-73,0,0,,,,,,
2020-03-04,US,MS_Washington_County,-72,0,0,,,,,,
2020-03-05,US,MS_Washington_County,-71,0,0,,,,,,
2020-03-06,US,MS_Washington_County,-70,0,0,,,,,,
2020-03-07,US,MS_Washington_County,-69,0,0,,,,,,
2020-03-08,US,MS_Washington_County,-68,0,0,,,,,,
2020-03-09,US,MS_Washington_County,-67,0,0,,,,,,
2020-03-10,US,MS_Washington_County,-66,0,0,,,,,,
2020-03-11,US,MS_Washington_County,-65,0,0,,,,,,
2020-03-12,US,MS_Washington_County,-64,0,0,,,,,,
2020-03-13,US,MS_Washington_County,-63,0,0,,,,,,
2020-03-14,US,MS_Washington_County,-62,0,0,,,,,,
2020-03-15,US,MS_Washington_County,-61,0,0,,,,,,
2020-03-16,US,MS_Washington_County,-60,0,0,,,,,,
2020-03-17,US,MS_Washington_County,-59,0,0,,,,,,
2020-03-18,US,MS_Washington_County,-58,0,0,,,,,,
2020-03-19,US,MS_Washington_County,-57,0,0,,,,,,
2020-03-20,US,MS_Washington_County,-56,0,0,,,,,,
2020-03-21,US,MS_Washington_County,-55,1,0,,,,,,
2020-03-22,US,MS_Washington_County,-54,3,0,,,,,,
2020-03-23,US,MS_Washington_County,-53,4,0,,,,,,
2020-03-24,US,MS_Washington_County,-52,5,0,,,,,,
2020-03-25,US,MS_Washington_County,-51,5,0,,,,,,
2020-03-26,US,MS_Washington_County,-50,9,0,,,,,,
2020-03-27,US,MS_Washington_County,-49,9,0,,,,,,
2020-03-28,US,MS_Washington_County,-48,9,0,,,,,,
2020-03-29,US,MS_Washington_County,-47,16,0,,,,,,
2020-03-30,US,MS_Washington_County,-46,18,0,,,,,,
2020-03-31,US,MS_Washington_County,-45,20,0,,,,,,
2020-04-01,US,MS_Washington_County,-44,22,0,,,,,,
2020-04-02,US,MS_Washington_County,-43,29,0,,,,,,
2020-04-03,US,MS_Washington_County,-42,31,0,,,,,,
2020-04-04,US,MS_Washington_County,-41,31,0,,,,,,
2020-04-05,US,MS_Washington_County,-40,36,0,,,,,,
2020-04-06,US,MS_Washington_County,-39,38,0,,,,,,
2020-04-07,US,MS_Washington_County,-38,40,1,,,,,,
2020-04-08,US,MS_Washington_County,-37,41,2,,,,,,
2020-04-09,US,MS_Washington_County,-36,46,2,,,,,,
2020-04-10,US,MS_Washington_County,-35,48,2,,,,,,
2020-04-11,US,MS_Washington_County,-34,49,2,,,,,,
2020-04-12,US,MS_Washington_County,-33,53,2,,,,,,
2020-04-13,US,MS_Washington_County,-32,57,2,,,,,,
2020-04-14,US,MS_Washington_County,-31,57,2,,,,,,
2020-04-15,US,MS_Washington_County,-30,62,2,,,,,,
2020-04-16,US,MS_Washington_County,-29,67,2,,,,,,
2020-04-17,US,MS_Washington_County,-28,68,2,,,,,,
2020-04-18,US,MS_Washington_County,-27,70,3,,,,,,
2020-04-19,US,MS_Washington_County,-26,71,3,,,,,,
2020-04-20,US,MS_Washington_County,-25,71,3,,,,,,
2020-04-21,US,MS_Washington_County,-24,71,3,,,,,,
2020-04-22,US,MS_Washington_County,-23,71,3,,,,,,
2020-04-23,US,MS_Washington_County,-22,71,3,,,,,,
2020-04-24,US,MS_Washington_County,-21,74,3,,,,,,
2020-04-25,US,MS_Washington_County,-20,77,3,,,,,,
2020-04-26,US,MS_Washington_County,-19,77,3,,,,,,
