date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-05-05,US,NA_Luquillo_Municipio,-94,6,0,,,,,,
2020-05-06,US,NA_Luquillo_Municipio,-93,6,0,,,,,,
2020-05-07,US,NA_Luquillo_Municipio,-92,6,0,,,,,,
2020-05-08,US,NA_Luquillo_Municipio,-91,7,0,,,,,,
2020-05-09,US,NA_Luquillo_Municipio,-90,7,0,,,,,,
2020-05-10,US,NA_Luquillo_Municipio,-89,7,0,,,,,,
2020-05-11,US,NA_Luquillo_Municipio,-88,8,0,,,,,,
2020-05-12,US,NA_Luquillo_Municipio,-87,8,0,,,,,,
2020-05-13,US,NA_Luquillo_Municipio,-86,8,0,,,,,,
2020-05-14,US,NA_Luquillo_Municipio,-85,9,0,,,,,,
2020-05-15,US,NA_Luquillo_Municipio,-84,11,0,,,,,,
2020-05-16,US,NA_Luquillo_Municipio,-83,11,0,,,,,,
2020-05-17,US,NA_Luquillo_Municipio,-82,11,0,,,,,,
2020-05-18,US,NA_Luquillo_Municipio,-81,11,0,,,,,,
2020-05-19,US,NA_Luquillo_Municipio,-80,12,0,,,,,,
2020-05-20,US,NA_Luquillo_Municipio,-79,13,0,,,,,,
2020-05-21,US,NA_Luquillo_Municipio,-78,14,0,,,,,,
2020-05-22,US,NA_Luquillo_Municipio,-77,15,0,,,,,,
2020-05-23,US,NA_Luquillo_Municipio,-76,16,0,,,,,,
2020-05-24,US,NA_Luquillo_Municipio,-75,16,0,,,,,,
2020-05-25,US,NA_Luquillo_Municipio,-74,18,0,,,,,,
2020-05-26,US,NA_Luquillo_Municipio,-73,19,0,,,,,,
2020-05-27,US,NA_Luquillo_Municipio,-72,19,0,,,,,,
2020-05-28,US,NA_Luquillo_Municipio,-71,19,0,,,,,,
2020-05-29,US,NA_Luquillo_Municipio,-70,20,0,,,,,,
2020-05-30,US,NA_Luquillo_Municipio,-69,20,0,,,,,,
2020-05-31,US,NA_Luquillo_Municipio,-68,20,0,,,,,,
2020-06-01,US,NA_Luquillo_Municipio,-67,20,0,,,,,,
2020-06-02,US,NA_Luquillo_Municipio,-66,20,0,,,,,,
2020-06-03,US,NA_Luquillo_Municipio,-65,20,0,,,,,,
2020-06-04,US,NA_Luquillo_Municipio,-64,21,0,,,,,,
2020-06-05,US,NA_Luquillo_Municipio,-63,21,0,,,,,,
2020-06-06,US,NA_Luquillo_Municipio,-62,25,0,,,,,,
2020-06-07,US,NA_Luquillo_Municipio,-61,26,0,,,,,,
2020-06-08,US,NA_Luquillo_Municipio,-60,26,0,,,,,,
2020-06-09,US,NA_Luquillo_Municipio,-59,26,0,,,,,,
2020-06-10,US,NA_Luquillo_Municipio,-58,26,0,,,,,,
2020-06-11,US,NA_Luquillo_Municipio,-57,26,0,,,,,,
2020-06-12,US,NA_Luquillo_Municipio,-56,30,0,,,,,,
2020-06-13,US,NA_Luquillo_Municipio,-55,30,0,,,,,,
2020-06-14,US,NA_Luquillo_Municipio,-54,30,0,,,,,,
2020-06-15,US,NA_Luquillo_Municipio,-53,30,0,,,,,,
2020-06-16,US,NA_Luquillo_Municipio,-52,30,0,,,,,,
2020-06-17,US,NA_Luquillo_Municipio,-51,30,0,,,,,,
2020-06-18,US,NA_Luquillo_Municipio,-50,30,0,,,,,,
2020-06-19,US,NA_Luquillo_Municipio,-49,33,0,,,,,,
