date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-05-05,US,NA_Salinas_Municipio,-50,22,0,,,,,,
2020-05-06,US,NA_Salinas_Municipio,-49,22,0,,,,,,
2020-05-07,US,NA_Salinas_Municipio,-48,22,0,,,,,,
2020-05-08,US,NA_Salinas_Municipio,-47,26,0,,,,,,
2020-05-09,US,NA_Salinas_Municipio,-46,27,0,,,,,,
2020-05-10,US,NA_Salinas_Municipio,-45,30,0,,,,,,
2020-05-11,US,NA_Salinas_Municipio,-44,33,0,,,,,,
2020-05-12,US,NA_Salinas_Municipio,-43,33,0,,,,,,
2020-05-13,US,NA_Salinas_Municipio,-42,37,0,,,,,,
2020-05-14,US,NA_Salinas_Municipio,-41,39,0,,,,,,
2020-05-15,US,NA_Salinas_Municipio,-40,42,0,,,,,,
2020-05-16,US,NA_Salinas_Municipio,-39,44,0,,,,,,
2020-05-17,US,NA_Salinas_Municipio,-38,46,0,,,,,,
2020-05-18,US,NA_Salinas_Municipio,-37,51,0,,,,,,
2020-05-19,US,NA_Salinas_Municipio,-36,54,0,,,,,,
2020-05-20,US,NA_Salinas_Municipio,-35,54,0,,,,,,
2020-05-21,US,NA_Salinas_Municipio,-34,56,0,,,,,,
2020-05-22,US,NA_Salinas_Municipio,-33,59,0,,,,,,
2020-05-23,US,NA_Salinas_Municipio,-32,60,0,,,,,,
2020-05-24,US,NA_Salinas_Municipio,-31,60,0,,,,,,
2020-05-25,US,NA_Salinas_Municipio,-30,62,0,,,,,,
2020-05-26,US,NA_Salinas_Municipio,-29,62,0,,,,,,
2020-05-27,US,NA_Salinas_Municipio,-28,64,0,,,,,,
2020-05-28,US,NA_Salinas_Municipio,-27,64,0,,,,,,
2020-05-29,US,NA_Salinas_Municipio,-26,68,0,,,,,,
2020-05-30,US,NA_Salinas_Municipio,-25,69,0,,,,,,
2020-05-31,US,NA_Salinas_Municipio,-24,69,0,,,,,,
2020-06-01,US,NA_Salinas_Municipio,-23,69,0,,,,,,
2020-06-02,US,NA_Salinas_Municipio,-22,70,0,,,,,,
2020-06-03,US,NA_Salinas_Municipio,-21,74,0,,,,,,
2020-06-04,US,NA_Salinas_Municipio,-20,78,0,,,,,,
2020-06-05,US,NA_Salinas_Municipio,-19,79,0,,,,,,
2020-06-06,US,NA_Salinas_Municipio,-18,81,0,,,,,,
2020-06-07,US,NA_Salinas_Municipio,-17,83,0,,,,,,
2020-06-08,US,NA_Salinas_Municipio,-16,86,0,,,,,,
2020-06-09,US,NA_Salinas_Municipio,-15,86,0,,,,,,
2020-06-10,US,NA_Salinas_Municipio,-14,86,0,,,,,,
2020-06-11,US,NA_Salinas_Municipio,-13,86,0,,,,,,
2020-06-12,US,NA_Salinas_Municipio,-12,87,0,,,,,,
2020-06-13,US,NA_Salinas_Municipio,-11,88,0,,,,,,
2020-06-14,US,NA_Salinas_Municipio,-10,92,0,,,,,,
2020-06-15,US,NA_Salinas_Municipio,-9,93,0,,,,,,
2020-06-16,US,NA_Salinas_Municipio,-8,94,0,,,,,,
2020-06-17,US,NA_Salinas_Municipio,-7,94,0,,,,,,
2020-06-18,US,NA_Salinas_Municipio,-6,94,0,,,,,,
2020-06-19,US,NA_Salinas_Municipio,-5,94,0,,,,,,
2020-06-20,US,NA_Salinas_Municipio,-4,95,0,,,,,,
2020-06-21,US,NA_Salinas_Municipio,-3,95,0,,,,,,
2020-06-22,US,NA_Salinas_Municipio,-2,96,0,,,,,,
2020-06-23,US,NA_Salinas_Municipio,-1,98,0,,,,,,
2020-06-24,US,NA_Salinas_Municipio,0,101,0,,,,,,
2020-06-25,US,NA_Salinas_Municipio,1,102,0,,,,,,
2020-06-26,US,NA_Salinas_Municipio,2,102,0,,,,,,
2020-06-27,US,NA_Salinas_Municipio,3,102,0,,,,,,
2020-06-28,US,NA_Salinas_Municipio,4,102,0,,,,,,
2020-06-29,US,NA_Salinas_Municipio,5,102,0,,,,,,
2020-06-30,US,NA_Salinas_Municipio,6,103,0,,,,,,
2020-07-01,US,NA_Salinas_Municipio,7,104,0,,,,,,
2020-07-02,US,NA_Salinas_Municipio,8,104,0,,,,,,
2020-07-03,US,NA_Salinas_Municipio,9,104,0,,,,,,
2020-07-04,US,NA_Salinas_Municipio,10,104,0,,,,,,
