date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-05-05,US,NA_Villalba_Municipio,-128,6,0,,,,,,
2020-05-06,US,NA_Villalba_Municipio,-127,6,0,,,,,,
2020-05-07,US,NA_Villalba_Municipio,-126,6,0,,,,,,
2020-05-08,US,NA_Villalba_Municipio,-125,7,0,,,,,,
2020-05-09,US,NA_Villalba_Municipio,-124,7,0,,,,,,
2020-05-10,US,NA_Villalba_Municipio,-123,10,0,,,,,,
2020-05-11,US,NA_Villalba_Municipio,-122,11,0,,,,,,
2020-05-12,US,NA_Villalba_Municipio,-121,11,0,,,,,,
2020-05-13,US,NA_Villalba_Municipio,-120,11,0,,,,,,
2020-05-14,US,NA_Villalba_Municipio,-119,13,0,,,,,,
2020-05-15,US,NA_Villalba_Municipio,-118,13,0,,,,,,
2020-05-16,US,NA_Villalba_Municipio,-117,14,0,,,,,,
2020-05-17,US,NA_Villalba_Municipio,-116,17,0,,,,,,
2020-05-18,US,NA_Villalba_Municipio,-115,17,0,,,,,,
2020-05-19,US,NA_Villalba_Municipio,-114,18,0,,,,,,
2020-05-20,US,NA_Villalba_Municipio,-113,18,0,,,,,,
2020-05-21,US,NA_Villalba_Municipio,-112,22,0,,,,,,
2020-05-22,US,NA_Villalba_Municipio,-111,22,0,,,,,,
2020-05-23,US,NA_Villalba_Municipio,-110,23,0,,,,,,
2020-05-24,US,NA_Villalba_Municipio,-109,24,0,,,,,,
2020-05-25,US,NA_Villalba_Municipio,-108,24,0,,,,,,
2020-05-26,US,NA_Villalba_Municipio,-107,24,0,,,,,,
2020-05-27,US,NA_Villalba_Municipio,-106,24,0,,,,,,
2020-05-28,US,NA_Villalba_Municipio,-105,24,0,,,,,,
2020-05-29,US,NA_Villalba_Municipio,-104,24,0,,,,,,
2020-05-30,US,NA_Villalba_Municipio,-103,24,0,,,,,,
2020-05-31,US,NA_Villalba_Municipio,-102,25,0,,,,,,
2020-06-01,US,NA_Villalba_Municipio,-101,28,0,,,,,,
2020-06-02,US,NA_Villalba_Municipio,-100,29,0,,,,,,
2020-06-03,US,NA_Villalba_Municipio,-99,33,0,,,,,,
2020-06-04,US,NA_Villalba_Municipio,-98,34,0,,,,,,
2020-06-05,US,NA_Villalba_Municipio,-97,34,0,,,,,,
2020-06-06,US,NA_Villalba_Municipio,-96,34,0,,,,,,
2020-06-07,US,NA_Villalba_Municipio,-95,36,0,,,,,,
2020-06-08,US,NA_Villalba_Municipio,-94,37,0,,,,,,
2020-06-09,US,NA_Villalba_Municipio,-93,37,0,,,,,,
2020-06-10,US,NA_Villalba_Municipio,-92,38,0,,,,,,
2020-06-11,US,NA_Villalba_Municipio,-91,38,0,,,,,,
2020-06-12,US,NA_Villalba_Municipio,-90,38,0,,,,,,
2020-06-13,US,NA_Villalba_Municipio,-89,39,0,,,,,,
2020-06-14,US,NA_Villalba_Municipio,-88,40,0,,,,,,
2020-06-15,US,NA_Villalba_Municipio,-87,40,0,,,,,,
2020-06-16,US,NA_Villalba_Municipio,-86,40,0,,,,,,
2020-06-17,US,NA_Villalba_Municipio,-85,40,0,,,,,,
2020-06-18,US,NA_Villalba_Municipio,-84,41,0,,,,,,
2020-06-19,US,NA_Villalba_Municipio,-83,42,0,,,,,,
2020-06-20,US,NA_Villalba_Municipio,-82,43,0,,,,,,
2020-06-21,US,NA_Villalba_Municipio,-81,43,0,,,,,,
2020-06-22,US,NA_Villalba_Municipio,-80,43,0,,,,,,
2020-06-23,US,NA_Villalba_Municipio,-79,43,0,,,,,,
2020-06-24,US,NA_Villalba_Municipio,-78,43,0,,,,,,
2020-06-25,US,NA_Villalba_Municipio,-77,44,0,,,,,,
2020-06-26,US,NA_Villalba_Municipio,-76,44,0,,,,,,
2020-06-27,US,NA_Villalba_Municipio,-75,44,0,,,,,,
2020-06-28,US,NA_Villalba_Municipio,-74,45,0,,,,,,
2020-06-29,US,NA_Villalba_Municipio,-73,45,0,,,,,,
2020-06-30,US,NA_Villalba_Municipio,-72,45,0,,,,,,
2020-07-01,US,NA_Villalba_Municipio,-71,47,0,,,,,,
2020-07-02,US,NA_Villalba_Municipio,-70,47,0,,,,,,
2020-07-03,US,NA_Villalba_Municipio,-69,48,0,,,,,,
2020-07-04,US,NA_Villalba_Municipio,-68,48,0,,,,,,
2020-07-05,US,NA_Villalba_Municipio,-67,48,0,,,,,,
2020-07-06,US,NA_Villalba_Municipio,-66,49,0,,,,,,
2020-07-07,US,NA_Villalba_Municipio,-65,49,0,,,,,,
2020-07-08,US,NA_Villalba_Municipio,-64,49,0,,,,,,
2020-07-09,US,NA_Villalba_Municipio,-63,51,0,,,,,,
2020-07-10,US,NA_Villalba_Municipio,-62,53,0,,,,,,
2020-07-11,US,NA_Villalba_Municipio,-61,54,0,,,,,,
2020-07-12,US,NA_Villalba_Municipio,-60,58,0,,,,,,
2020-07-13,US,NA_Villalba_Municipio,-59,58,0,,,,,,
2020-07-14,US,NA_Villalba_Municipio,-58,58,0,,,,,,
2020-07-15,US,NA_Villalba_Municipio,-57,58,0,,,,,,
