date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,NC_Guilford_County,-37,0,0,,,,,,
2020-01-25,US,NC_Guilford_County,-36,0,0,,,,,,
2020-01-27,US,NC_Guilford_County,-35,0,0,,,,,,
2020-01-29,US,NC_Guilford_County,-34,0,0,,,,,,
2020-01-31,US,NC_Guilford_County,-33,0,0,,,,,,
2020-02-02,US,NC_Guilford_County,-32,0,0,,,,,,
2020-02-04,US,NC_Guilford_County,-31,0,0,,,,,,
2020-02-06,US,NC_Guilford_County,-30,0,0,,,,,,
2020-02-08,US,NC_Guilford_County,-29,0,0,,,,,,
2020-02-10,US,NC_Guilford_County,-28,0,0,,,,,,
2020-02-12,US,NC_Guilford_County,-27,0,0,,,,,,
2020-02-14,US,NC_Guilford_County,-26,0,0,,,,,,
2020-02-16,US,NC_Guilford_County,-25,0,0,,,,,,
2020-02-18,US,NC_Guilford_County,-24,0,0,,,,,,
2020-02-20,US,NC_Guilford_County,-23,0,0,,,,,,
2020-02-22,US,NC_Guilford_County,-22,0,0,,,,,,
2020-02-24,US,NC_Guilford_County,-21,0,0,,,,,,
2020-02-26,US,NC_Guilford_County,-20,0,0,,,,,,
2020-02-28,US,NC_Guilford_County,-19,0,0,,,,,,
2020-03-01,US,NC_Guilford_County,-18,0,0,,,,,,
2020-03-03,US,NC_Guilford_County,-17,0,0,,,,,,
2020-03-05,US,NC_Guilford_County,-16,0,0,,,,,,
2020-03-07,US,NC_Guilford_County,-15,0,0,,,,,,
2020-03-09,US,NC_Guilford_County,-14,0,0,,,,,,
2020-03-11,US,NC_Guilford_County,-13,0,0,,,,,,
2020-03-13,US,NC_Guilford_County,-12,0,0,,,,,,
2020-03-15,US,NC_Guilford_County,-11,0,0,,,,,,
2020-03-17,US,NC_Guilford_County,-10,0,0,,,,,,
2020-03-19,US,NC_Guilford_County,-9,4,0,,,,,,
2020-03-21,US,NC_Guilford_County,-8,7,0,,,,,,
2020-03-23,US,NC_Guilford_County,-7,11,0,,,,,,
2020-03-25,US,NC_Guilford_County,-6,22,0,,,,,,
2020-03-27,US,NC_Guilford_County,-5,31,0,,,,,,
2020-03-29,US,NC_Guilford_County,-4,39,0,,,,,,
2020-03-31,US,NC_Guilford_County,-3,50,0,,,,,,
2020-04-02,US,NC_Guilford_County,-2,71,1,,,,,,
2020-04-04,US,NC_Guilford_County,-1,94,3,,,,,,
2020-04-06,US,NC_Guilford_County,0,104,3,,,,,,
