date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,NJ_Passaic_County,-61,0,0,,,,,,
2020-01-23,US,NJ_Passaic_County,-60,0,0,,,,,,
2020-01-24,US,NJ_Passaic_County,-59,0,0,,,,,,
2020-01-25,US,NJ_Passaic_County,-58,0,0,,,,,,
2020-01-26,US,NJ_Passaic_County,-57,0,0,,,,,,
2020-01-27,US,NJ_Passaic_County,-56,0,0,,,,,,
2020-01-28,US,NJ_Passaic_County,-55,0,0,,,,,,
2020-01-29,US,NJ_Passaic_County,-54,0,0,,,,,,
2020-01-30,US,NJ_Passaic_County,-53,0,0,,,,,,
2020-01-31,US,NJ_Passaic_County,-52,0,0,,,,,,
2020-02-01,US,NJ_Passaic_County,-51,0,0,,,,,,
2020-02-02,US,NJ_Passaic_County,-50,0,0,,,,,,
2020-02-03,US,NJ_Passaic_County,-49,0,0,,,,,,
2020-02-04,US,NJ_Passaic_County,-48,0,0,,,,,,
2020-02-05,US,NJ_Passaic_County,-47,0,0,,,,,,
2020-02-06,US,NJ_Passaic_County,-46,0,0,,,,,,
2020-02-07,US,NJ_Passaic_County,-45,0,0,,,,,,
2020-02-08,US,NJ_Passaic_County,-44,0,0,,,,,,
2020-02-09,US,NJ_Passaic_County,-43,0,0,,,,,,
2020-02-10,US,NJ_Passaic_County,-42,0,0,,,,,,
2020-02-11,US,NJ_Passaic_County,-41,0,0,,,,,,
2020-02-12,US,NJ_Passaic_County,-40,0,0,,,,,,
2020-02-13,US,NJ_Passaic_County,-39,0,0,,,,,,
2020-02-14,US,NJ_Passaic_County,-38,0,0,,,,,,
2020-02-15,US,NJ_Passaic_County,-37,0,0,,,,,,
2020-02-16,US,NJ_Passaic_County,-36,0,0,,,,,,
2020-02-17,US,NJ_Passaic_County,-35,0,0,,,,,,
2020-02-18,US,NJ_Passaic_County,-34,0,0,,,,,,
2020-02-19,US,NJ_Passaic_County,-33,0,0,,,,,,
2020-02-20,US,NJ_Passaic_County,-32,0,0,,,,,,
2020-02-21,US,NJ_Passaic_County,-31,0,0,,,,,,
2020-02-22,US,NJ_Passaic_County,-30,0,0,,,,,,
2020-02-23,US,NJ_Passaic_County,-29,0,0,,,,,,
2020-02-24,US,NJ_Passaic_County,-28,0,0,,,,,,
2020-02-25,US,NJ_Passaic_County,-27,0,0,,,,,,
2020-02-26,US,NJ_Passaic_County,-26,0,0,,,,,,
2020-02-27,US,NJ_Passaic_County,-25,0,0,,,,,,
2020-02-28,US,NJ_Passaic_County,-24,0,0,,,,,,
2020-02-29,US,NJ_Passaic_County,-23,0,0,,,,,,
2020-03-01,US,NJ_Passaic_County,-22,0,0,,,,,,
2020-03-02,US,NJ_Passaic_County,-21,0,0,,,,,,
2020-03-03,US,NJ_Passaic_County,-20,0,0,,,,,,
2020-03-04,US,NJ_Passaic_County,-19,0,0,,,,,,
2020-03-05,US,NJ_Passaic_County,-18,0,0,,,,,,
2020-03-06,US,NJ_Passaic_County,-17,0,0,,,,,,
2020-03-07,US,NJ_Passaic_County,-16,0,0,,,,,,
2020-03-08,US,NJ_Passaic_County,-15,0,0,,,,,,
2020-03-09,US,NJ_Passaic_County,-14,1,0,,,,,,
2020-03-10,US,NJ_Passaic_County,-13,1,0,,,,,,
2020-03-11,US,NJ_Passaic_County,-12,1,0,,,,,,
2020-03-12,US,NJ_Passaic_County,-11,1,0,,,,,,
2020-03-13,US,NJ_Passaic_County,-10,2,0,,,,,,
2020-03-14,US,NJ_Passaic_County,-9,2,0,,,,,,
2020-03-15,US,NJ_Passaic_County,-8,5,0,,,,,,
2020-03-16,US,NJ_Passaic_County,-7,8,0,,,,,,
2020-03-17,US,NJ_Passaic_County,-6,10,0,,,,,,
2020-03-18,US,NJ_Passaic_County,-5,18,0,,,,,,
2020-03-19,US,NJ_Passaic_County,-4,38,0,,,,,,
2020-03-20,US,NJ_Passaic_County,-3,49,0,,,,,,
2020-03-21,US,NJ_Passaic_County,-2,67,0,,,,,,
2020-03-22,US,NJ_Passaic_County,-1,95,1,,,,,,
2020-03-23,US,NJ_Passaic_County,0,141,1,,,,,,
2020-03-24,US,NJ_Passaic_County,1,216,2,,,,,,
2020-03-25,US,NJ_Passaic_County,2,255,2,,,,,,
2020-03-26,US,NJ_Passaic_County,3,399,3,,,,,,
2020-03-27,US,NJ_Passaic_County,4,484,3,,,,,,
2020-03-28,US,NJ_Passaic_County,5,608,7,,,,,,
2020-03-29,US,NJ_Passaic_County,6,831,7,,,,,,
2020-03-30,US,NJ_Passaic_County,7,1091,7,,,,,,
2020-03-31,US,NJ_Passaic_County,8,1294,9,,,,,,
2020-04-01,US,NJ_Passaic_County,9,1494,15,,,,,,
2020-04-02,US,NJ_Passaic_County,10,1750,22,,,,,,
2020-04-03,US,NJ_Passaic_County,11,2216,34,,,,,,
2020-04-04,US,NJ_Passaic_County,12,2856,38,,,,,,
2020-04-05,US,NJ_Passaic_County,13,3227,42,,,,,,
2020-04-06,US,NJ_Passaic_County,14,3756,53,,,,,,
2020-04-07,US,NJ_Passaic_County,15,4101,62,,,,,,
2020-04-08,US,NJ_Passaic_County,16,4372,71,,,,,,
2020-04-09,US,NJ_Passaic_County,17,4690,82,,,,,,
2020-04-10,US,NJ_Passaic_County,18,5017,101,,,,,,
2020-04-11,US,NJ_Passaic_County,19,5295,119,,,,,,
2020-04-12,US,NJ_Passaic_County,20,5590,131,,,,,,
2020-04-13,US,NJ_Passaic_County,21,5950,131,,,,,,
2020-04-14,US,NJ_Passaic_County,22,6438,156,,,,,,
2020-04-15,US,NJ_Passaic_County,23,6750,182,,,,,,
2020-04-16,US,NJ_Passaic_County,24,7317,211,,,,,,
2020-04-17,US,NJ_Passaic_County,25,7604,221,,,,,,
2020-04-18,US,NJ_Passaic_County,26,7936,243,,,,,,
2020-04-19,US,NJ_Passaic_County,27,8288,250,,,,,,
2020-04-20,US,NJ_Passaic_County,28,8479,263,,,,,,
2020-04-21,US,NJ_Passaic_County,29,8941,294,,,,,,
2020-04-22,US,NJ_Passaic_County,30,9392,294,,,,,,
2020-04-23,US,NJ_Passaic_County,31,9874,294,,,,,,
2020-04-24,US,NJ_Passaic_County,32,10291,383,,,,,,
2020-04-25,US,NJ_Passaic_County,33,10738,416,,,,,,
2020-04-26,US,NJ_Passaic_County,34,11137,426,,,,,,
