date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,NM_Sandoval_County,-37,0,0,,,,,,
2020-01-25,US,NM_Sandoval_County,-36,0,0,,,,,,
2020-01-27,US,NM_Sandoval_County,-35,0,0,,,,,,
2020-01-29,US,NM_Sandoval_County,-34,0,0,,,,,,
2020-01-31,US,NM_Sandoval_County,-33,0,0,,,,,,
2020-02-02,US,NM_Sandoval_County,-32,0,0,,,,,,
2020-02-04,US,NM_Sandoval_County,-31,0,0,,,,,,
2020-02-06,US,NM_Sandoval_County,-30,0,0,,,,,,
2020-02-08,US,NM_Sandoval_County,-29,0,0,,,,,,
2020-02-10,US,NM_Sandoval_County,-28,0,0,,,,,,
2020-02-12,US,NM_Sandoval_County,-27,0,0,,,,,,
2020-02-14,US,NM_Sandoval_County,-26,0,0,,,,,,
2020-02-16,US,NM_Sandoval_County,-25,0,0,,,,,,
2020-02-18,US,NM_Sandoval_County,-24,0,0,,,,,,
2020-02-20,US,NM_Sandoval_County,-23,0,0,,,,,,
2020-02-22,US,NM_Sandoval_County,-22,0,0,,,,,,
2020-02-24,US,NM_Sandoval_County,-21,0,0,,,,,,
2020-02-26,US,NM_Sandoval_County,-20,0,0,,,,,,
2020-02-28,US,NM_Sandoval_County,-19,0,0,,,,,,
2020-03-01,US,NM_Sandoval_County,-18,0,0,,,,,,
2020-03-03,US,NM_Sandoval_County,-17,0,0,,,,,,
2020-03-05,US,NM_Sandoval_County,-16,0,0,,,,,,
2020-03-07,US,NM_Sandoval_County,-15,0,0,,,,,,
2020-03-09,US,NM_Sandoval_County,-14,0,0,,,,,,
2020-03-11,US,NM_Sandoval_County,-13,0,0,,,,,,
2020-03-13,US,NM_Sandoval_County,-12,0,0,,,,,,
2020-03-15,US,NM_Sandoval_County,-11,2,0,,,,,,
2020-03-17,US,NM_Sandoval_County,-10,2,0,,,,,,
2020-03-19,US,NM_Sandoval_County,-9,4,0,,,,,,
2020-03-21,US,NM_Sandoval_County,-8,7,0,,,,,,
2020-03-23,US,NM_Sandoval_County,-7,7,0,,,,,,
2020-03-25,US,NM_Sandoval_County,-6,8,0,,,,,,
2020-03-27,US,NM_Sandoval_County,-5,15,0,,,,,,
2020-03-29,US,NM_Sandoval_County,-4,15,0,,,,,,
2020-03-31,US,NM_Sandoval_County,-3,29,0,,,,,,
2020-04-02,US,NM_Sandoval_County,-2,40,1,,,,,,
2020-04-04,US,NM_Sandoval_County,-1,69,2,,,,,,
2020-04-06,US,NM_Sandoval_County,0,114,2,,,,,,
2020-04-08,US,NM_Sandoval_County,1,143,2,,,,,,
2020-04-10,US,NM_Sandoval_County,2,177,3,,,,,,
2020-04-12,US,NM_Sandoval_County,3,235,3,,,,,,
2020-04-14,US,NM_Sandoval_County,4,244,3,,,,,,
2020-04-16,US,NM_Sandoval_County,5,293,5,,,,,,
2020-04-18,US,NM_Sandoval_County,6,311,6,,,,,,
2020-04-20,US,NM_Sandoval_County,7,317,6,,,,,,
2020-04-22,US,NM_Sandoval_County,8,341,6,,,,,,
2020-04-24,US,NM_Sandoval_County,9,357,8,,,,,,
2020-04-26,US,NM_Sandoval_County,10,374,11,,,,,,
2020-04-28,US,NM_Sandoval_County,11,383,11,,,,,,
2020-04-30,US,NM_Sandoval_County,12,389,13,,,,,,
2020-05-02,US,NM_Sandoval_County,13,410,17,,,,,,
2020-05-04,US,NM_Sandoval_County,14,421,19,,,,,,
2020-05-06,US,NM_Sandoval_County,15,432,20,,,,,,
2020-05-08,US,NM_Sandoval_County,16,451,20,,,,,,
2020-05-10,US,NM_Sandoval_County,17,458,21,,,,,,
2020-05-12,US,NM_Sandoval_County,18,474,21,,,,,,
2020-05-14,US,NM_Sandoval_County,19,479,22,,,,,,
2020-05-16,US,NM_Sandoval_County,20,483,22,,,,,,
2020-05-18,US,NM_Sandoval_County,21,495,24,,,,,,
2020-05-20,US,NM_Sandoval_County,22,520,24,,,,,,
2020-05-22,US,NM_Sandoval_County,23,529,24,,,,,,
2020-05-24,US,NM_Sandoval_County,24,529,24,,,,,,
2020-05-26,US,NM_Sandoval_County,25,546,26,,,,,,
2020-05-28,US,NM_Sandoval_County,26,556,26,,,,,,
2020-05-30,US,NM_Sandoval_County,27,566,27,,,,,,
2020-06-01,US,NM_Sandoval_County,28,568,27,,,,,,
2020-06-03,US,NM_Sandoval_County,29,572,27,,,,,,
2020-06-05,US,NM_Sandoval_County,30,579,27,,,,,,
2020-06-07,US,NM_Sandoval_County,31,597,27,,,,,,
2020-06-09,US,NM_Sandoval_County,32,604,27,,,,,,
2020-06-11,US,NM_Sandoval_County,33,607,27,,,,,,
2020-06-13,US,NM_Sandoval_County,34,616,27,,,,,,
2020-06-15,US,NM_Sandoval_County,35,634,27,,,,,,
2020-06-17,US,NM_Sandoval_County,36,651,27,,,,,,
2020-06-19,US,NM_Sandoval_County,37,662,28,,,,,,
2020-06-21,US,NM_Sandoval_County,38,675,28,,,,,,
2020-06-23,US,NM_Sandoval_County,39,685,29,,,,,,
2020-06-25,US,NM_Sandoval_County,40,701,29,,,,,,
2020-06-27,US,NM_Sandoval_County,41,713,29,,,,,,
2020-06-29,US,NM_Sandoval_County,42,720,29,,,,,,
2020-07-01,US,NM_Sandoval_County,43,731,29,,,,,,
2020-07-03,US,NM_Sandoval_County,44,753,29,,,,,,
2020-07-05,US,NM_Sandoval_County,45,761,29,,,,,,
2020-07-07,US,NM_Sandoval_County,46,776,30,,,,,,
2020-07-09,US,NM_Sandoval_County,47,802,30,,,,,,
2020-07-11,US,NM_Sandoval_County,48,821,30,,,,,,
2020-07-13,US,NM_Sandoval_County,49,847,30,,,,,,
2020-07-15,US,NM_Sandoval_County,50,867,31,,,,,,
2020-07-17,US,NM_Sandoval_County,51,895,31,,,,,,
2020-07-19,US,NM_Sandoval_County,52,919,31,,,,,,
2020-07-21,US,NM_Sandoval_County,53,942,32,,,,,,
2020-07-23,US,NM_Sandoval_County,54,972,32,,,,,,
2020-07-25,US,NM_Sandoval_County,55,994,33,,,,,,
2020-07-27,US,NM_Sandoval_County,56,1018,33,,,,,,
2020-07-29,US,NM_Sandoval_County,57,1049,33,,,,,,
2020-07-31,US,NM_Sandoval_County,58,1070,33,,,,,,
2020-08-02,US,NM_Sandoval_County,59,1095,33,,,,,,
2020-08-04,US,NM_Sandoval_County,60,1104,33,,,,,,
2020-08-06,US,NM_Sandoval_County,61,1117,33,,,,,,
2020-08-08,US,NM_Sandoval_County,62,1126,33,,,,,,
2020-08-10,US,NM_Sandoval_County,63,1137,33,,,,,,
2020-08-12,US,NM_Sandoval_County,64,1146,33,,,,,,
2020-08-14,US,NM_Sandoval_County,65,1152,33,,,,,,
2020-08-16,US,NM_Sandoval_County,66,1158,33,,,,,,
2020-08-18,US,NM_Sandoval_County,67,1162,33,,,,,,
2020-08-20,US,NM_Sandoval_County,68,1176,33,,,,,,
2020-08-22,US,NM_Sandoval_County,69,1176,35,,,,,,
2020-08-24,US,NM_Sandoval_County,70,1199,35,,,,,,
2020-08-26,US,NM_Sandoval_County,71,1230,37,,,,,,
2020-01-22,US,NM_Sandoval_County,70,0,0,,,,,,
2020-01-24,US,NM_Sandoval_County,69,0,0,,,,,,
2020-01-26,US,NM_Sandoval_County,68,0,0,,,,,,
2020-01-28,US,NM_Sandoval_County,67,0,0,,,,,,
2020-01-30,US,NM_Sandoval_County,66,0,0,,,,,,
2020-02-01,US,NM_Sandoval_County,65,0,0,,,,,,
2020-02-03,US,NM_Sandoval_County,64,0,0,,,,,,
2020-02-05,US,NM_Sandoval_County,63,0,0,,,,,,
2020-02-07,US,NM_Sandoval_County,62,0,0,,,,,,
2020-02-09,US,NM_Sandoval_County,61,0,0,,,,,,
2020-02-11,US,NM_Sandoval_County,60,0,0,,,,,,
2020-02-13,US,NM_Sandoval_County,59,0,0,,,,,,
2020-02-15,US,NM_Sandoval_County,58,0,0,,,,,,
2020-02-17,US,NM_Sandoval_County,57,0,0,,,,,,
2020-02-19,US,NM_Sandoval_County,56,0,0,,,,,,
2020-02-21,US,NM_Sandoval_County,55,0,0,,,,,,
2020-02-23,US,NM_Sandoval_County,54,0,0,,,,,,
2020-02-25,US,NM_Sandoval_County,53,0,0,,,,,,
2020-02-27,US,NM_Sandoval_County,52,0,0,,,,,,
2020-02-29,US,NM_Sandoval_County,51,0,0,,,,,,
2020-03-02,US,NM_Sandoval_County,50,0,0,,,,,,
2020-03-04,US,NM_Sandoval_County,49,0,0,,,,,,
2020-03-06,US,NM_Sandoval_County,48,0,0,,,,,,
2020-03-08,US,NM_Sandoval_County,47,0,0,,,,,,
2020-03-10,US,NM_Sandoval_County,46,0,0,,,,,,
2020-03-12,US,NM_Sandoval_County,45,0,0,,,,,,
2020-03-14,US,NM_Sandoval_County,44,2,0,,,,,,
2020-03-16,US,NM_Sandoval_County,43,2,0,,,,,,
2020-03-18,US,NM_Sandoval_County,42,4,0,,,,,,
2020-03-20,US,NM_Sandoval_County,41,6,0,,,,,,
2020-03-22,US,NM_Sandoval_County,40,7,0,,,,,,
2020-03-24,US,NM_Sandoval_County,39,7,0,,,,,,
2020-03-26,US,NM_Sandoval_County,38,10,0,,,,,,
2020-03-28,US,NM_Sandoval_County,37,15,0,,,,,,
2020-03-30,US,NM_Sandoval_County,36,22,0,,,,,,
2020-04-01,US,NM_Sandoval_County,35,32,1,,,,,,
2020-04-03,US,NM_Sandoval_County,34,66,2,,,,,,
2020-04-05,US,NM_Sandoval_County,35,103,2,,,,,,
2020-04-07,US,NM_Sandoval_County,36,128,2,,,,,,
2020-04-09,US,NM_Sandoval_County,37,174,2,,,,,,
2020-04-11,US,NM_Sandoval_County,38,199,3,,,,,,
2020-04-13,US,NM_Sandoval_County,39,244,3,,,,,,
2020-04-15,US,NM_Sandoval_County,40,244,3,,,,,,
2020-04-17,US,NM_Sandoval_County,41,301,6,,,,,,
2020-04-19,US,NM_Sandoval_County,42,315,6,,,,,,
2020-04-21,US,NM_Sandoval_County,43,317,6,,,,,,
2020-04-23,US,NM_Sandoval_County,44,345,8,,,,,,
2020-04-25,US,NM_Sandoval_County,45,365,10,,,,,,
2020-04-27,US,NM_Sandoval_County,46,378,11,,,,,,
2020-04-29,US,NM_Sandoval_County,47,385,13,,,,,,
2020-05-01,US,NM_Sandoval_County,48,396,15,,,,,,
2020-05-03,US,NM_Sandoval_County,49,416,19,,,,,,
2020-05-05,US,NM_Sandoval_County,50,426,20,,,,,,
2020-05-07,US,NM_Sandoval_County,51,439,20,,,,,,
2020-05-09,US,NM_Sandoval_County,52,452,20,,,,,,
2020-05-11,US,NM_Sandoval_County,53,467,21,,,,,,
2020-05-13,US,NM_Sandoval_County,54,477,22,,,,,,
2020-05-15,US,NM_Sandoval_County,55,483,22,,,,,,
2020-05-17,US,NM_Sandoval_County,56,483,22,,,,,,
2020-05-19,US,NM_Sandoval_County,57,498,24,,,,,,
2020-05-21,US,NM_Sandoval_County,58,528,24,,,,,,
2020-05-23,US,NM_Sandoval_County,59,529,24,,,,,,
2020-05-25,US,NM_Sandoval_County,60,544,26,,,,,,
2020-05-27,US,NM_Sandoval_County,61,551,26,,,,,,
2020-05-29,US,NM_Sandoval_County,62,559,27,,,,,,
2020-05-31,US,NM_Sandoval_County,63,568,27,,,,,,
2020-06-02,US,NM_Sandoval_County,64,572,27,,,,,,
2020-06-04,US,NM_Sandoval_County,65,578,27,,,,,,
2020-06-06,US,NM_Sandoval_County,66,585,27,,,,,,
2020-06-08,US,NM_Sandoval_County,67,600,27,,,,,,
2020-06-10,US,NM_Sandoval_County,68,604,27,,,,,,
2020-06-12,US,NM_Sandoval_County,69,609,27,,,,,,
2020-06-14,US,NM_Sandoval_County,70,630,27,,,,,,
2020-06-16,US,NM_Sandoval_County,71,642,27,,,,,,
2020-06-18,US,NM_Sandoval_County,72,656,27,,,,,,
2020-06-20,US,NM_Sandoval_County,73,672,28,,,,,,
2020-06-22,US,NM_Sandoval_County,74,681,28,,,,,,
2020-06-24,US,NM_Sandoval_County,75,693,29,,,,,,
2020-06-26,US,NM_Sandoval_County,76,706,29,,,,,,
2020-06-28,US,NM_Sandoval_County,77,716,29,,,,,,
2020-06-30,US,NM_Sandoval_County,78,728,29,,,,,,
2020-07-02,US,NM_Sandoval_County,79,740,29,,,,,,
2020-07-04,US,NM_Sandoval_County,80,761,29,,,,,,
2020-07-06,US,NM_Sandoval_County,81,769,30,,,,,,
2020-07-08,US,NM_Sandoval_County,82,793,30,,,,,,
2020-07-10,US,NM_Sandoval_County,83,813,30,,,,,,
