date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,NY_Herkimer_County,-122,0,0,,,,,,
2020-01-23,US,NY_Herkimer_County,-121,0,0,,,,,,
2020-01-24,US,NY_Herkimer_County,-120,0,0,,,,,,
2020-01-25,US,NY_Herkimer_County,-119,0,0,,,,,,
2020-01-26,US,NY_Herkimer_County,-118,0,0,,,,,,
2020-01-27,US,NY_Herkimer_County,-117,0,0,,,,,,
2020-01-28,US,NY_Herkimer_County,-116,0,0,,,,,,
2020-01-29,US,NY_Herkimer_County,-115,0,0,,,,,,
2020-01-30,US,NY_Herkimer_County,-114,0,0,,,,,,
2020-01-31,US,NY_Herkimer_County,-113,0,0,,,,,,
2020-02-01,US,NY_Herkimer_County,-112,0,0,,,,,,
2020-02-02,US,NY_Herkimer_County,-111,0,0,,,,,,
2020-02-03,US,NY_Herkimer_County,-110,0,0,,,,,,
2020-02-04,US,NY_Herkimer_County,-109,0,0,,,,,,
2020-02-05,US,NY_Herkimer_County,-108,0,0,,,,,,
2020-02-06,US,NY_Herkimer_County,-107,0,0,,,,,,
2020-02-07,US,NY_Herkimer_County,-106,0,0,,,,,,
2020-02-08,US,NY_Herkimer_County,-105,0,0,,,,,,
2020-02-09,US,NY_Herkimer_County,-104,0,0,,,,,,
2020-02-10,US,NY_Herkimer_County,-103,0,0,,,,,,
2020-02-11,US,NY_Herkimer_County,-102,0,0,,,,,,
2020-02-12,US,NY_Herkimer_County,-101,0,0,,,,,,
2020-02-13,US,NY_Herkimer_County,-100,0,0,,,,,,
2020-02-14,US,NY_Herkimer_County,-99,0,0,,,,,,
2020-02-15,US,NY_Herkimer_County,-98,0,0,,,,,,
2020-02-16,US,NY_Herkimer_County,-97,0,0,,,,,,
2020-02-17,US,NY_Herkimer_County,-96,0,0,,,,,,
2020-02-18,US,NY_Herkimer_County,-95,0,0,,,,,,
2020-02-19,US,NY_Herkimer_County,-94,0,0,,,,,,
2020-02-20,US,NY_Herkimer_County,-93,0,0,,,,,,
2020-02-21,US,NY_Herkimer_County,-92,0,0,,,,,,
2020-02-22,US,NY_Herkimer_County,-91,0,0,,,,,,
2020-02-23,US,NY_Herkimer_County,-90,0,0,,,,,,
2020-02-24,US,NY_Herkimer_County,-89,0,0,,,,,,
2020-02-25,US,NY_Herkimer_County,-88,0,0,,,,,,
2020-02-26,US,NY_Herkimer_County,-87,0,0,,,,,,
2020-02-27,US,NY_Herkimer_County,-86,0,0,,,,,,
2020-02-28,US,NY_Herkimer_County,-85,0,0,,,,,,
2020-02-29,US,NY_Herkimer_County,-84,0,0,,,,,,
2020-03-01,US,NY_Herkimer_County,-83,0,0,,,,,,
2020-03-02,US,NY_Herkimer_County,-82,0,0,,,,,,
2020-03-03,US,NY_Herkimer_County,-81,0,0,,,,,,
2020-03-04,US,NY_Herkimer_County,-80,0,0,,,,,,
2020-03-05,US,NY_Herkimer_County,-79,0,0,,,,,,
2020-03-06,US,NY_Herkimer_County,-78,0,0,,,,,,
2020-03-07,US,NY_Herkimer_County,-77,0,0,,,,,,
2020-03-08,US,NY_Herkimer_County,-76,0,0,,,,,,
2020-03-09,US,NY_Herkimer_County,-75,0,0,,,,,,
2020-03-10,US,NY_Herkimer_County,-74,0,0,,,,,,
2020-03-11,US,NY_Herkimer_County,-73,0,0,,,,,,
2020-03-12,US,NY_Herkimer_County,-72,1,0,,,,,,
2020-03-13,US,NY_Herkimer_County,-71,1,0,,,,,,
2020-03-14,US,NY_Herkimer_County,-70,1,0,,,,,,
2020-03-15,US,NY_Herkimer_County,-69,1,0,,,,,,
2020-03-16,US,NY_Herkimer_County,-68,1,0,,,,,,
2020-03-17,US,NY_Herkimer_County,-67,1,0,,,,,,
2020-03-18,US,NY_Herkimer_County,-66,1,0,,,,,,
2020-03-19,US,NY_Herkimer_County,-65,1,0,,,,,,
2020-03-20,US,NY_Herkimer_County,-64,2,0,,,,,,
2020-03-21,US,NY_Herkimer_County,-63,2,0,,,,,,
2020-03-22,US,NY_Herkimer_County,-62,4,0,,,,,,
2020-03-23,US,NY_Herkimer_County,-61,4,0,,,,,,
2020-03-24,US,NY_Herkimer_County,-60,4,0,,,,,,
2020-03-25,US,NY_Herkimer_County,-59,5,0,,,,,,
2020-03-26,US,NY_Herkimer_County,-58,7,0,,,,,,
2020-03-27,US,NY_Herkimer_County,-57,9,1,,,,,,
2020-03-28,US,NY_Herkimer_County,-56,9,1,,,,,,
2020-03-29,US,NY_Herkimer_County,-55,10,2,,,,,,
2020-03-30,US,NY_Herkimer_County,-54,12,2,,,,,,
2020-03-31,US,NY_Herkimer_County,-53,12,2,,,,,,
2020-04-01,US,NY_Herkimer_County,-52,12,3,,,,,,
2020-04-02,US,NY_Herkimer_County,-51,14,3,,,,,,
2020-04-03,US,NY_Herkimer_County,-50,14,3,,,,,,
2020-04-04,US,NY_Herkimer_County,-49,18,3,,,,,,
2020-04-05,US,NY_Herkimer_County,-48,22,3,,,,,,
2020-04-06,US,NY_Herkimer_County,-47,25,3,,,,,,
2020-04-07,US,NY_Herkimer_County,-46,27,3,,,,,,
2020-04-08,US,NY_Herkimer_County,-45,29,3,,,,,,
2020-04-09,US,NY_Herkimer_County,-44,32,3,,,,,,
2020-04-10,US,NY_Herkimer_County,-43,36,3,,,,,,
2020-04-11,US,NY_Herkimer_County,-42,37,3,,,,,,
2020-04-12,US,NY_Herkimer_County,-41,37,3,,,,,,
2020-04-13,US,NY_Herkimer_County,-40,38,3,,,,,,
2020-04-14,US,NY_Herkimer_County,-39,39,3,,,,,,
2020-04-15,US,NY_Herkimer_County,-38,40,3,,,,,,
2020-04-16,US,NY_Herkimer_County,-37,43,3,,,,,,
2020-04-17,US,NY_Herkimer_County,-36,46,3,,,,,,
2020-04-18,US,NY_Herkimer_County,-35,47,3,,,,,,
2020-04-19,US,NY_Herkimer_County,-34,49,3,,,,,,
2020-04-20,US,NY_Herkimer_County,-33,49,3,,,,,,
2020-04-21,US,NY_Herkimer_County,-32,50,3,,,,,,
2020-04-22,US,NY_Herkimer_County,-31,53,3,,,,,,
2020-04-23,US,NY_Herkimer_County,-30,54,3,,,,,,
2020-04-24,US,NY_Herkimer_County,-29,56,3,,,,,,
2020-04-25,US,NY_Herkimer_County,-28,56,3,,,,,,
2020-04-26,US,NY_Herkimer_County,-27,57,3,,,,,,
2020-04-27,US,NY_Herkimer_County,-26,58,3,,,,,,
2020-04-28,US,NY_Herkimer_County,-25,58,3,,,,,,
2020-04-29,US,NY_Herkimer_County,-24,58,3,,,,,,
2020-04-30,US,NY_Herkimer_County,-23,58,3,,,,,,
2020-05-01,US,NY_Herkimer_County,-22,60,3,,,,,,
2020-05-02,US,NY_Herkimer_County,-21,61,3,,,,,,
2020-05-03,US,NY_Herkimer_County,-20,62,3,,,,,,
2020-05-04,US,NY_Herkimer_County,-19,63,3,,,,,,
2020-05-05,US,NY_Herkimer_County,-18,67,3,,,,,,
2020-05-06,US,NY_Herkimer_County,-17,68,3,,,,,,
2020-05-07,US,NY_Herkimer_County,-16,74,3,,,,,,
2020-05-08,US,NY_Herkimer_County,-15,76,3,,,,,,
2020-05-09,US,NY_Herkimer_County,-14,77,3,,,,,,
2020-05-10,US,NY_Herkimer_County,-13,79,3,,,,,,
2020-05-11,US,NY_Herkimer_County,-12,81,3,,,,,,
2020-05-12,US,NY_Herkimer_County,-11,81,3,,,,,,
2020-05-13,US,NY_Herkimer_County,-10,84,3,,,,,,
2020-05-14,US,NY_Herkimer_County,-9,86,3,,,,,,
2020-05-15,US,NY_Herkimer_County,-8,87,3,,,,,,
2020-05-16,US,NY_Herkimer_County,-7,91,3,,,,,,
2020-05-17,US,NY_Herkimer_County,-6,91,3,,,,,,
2020-05-18,US,NY_Herkimer_County,-5,92,3,,,,,,
2020-05-19,US,NY_Herkimer_County,-4,92,3,,,,,,
2020-05-20,US,NY_Herkimer_County,-3,93,3,,,,,,
2020-05-21,US,NY_Herkimer_County,-2,93,3,,,,,,
2020-05-22,US,NY_Herkimer_County,-1,95,3,,,,,,
2020-05-23,US,NY_Herkimer_County,0,100,3,,,,,,
2020-05-24,US,NY_Herkimer_County,1,101,3,,,,,,
2020-05-25,US,NY_Herkimer_County,2,103,3,,,,,,
2020-05-26,US,NY_Herkimer_County,3,103,3,,,,,,
2020-05-27,US,NY_Herkimer_County,4,105,3,,,,,,
2020-05-28,US,NY_Herkimer_County,5,106,3,,,,,,
2020-05-29,US,NY_Herkimer_County,6,107,3,,,,,,
2020-05-30,US,NY_Herkimer_County,7,107,3,,,,,,
2020-05-31,US,NY_Herkimer_County,8,108,3,,,,,,
2020-06-01,US,NY_Herkimer_County,9,109,3,,,,,,
2020-06-02,US,NY_Herkimer_County,10,111,3,,,,,,
2020-06-03,US,NY_Herkimer_County,11,113,3,,,,,,
2020-06-04,US,NY_Herkimer_County,12,113,3,,,,,,
2020-06-05,US,NY_Herkimer_County,13,115,3,,,,,,
2020-06-06,US,NY_Herkimer_County,14,122,3,,,,,,
2020-06-07,US,NY_Herkimer_County,15,123,3,,,,,,
2020-06-08,US,NY_Herkimer_County,16,124,3,,,,,,
2020-06-09,US,NY_Herkimer_County,17,125,3,,,,,,
2020-06-10,US,NY_Herkimer_County,18,125,3,,,,,,
2020-06-11,US,NY_Herkimer_County,19,125,3,,,,,,
2020-06-12,US,NY_Herkimer_County,20,127,3,,,,,,
2020-06-13,US,NY_Herkimer_County,21,128,3,,,,,,
2020-06-14,US,NY_Herkimer_County,22,128,3,,,,,,
2020-06-15,US,NY_Herkimer_County,23,128,3,,,,,,
2020-06-16,US,NY_Herkimer_County,24,128,3,,,,,,
2020-06-17,US,NY_Herkimer_County,25,128,3,,,,,,
2020-06-18,US,NY_Herkimer_County,26,128,3,,,,,,
2020-06-19,US,NY_Herkimer_County,27,131,3,,,,,,
2020-06-20,US,NY_Herkimer_County,28,134,3,,,,,,
2020-06-21,US,NY_Herkimer_County,29,136,3,,,,,,
2020-06-22,US,NY_Herkimer_County,30,137,3,,,,,,
2020-06-23,US,NY_Herkimer_County,31,137,3,,,,,,
2020-06-24,US,NY_Herkimer_County,32,142,3,,,,,,
2020-06-25,US,NY_Herkimer_County,33,143,3,,,,,,
2020-06-26,US,NY_Herkimer_County,34,149,3,,,,,,
2020-06-27,US,NY_Herkimer_County,35,154,3,,,,,,
2020-06-28,US,NY_Herkimer_County,36,158,3,,,,,,
2020-06-29,US,NY_Herkimer_County,37,159,3,,,,,,
2020-06-30,US,NY_Herkimer_County,38,159,3,,,,,,
2020-07-01,US,NY_Herkimer_County,39,162,3,,,,,,
2020-07-02,US,NY_Herkimer_County,40,164,3,,,,,,
2020-07-03,US,NY_Herkimer_County,41,172,3,,,,,,
2020-07-04,US,NY_Herkimer_County,42,172,3,,,,,,
2020-07-05,US,NY_Herkimer_County,43,173,3,,,,,,
2020-07-06,US,NY_Herkimer_County,44,179,3,,,,,,
2020-07-07,US,NY_Herkimer_County,45,181,4,,,,,,
2020-07-08,US,NY_Herkimer_County,46,181,4,,,,,,
2020-07-09,US,NY_Herkimer_County,47,182,4,,,,,,
2020-07-10,US,NY_Herkimer_County,48,184,4,,,,,,
2020-07-11,US,NY_Herkimer_County,49,188,4,,,,,,
2020-07-12,US,NY_Herkimer_County,50,192,4,,,,,,
2020-07-13,US,NY_Herkimer_County,51,193,4,,,,,,
2020-07-14,US,NY_Herkimer_County,52,195,4,,,,,,
2020-07-15,US,NY_Herkimer_County,53,197,4,,,,,,
2020-07-16,US,NY_Herkimer_County,54,202,4,,,,,,
2020-07-17,US,NY_Herkimer_County,55,204,4,,,,,,
2020-07-18,US,NY_Herkimer_County,56,204,4,,,,,,
2020-07-19,US,NY_Herkimer_County,57,206,4,,,,,,
2020-07-20,US,NY_Herkimer_County,58,206,4,,,,,,
2020-07-21,US,NY_Herkimer_County,59,208,4,,,,,,
2020-07-22,US,NY_Herkimer_County,60,211,4,,,,,,
2020-07-23,US,NY_Herkimer_County,61,213,4,,,,,,
2020-07-24,US,NY_Herkimer_County,62,223,4,,,,,,
2020-07-25,US,NY_Herkimer_County,63,224,4,,,,,,
2020-07-26,US,NY_Herkimer_County,64,230,4,,,,,,
2020-07-27,US,NY_Herkimer_County,65,234,4,,,,,,
2020-07-28,US,NY_Herkimer_County,66,236,4,,,,,,
2020-07-29,US,NY_Herkimer_County,67,236,4,,,,,,
2020-07-30,US,NY_Herkimer_County,68,239,4,,,,,,
2020-07-31,US,NY_Herkimer_County,69,239,4,,,,,,
2020-08-01,US,NY_Herkimer_County,70,240,4,,,,,,
2020-08-02,US,NY_Herkimer_County,71,241,4,,,,,,
2020-08-03,US,NY_Herkimer_County,72,246,4,,,,,,
2020-08-04,US,NY_Herkimer_County,73,262,4,,,,,,
2020-08-05,US,NY_Herkimer_County,74,264,4,,,,,,
2020-08-06,US,NY_Herkimer_County,75,268,4,,,,,,
2020-08-07,US,NY_Herkimer_County,76,270,4,,,,,,
2020-08-08,US,NY_Herkimer_County,77,273,4,,,,,,
2020-08-09,US,NY_Herkimer_County,78,274,4,,,,,,
2020-08-10,US,NY_Herkimer_County,79,274,4,,,,,,
2020-08-11,US,NY_Herkimer_County,80,277,4,,,,,,
2020-08-12,US,NY_Herkimer_County,81,277,4,,,,,,
2020-08-13,US,NY_Herkimer_County,82,278,4,,,,,,
2020-08-14,US,NY_Herkimer_County,83,278,4,,,,,,
2020-08-15,US,NY_Herkimer_County,84,282,4,,,,,,
2020-08-16,US,NY_Herkimer_County,85,283,4,,,,,,
2020-08-17,US,NY_Herkimer_County,86,284,4,,,,,,
2020-08-18,US,NY_Herkimer_County,87,284,4,,,,,,
2020-08-19,US,NY_Herkimer_County,88,284,4,,,,,,
2020-08-20,US,NY_Herkimer_County,89,284,4,,,,,,
2020-08-21,US,NY_Herkimer_County,90,289,4,,,,,,
2020-08-22,US,NY_Herkimer_County,91,289,4,,,,,,
2020-08-23,US,NY_Herkimer_County,92,289,4,,,,,,
2020-08-24,US,NY_Herkimer_County,93,289,4,,,,,,
2020-08-25,US,NY_Herkimer_County,94,290,4,,,,,,
2020-08-26,US,NY_Herkimer_County,95,292,4,,,,,,
2020-08-27,US,NY_Herkimer_County,96,294,4,,,,,,
2020-08-28,US,NY_Herkimer_County,97,294,4,,,,,,
2020-08-29,US,NY_Herkimer_County,98,295,4,,,,,,
2020-08-30,US,NY_Herkimer_County,99,297,4,,,,,,
2020-08-31,US,NY_Herkimer_County,100,297,4,,,,,,
2020-09-01,US,NY_Herkimer_County,101,298,4,,,,,,
2020-09-02,US,NY_Herkimer_County,102,303,4,,,,,,
2020-09-03,US,NY_Herkimer_County,103,305,4,,,,,,
2020-09-04,US,NY_Herkimer_County,104,306,4,,,,,,
2020-09-05,US,NY_Herkimer_County,105,306,4,,,,,,
2020-09-06,US,NY_Herkimer_County,106,308,4,,,,,,
2020-09-07,US,NY_Herkimer_County,107,308,4,,,,,,
2020-09-08,US,NY_Herkimer_County,108,308,4,,,,,,
2020-09-09,US,NY_Herkimer_County,109,308,10,,,,,,
2020-09-10,US,NY_Herkimer_County,110,308,10,,,,,,
2020-09-11,US,NY_Herkimer_County,111,312,10,,,,,,
2020-09-12,US,NY_Herkimer_County,112,312,10,,,,,,
2020-09-13,US,NY_Herkimer_County,113,313,10,,,,,,
2020-09-14,US,NY_Herkimer_County,114,313,10,,,,,,
2020-09-15,US,NY_Herkimer_County,115,313,10,,,,,,
2020-09-16,US,NY_Herkimer_County,116,314,10,,,,,,
2020-09-17,US,NY_Herkimer_County,117,316,10,,,,,,
2020-09-18,US,NY_Herkimer_County,118,318,10,,,,,,
2020-09-19,US,NY_Herkimer_County,119,319,10,,,,,,
2020-09-20,US,NY_Herkimer_County,120,321,10,,,,,,
2020-09-21,US,NY_Herkimer_County,121,321,10,,,,,,
2020-09-22,US,NY_Herkimer_County,122,322,10,,,,,,
2020-09-23,US,NY_Herkimer_County,123,327,10,,,,,,
2020-09-24,US,NY_Herkimer_County,124,329,10,,,,,,
2020-09-25,US,NY_Herkimer_County,125,331,10,,,,,,
2020-09-26,US,NY_Herkimer_County,126,334,10,,,,,,
2020-09-27,US,NY_Herkimer_County,127,334,10,,,,,,
2020-09-28,US,NY_Herkimer_County,128,335,10,,,,,,
2020-09-29,US,NY_Herkimer_County,129,337,10,,,,,,
2020-09-30,US,NY_Herkimer_County,130,338,10,,,,,,
2020-10-01,US,NY_Herkimer_County,131,340,10,,,,,,
2020-10-02,US,NY_Herkimer_County,132,342,10,,,,,,
2020-10-03,US,NY_Herkimer_County,133,344,10,,,,,,
2020-10-04,US,NY_Herkimer_County,134,346,10,,,,,,
2020-10-05,US,NY_Herkimer_County,135,348,10,,,,,,
2020-10-06,US,NY_Herkimer_County,136,349,10,,,,,,
2020-10-07,US,NY_Herkimer_County,137,353,10,,,,,,
2020-10-08,US,NY_Herkimer_County,138,355,10,,,,,,
2020-10-09,US,NY_Herkimer_County,139,355,10,,,,,,
2020-10-10,US,NY_Herkimer_County,140,358,10,,,,,,
2020-10-11,US,NY_Herkimer_County,141,359,10,,,,,,
2020-10-12,US,NY_Herkimer_County,142,361,10,,,,,,
2020-10-13,US,NY_Herkimer_County,143,363,10,,,,,,
2020-10-14,US,NY_Herkimer_County,144,363,10,,,,,,
2020-10-15,US,NY_Herkimer_County,145,367,10,,,,,,
2020-10-16,US,NY_Herkimer_County,146,367,10,,,,,,
2020-10-17,US,NY_Herkimer_County,147,368,10,,,,,,
2020-10-18,US,NY_Herkimer_County,148,370,10,,,,,,
2020-10-19,US,NY_Herkimer_County,149,370,10,,,,,,
2020-10-20,US,NY_Herkimer_County,150,371,10,,,,,,
2020-10-21,US,NY_Herkimer_County,151,374,10,,,,,,
2020-10-22,US,NY_Herkimer_County,152,376,10,,,,,,
2020-10-23,US,NY_Herkimer_County,153,380,10,,,,,,
2020-10-24,US,NY_Herkimer_County,154,384,10,,,,,,
2020-10-25,US,NY_Herkimer_County,155,387,10,,,,,,
2020-10-26,US,NY_Herkimer_County,156,389,10,,,,,,
2020-10-27,US,NY_Herkimer_County,157,390,10,,,,,,
2020-10-28,US,NY_Herkimer_County,158,394,10,,,,,,
2020-10-29,US,NY_Herkimer_County,159,394,10,,,,,,
2020-10-30,US,NY_Herkimer_County,160,394,10,,,,,,
2020-10-31,US,NY_Herkimer_County,161,396,10,,,,,,
2020-11-01,US,NY_Herkimer_County,162,399,10,,,,,,
2020-11-02,US,NY_Herkimer_County,163,407,10,,,,,,
2020-11-03,US,NY_Herkimer_County,164,414,10,,,,,,
2020-11-04,US,NY_Herkimer_County,165,418,10,,,,,,
2020-11-05,US,NY_Herkimer_County,166,424,10,,,,,,
2020-11-06,US,NY_Herkimer_County,167,434,10,,,,,,
2020-11-07,US,NY_Herkimer_County,168,443,10,,,,,,
2020-11-08,US,NY_Herkimer_County,169,447,10,,,,,,
2020-11-09,US,NY_Herkimer_County,170,449,10,,,,,,
2020-11-10,US,NY_Herkimer_County,171,461,10,,,,,,
2020-11-11,US,NY_Herkimer_County,172,472,10,,,,,,
2020-11-12,US,NY_Herkimer_County,173,476,10,,,,,,
2020-11-13,US,NY_Herkimer_County,174,480,10,,,,,,
2020-11-14,US,NY_Herkimer_County,175,485,10,,,,,,
2020-11-15,US,NY_Herkimer_County,176,491,10,,,,,,
2020-11-16,US,NY_Herkimer_County,177,504,10,,,,,,
2020-11-17,US,NY_Herkimer_County,178,508,10,,,,,,
2020-11-18,US,NY_Herkimer_County,179,524,11,,,,,,
2020-11-19,US,NY_Herkimer_County,180,537,11,,,,,,
2020-11-20,US,NY_Herkimer_County,181,552,11,,,,,,
2020-11-21,US,NY_Herkimer_County,182,564,11,,,,,,
2020-11-22,US,NY_Herkimer_County,183,575,11,,,,,,
2020-11-23,US,NY_Herkimer_County,184,582,11,,,,,,
2020-11-24,US,NY_Herkimer_County,185,603,12,,,,,,
2020-11-25,US,NY_Herkimer_County,186,616,12,,,,,,
2020-11-26,US,NY_Herkimer_County,187,631,12,,,,,,
2020-11-27,US,NY_Herkimer_County,188,645,12,,,,,,
2020-11-28,US,NY_Herkimer_County,189,664,12,,,,,,
2020-11-29,US,NY_Herkimer_County,190,691,12,,,,,,
2020-11-30,US,NY_Herkimer_County,191,709,12,,,,,,
2020-12-01,US,NY_Herkimer_County,192,731,12,,,,,,
2020-12-02,US,NY_Herkimer_County,193,755,12,,,,,,
2020-12-03,US,NY_Herkimer_County,194,789,12,,,,,,
2020-12-04,US,NY_Herkimer_County,195,822,12,,,,,,
2020-12-05,US,NY_Herkimer_County,196,847,12,,,,,,
2020-12-06,US,NY_Herkimer_County,197,885,12,,,,,,
2020-12-07,US,NY_Herkimer_County,198,917,12,,,,,,
2020-12-08,US,NY_Herkimer_County,199,941,12,,,,,,
2020-12-09,US,NY_Herkimer_County,200,986,12,,,,,,
2020-12-10,US,NY_Herkimer_County,201,1020,13,,,,,,
2020-12-11,US,NY_Herkimer_County,202,1062,13,,,,,,
2020-12-12,US,NY_Herkimer_County,203,1117,13,,,,,,
2020-12-13,US,NY_Herkimer_County,204,1163,13,,,,,,
2020-12-14,US,NY_Herkimer_County,205,1196,13,,,,,,
2020-12-15,US,NY_Herkimer_County,206,1238,14,,,,,,
2020-12-16,US,NY_Herkimer_County,207,1279,14,,,,,,
2020-12-17,US,NY_Herkimer_County,208,1314,14,,,,,,
2020-12-18,US,NY_Herkimer_County,209,1367,15,,,,,,
2020-12-19,US,NY_Herkimer_County,210,1401,17,,,,,,
2020-12-20,US,NY_Herkimer_County,211,1451,18,,,,,,
2020-12-21,US,NY_Herkimer_County,212,1495,19,,,,,,
2020-12-22,US,NY_Herkimer_County,213,1541,19,,,,,,
2020-12-23,US,NY_Herkimer_County,214,1615,21,,,,,,
2020-12-24,US,NY_Herkimer_County,215,1699,21,,,,,,
2020-12-25,US,NY_Herkimer_County,216,1764,22,,,,,,
2020-12-26,US,NY_Herkimer_County,217,1810,22,,,,,,
2020-12-27,US,NY_Herkimer_County,218,1844,22,,,,,,
2020-12-28,US,NY_Herkimer_County,219,1906,23,,,,,,
2020-12-29,US,NY_Herkimer_County,220,1980,23,,,,,,
2020-12-30,US,NY_Herkimer_County,221,2049,24,,,,,,
2020-12-31,US,NY_Herkimer_County,222,2138,24,,,,,,
2021-01-01,US,NY_Herkimer_County,223,2230,24,,,,,,
2021-01-02,US,NY_Herkimer_County,224,2327,28,,,,,,
2021-01-03,US,NY_Herkimer_County,225,2407,30,,,,,,
