date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-28,US,OH_Fairfield_County,-24,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,OH_Fairfield_County,-23,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,OH_Fairfield_County,-22,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,OH_Fairfield_County,-21,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,OH_Fairfield_County,-20,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,OH_Fairfield_County,-19,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,OH_Fairfield_County,-18,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,OH_Fairfield_County,-17,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,OH_Fairfield_County,-16,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,OH_Fairfield_County,-15,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,OH_Fairfield_County,-14,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,OH_Fairfield_County,-13,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,OH_Fairfield_County,-12,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,OH_Fairfield_County,-11,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,OH_Fairfield_County,-10,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,OH_Fairfield_County,-9,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,OH_Fairfield_County,-8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,OH_Fairfield_County,-7,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,OH_Fairfield_County,-6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,OH_Fairfield_County,-5,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,OH_Fairfield_County,-4,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,OH_Fairfield_County,-3,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,OH_Fairfield_County,-2,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,OH_Fairfield_County,-1,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,OH_Fairfield_County,0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,OH_Fairfield_County,1,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,OH_Fairfield_County,2,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,OH_Fairfield_County,3,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,OH_Fairfield_County,4,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,OH_Fairfield_County,5,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,OH_Fairfield_County,6,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,OH_Fairfield_County,7,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,OH_Fairfield_County,8,129.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,OH_Fairfield_County,9,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,OH_Fairfield_County,10,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,OH_Fairfield_County,11,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,OH_Fairfield_County,12,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,OH_Fairfield_County,13,152.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,OH_Fairfield_County,14,155.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,OH_Fairfield_County,15,158.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,OH_Fairfield_County,16,162.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,OH_Fairfield_County,17,171.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,OH_Fairfield_County,18,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,OH_Fairfield_County,19,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,OH_Fairfield_County,20,178.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,OH_Fairfield_County,21,188.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,OH_Fairfield_County,22,191.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,OH_Fairfield_County,23,199.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,OH_Fairfield_County,24,203.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,OH_Fairfield_County,25,203.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,OH_Fairfield_County,26,205.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,OH_Fairfield_County,27,208.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,OH_Fairfield_County,28,215.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,OH_Fairfield_County,29,217.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,US,OH_Fairfield_County,30,222.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,US,OH_Fairfield_County,31,230.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,US,OH_Fairfield_County,32,233.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,US,OH_Fairfield_County,33,240.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,US,OH_Fairfield_County,34,240.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,US,OH_Fairfield_County,35,246.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,US,OH_Fairfield_County,36,248.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,US,OH_Fairfield_County,37,251.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,US,OH_Fairfield_County,38,259.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
