date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,US,OR_Deschutes_County,-53,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,OR_Deschutes_County,-52,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,OR_Deschutes_County,-51,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,OR_Deschutes_County,-50,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,OR_Deschutes_County,-49,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,OR_Deschutes_County,-48,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,OR_Deschutes_County,-47,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,OR_Deschutes_County,-46,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,OR_Deschutes_County,-45,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,OR_Deschutes_County,-44,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,OR_Deschutes_County,-43,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,OR_Deschutes_County,-42,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,OR_Deschutes_County,-41,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,OR_Deschutes_County,-40,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,OR_Deschutes_County,-39,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,OR_Deschutes_County,-38,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,OR_Deschutes_County,-37,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,OR_Deschutes_County,-36,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,OR_Deschutes_County,-35,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,OR_Deschutes_County,-34,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,OR_Deschutes_County,-33,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,OR_Deschutes_County,-32,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,OR_Deschutes_County,-31,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,OR_Deschutes_County,-30,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,OR_Deschutes_County,-29,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,OR_Deschutes_County,-28,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,OR_Deschutes_County,-27,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,OR_Deschutes_County,-26,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,OR_Deschutes_County,-25,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,OR_Deschutes_County,-24,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,OR_Deschutes_County,-23,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,OR_Deschutes_County,-22,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,OR_Deschutes_County,-21,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,OR_Deschutes_County,-20,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,OR_Deschutes_County,-19,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,OR_Deschutes_County,-18,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,OR_Deschutes_County,-17,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,OR_Deschutes_County,-16,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,OR_Deschutes_County,-15,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,OR_Deschutes_County,-14,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,OR_Deschutes_County,-13,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,OR_Deschutes_County,-12,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
